WT_1	WT_2	KO_1	KO_2
1700022E09Rik	0	0	0	0
1700022H01Rik	1	2	1	2
1700022H16Rik	0	0	0	0
1700022I11Rik	2	1	0	0
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	2	0
1700023F06Rik	0	1	0	0
1700024B18Rik	0	0	0	0
1700024F13Rik	0	0	0	0
1700024G13Rik	0	0	0	0
1700024I08Rik	0	0	0	0
1700024N05Rik	0	0	0	0
1700024P04Rik	0	0	0	0
1700024P16Rik	55	71	31	34
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025F22Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	249	259	400	329
1700025J12Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	0	1	1	0
1700026D08Rik	0	0	1	1
1700026D11Rik	0	0	0	0
1700026F02Rik	0	0	0	0
1700026J14Rik	1	0	1	1
1700026L06Rik	1	0	1	4
1700027A15Rik	0	0	0	0
1700027F06Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	1	0
1700027J07Rik	0	0	0	0
1700028B04Rik	0	0	0	0
1700028D13Rik	0	0	0	0
1700028E10Rik	2	3	0	2
1700028I16Rik	1	0	1	0
1700028J19Rik	2	2	3	3
1700028K03Rik	10.6	12.48	9.31	20.7
1700028M03Rik	0	0	0	0
1700028P14Rik	0	0	0	0
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F12Rik	0	0	0	0
1700029H14Rik	2	3	2	4
1700029I15Rik	21	34	33	35
1700029J03Rik	0	0	0	0
1700029J07Rik	34	51	35	30
1700029M20Rik	0	0	0	0
1700029N11Rik	0	0	0	0
1700029P11Rik	0	2	0	0
1700030A11Rik	0	0	0	0
1700030C10Rik	47.23	49.67	70.27	54.49
1700030F04Rik	0	0	0	0
1700030F18Rik	0	1	1	0
1700030J22Rik	6	5	6	9
1700030K09Rik	99	144	122	144
1700030L20Rik	0	0	0	0
1700030M09Rik	0	0	0	1
1700030N03Rik	0	0	0	0
1700030O20Rik	0	0	0	0
1700031A10Rik	0	0	0	0
1700031F05Rik	0	0	0	0
1700031M16Rik	0	0	0	0
1700031P21Rik	0	0	0	0
1700034E13Rik	0	0	0	1
1700034G24Rik	0	0	0	0
1700034H15Rik	2.24	4.43	5.91	2.19
1700034I23Rik	8	6.56	12	10
1700034J05Rik	0	1	2	0
1700034K08Rik	0	0	0	0
1700034O15Rik	0	0	0	0
1700034P13Rik	7.58	14.1	61.63	11.51
1700036G14Rik	0	0	0	0
1700037C18Rik	19	22	29	18
1700037H04Rik	2259	2645	3490	1819
1700039E15Rik	0	2	0	0
1700039E22Rik	0	0	0	0
1700040L02Rik	1	1	1	0
1700041A01Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042G07Rik	0	0	0	0
1700042G15Rik	0	0	0	0
1700042O10Rik	1	0	0	0
1700044C05Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	0	0	0	0
1700046C09Rik	0	0	0	0
1700047A11Rik	1	0	0	1
1700047E10Rik	0	0	0	0
1700047G03Rik	1	4	0	1
1700047I17Rik2	703.92	917.6	656.3	734.71
1700047L14Rik	0	0	0	0
1700047M11Rik	7	3	2	4
1700048M11Rik	1	0	1	1
1700048O20Rik	22	16	20	23
1700049E15Rik	0	0	0	0
1700049E22Rik	0	0	0	0
1700049G17Rik	89.44	117.96	78.85	126.19
1700049L16Rik	0	0	0	0
1700051A21Rik	0	0	0	0
1700052I22Rik	0	0	0	0
1700052K11Rik	79.1	91.16	85	83.59
1700054A03Rik	0	0	0	0
1700054K19Rik	0	0	0	0
1700054M17Rik	0	0	0	0
1700055C04Rik	0	0	0	0
1700056E22Rik	60	73	68	41
1700057G04Rik	0	0	0	0
1700057H15Rik	0	0	0	0
1700057H21Rik	1	0	0	0
1700060C16Rik	0	0	0	0
1700060C20Rik	2	2	0	0
1700061F12Rik	0	0	0	0
1700061G19Rik	4	3	4	1
1700061I17Rik	0	0	0	0
1700061J23Rik	0	0	0	0
1700063A18Rik	0	0	0	0
1700063D05Rik	0	0	0	0
1700063O14Rik	0	0	0	0
1700064J06Rik	0	0	0	0
1700064M15Rik	0	0	0	0
1700065D16Rik	0	1.1	0	0
1700065I16Rik	0	0	0	0
1700065J11Rik	0	0	0	0
1700065J18Rik	0	0	0	0
1700065L07Rik	0	0	0	0
1700065O20Rik	0	0	0	0
1700066B17Rik	0	0	0	0
1700066B19Rik	4	4	3	3
1700066J03Rik	0	0	0	0
1700066M21Rik	159	185	134	146
1700066N21Rik	0	0	0	0
1700066O22Rik	0	0	0	0
1700067G17Rik	0	0	0	0
1700067K01Rik	2	2	5	3
1700067P10Rik	0	0	0	0
1700069L16Rik	0	0	0	0
1700069P05Rik	0	0	0	0
1700071K01Rik	0	0	0	0
1700071M16Rik	3.09	2.06	0	0
1700072B07Rik	0	0	0	0
1700072I22Rik	0	0	0	1
1700072O05Rik	0	0	0	0
1700073E17Rik	0	1	0	0
1700074H08Rik	0	0	0	0
1700074P13Rik	0	0	0	0
1700080E11Rik	0	0	0	0
1700080N15Rik	0	0	0	0
1700080O16Rik	0	0	0	0
1700081H04Rik	0	0	0	0
1700084C01Rik	2	1	2	0
1700084D21Rik	0	0	2	0
1700084E18Rik	8	5	8	8
1700084F23Rik	0	0	0	0
1700084J12Rik	1	1	1	0
1700084M14Rik	0	0	0	0
1700085C21Rik	1	0	0	0
1700086L19Rik	0	0	1	2
1700086O06Rik	108.29	123.42	111.69	92.58
1700088E04Rik	33.88	37.21	39.35	37.55
1700091H14Rik	0	0	0	0
1700092C02Rik	0	0	1	0
1700092C10Rik	0	0	0	0
1700092E19Rik	0	0	0	0
1700092K14Rik	0	0	0	0
1700092M07Rik	1	1	1	1
1700093K21Rik	4	3	1	1
1700094D03Rik	58	73	37	38.05
1700094J05Rik	0	0	0	0
1700094M24Rik	0	0	0	0
1700095A21Rik	0	0	0	0
1700095B10Rik	0	0	0	0
1700095J12Rik	0	0	0	0
1700096J18Rik	0	0	0	0
1700096K18Rik	59	76	51	51
1700096P03Rik	0	0	0	0
1700097N02Rik	0	0	0	0
1700099I09Rik	0	1.07	0	1
1700100I10Rik	0	0	0	0
1700100L14Rik	0	0	0	0
1700101E01Rik	0	0	0	0
1700101I11Rik	8	10	5	6
1700101O22Rik	0	0	0	0
1700102H20Rik	3	4	0	1
1700102P08Rik	3	2	1	4
1700104L18Rik	0	0	0	0
1700105P06Rik	1	2	3	0
1700106J16Rik	0	0	0	0
1700108F19Rik	2	1	2	0
1700108J01Rik	0	0	0	0
1700109G14Rik	0	0	0	0
1700109G15Rik	0	0	0	0
1700109H08Rik	13.72	7.18	7.55	9.51
1700109I08Rik	0	0	0	0
1700109K24Rik	12	20	13	23
1700110C19Rik	0	1	1	0
1700110I01Rik	0	0	0	2
1700110I07Rik	0	0	0	0
1700110K17Rik	1.01	1.02	2.02	1.01
1700111N16Rik	0	0	0	0
1700112E06Rik	140	142	216	121
1700112H15Rik	1	0	0	0
1700112J05Rik	0	0	0	0
1700112J16Rik	3	4	3	3
1700113A16Rik	99	129	154	88
1700113B09Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700116B05Rik	0	0	1	0
1700119H24Rik	0	0	0	0
1700120C14Rik	0	1.1	1.05	0
1700120E14Rik	0	0	0	0
1700120G07Rik	0	0	1	0
1700120K04Rik	1	1	2	3
1700121L16Rik	0	0	0	0
1700121N20Rik	0	0	0	0
1700122C19Rik	0	0	0	0
1700122O11Rik	0	0	0	0
1700123I01Rik	0	0	0	0
1700123J17Rik	0	0	0	0
1700123K08Rik	0	0	0	0
1700123L14Rik	0	0	0	0
1700123M08Rik	6	13	12	15
1700123O12Rik	0	0	0	0
1700123O20Rik	514.19	724.02	669.56	556.08
1700123O21Rik	0	0	0	0
1700124L16Rik	0	1	0	0
1700125G02Rik	0	0	0	0
1700125G22Rik	0	0	0	1
1700125H03Rik	0	0	2	2
1700125H20Rik	0	0	0	0
1700126H18Rik	0	0	0	0
1700128A07Rik	0	0	0	0
1700128F08Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1810006J02Rik	0	1	1	0
1810007C17Rik	0	0	0	0
1810007D17Rik	0	0	0	0
1810008I18Rik	0	0	0	0
1810009A15Rik	157	241	167	228
1810009J06Rik	0	0	0	0
1810010D01Rik	9	8	14	5
1810010H24Rik	80	102	69	53
1810011H11Rik	6	10	3	8
1810011O10Rik	53	71	48	44
1810012K16Rik	0	2	0	1
1810013A23Rik	0	0	1	0
1810013L24Rik	1190	1379	1323	1273
1810014B01Rik	41	44	22	22.28
1810018F18Rik	0	0	0	0
1810019D21Rik	11	7	16.53	8
1810020O05Rik	1	0	2	0
1810021B22Rik	40	34	29	22
1810022K09Rik	371	561	264	432
1810024B03Rik	2	3	0	1
1810026B05Rik	221.13	327.2	235.81	192.2
1810026J23Rik	1366.57	1449.32	1807.38	1196.8
1810030O07Rik	443	580	511	553
1810032O08Rik	120	149	185	148
1810034E14Rik	99	98	89	71
1810037I17Rik	849	973	1780	754
1810041H14Rik	0	0	4	1
1810041L15Rik	19	24	21	21
1810043G02Rik	326	338	312	282
1810043H04Rik	152	186	333	153
1810044D09Rik	21	21	21	7
1810046K07Rik	1	0	0	0
1810053B23Rik	0	0	0	0
1810055G02Rik	252	327	225	462
1810058I24Rik	1261	1506	1669	1127
1810062G17Rik	31	33	30	17
1810062O18Rik	12	8.44	5.37	10.12
1810063I02Rik	0	0	0	0
1810064F22Rik	0	0	1	0
1810065E05Rik	0	0	0	0
2010001A14Rik	34	38	41	30
2010001E11Rik	4.16	1.14	1.01	1.15
2010003K11Rik	80	118	117	87
2010005H15Rik	0	0	6.86	3
2010009K17Rik	0	1	1	1
2010010A06Rik	0	0	0	0
2010012O05Rik	140	161	138	152
2010016I18Rik	4.64	7.22	1.75	4
2010106C02Rik	1	1	0	2
2010106E10Rik	0	6	2	2
2010107E04Rik	1883	2437	3475	1437
2010107G12Rik	1	3	1	1
2010107G23Rik	13	20	30	24
2010109A12Rik	3	9	1	1
2010109I03Rik	0	2	2	1
2010111I01Rik	149.83	180.87	290.87	235.02
2010204K13Rik	9	7	19	15
2010300C02Rik	4	3	2	3
2010308F09Rik	0	1	0	0
2010310C07Rik	1	0	1	0
2010315B03Rik	234	260	204	229.45
2010320M18Rik	123	185	170	122
2200002D01Rik	14	27	63	44
2200002J24Rik	0	0	0	0
2210010C04Rik	0	0	0	0
2210011C24Rik	0	1	2	3
2210013O21Rik	289	339	461	305
2210015D19Rik	112.38	137.5	148.43	120.84
2210016F16Rik	879	1084	1527	803
2210016L21Rik	268	330	330	271
2210018M11Rik	293	329	210	410
2210019I11Rik	0	0	1	0
2210039B01Rik	3	1	1	3
2210404E10Rik	0	0	1	0
2210404O09Rik	62.22	73.48	50.24	71.19
2210406O10Rik	9	16	4	12
2210407C18Rik	0	0	0	0
2210408F21Rik	92	103	107	65
2210408I21Rik	88	125	90	107
2210409D07Rik	0	0	0	0
2210409E12Rik	0	1	0	0
2210414B05Rik	0	0	0	0
2210416O15Rik	1	3	1.02	2
2210417A02Rik	0	0	1	0
2210420H20Rik	0	0	0	0
2300002M23Rik	0	0	0	1
2300003K06Rik	0	0	0	0
2300005B03Rik	1	0	0	0
2300009A05Rik	144	202	172	131
2310001H17Rik	12	19	22	11
2310001K24Rik	12.25	26.43	37.73	11.31
2310002D06Rik	0	0	0	0
2310002F09Rik	0	0	0	0
2310002L09Rik	0	3	3	1
2310003N18Rik	0	0	0	0
2310005A03Rik	0	0	0	0
2310005E17Rik	0	0	0	0
2310007B03Rik	0	0	0	1
2310008N11Rik	0	0	1	0
2310009A05Rik	122	151	129	97
2310009B15Rik	108	123	192	105
2310010G23Rik	14	13	12	3
2310010J17Rik	7	24	7	7
2310011J03Rik	585	746	852	486
2310015A10Rik	74	85	93	64
2310015D24Rik	0	0	0	0
2310016D03Rik	0	0	0	0
2310020H05Rik	0	0	0	3
2310022A10Rik	223	239	266	250
2310022B05Rik	2353	2544	3196	2357
2310030A07Rik	0	0	0	0
2310030G06Rik	14	11	20	34
2310033P09Rik	135	172	181	131
2310034C09Rik	0	0	0	0
2310034G01Rik	4	16	21	6
2310034O05Rik	0	0	0	0
2310035C23Rik	530	633	696	543
2310036O22Rik	917	1022	1372	771
2310039H08Rik	288	323	336	208
2310039L15Rik	0	1	0	0
2310040G24Rik	5	6	8	3
2310043L19Rik	0	0	0	0
2310043O21Rik	0	0	0	0
2310045N01Rik	460	521	459	470
2310045n01rik-mef2b	0	0	0	0
2310047M10Rik	383	392	704	331
2310050C09Rik	0	0	0	0
2310057J18Rik	0	0	0	0
2310057M21Rik	242	241	257	238
2310057N15Rik	0	0	0	0
2310061I04Rik	630	751	532	475
2310061N02Rik	0	0	0	0
2310065F04Rik	0	0	0	0
2310067B10Rik	545	586	566	476
2310068J16Rik	12.17	29.85	21.68	5.69
2310069B03Rik	2	4	2	2
2310069G16Rik	1	2	2	0
2310075C17Rik	0	0	0	0
2310079G19Rik	0	0	0	0
2310081J21Rik	0	1	0	0
2400006E01Rik	0	0	0	0
2410002F23Rik	222	282	309	329
2410003L11Rik	0	0	2	0
2410004B18Rik	143	180	215	164
2410004I01Rik	0	0	0	0
2410004P03Rik	1	3	2	6
2410006H16Rik	1248	1373	2227	1618
2410012E07Rik	0	0	0	0
2410015M20Rik	1673	2054	2269	1514
2410016O06Rik	165	136	217	137
2410017I17Rik	0	1	0	1
2410018L13Rik	7.07	8.07	14.2	5.02
2410021H03Rik	2	2	1	2
2410089E03Rik	423	415	464	471
2410124H12Rik	0	0	0	0
2410127L17Rik	567	701	582	603
2410131K14Rik	300	387	433	283
2410137M14Rik	0	0	0	0
2410141K09Rik	0	0	1	0
2500002B13Rik	26	26	26	32
2500004C02Rik	17	20	20	12
2510002D24Rik	144	136	182	134
2510003B16Rik	2.28	2	3.63	3.29
2510009E07Rik	772	966	864	827
2510039O18Rik	1382	1582	2345	1354
2610001J05Rik	390	455	477	577
2610002M06Rik	228	297	286	340
2610005L07Rik	623.77	610.45	866.72	771.23
2610008E11Rik	346	435	411	363
2610015P09Rik	196	207	203	168
2610016A17Rik	30	36	53	19
2610020C07Rik	12.29	13.97	12.63	25.63
2610020H08Rik	88	103	105	82
2610027K06Rik	2.14	1.08	2.16	1.04
2610028E06Rik	0	0	1	2
2610028H24Rik	0	0	0	0
2610035D17Rik	25	48	22	27
2610035F20Rik	0	0	0	0
2610037D02Rik	0	0	0	0
2610042L04Rik	0	2.26	2.59	1.74
2610044O15Rik8	89	76.15	122	99
2610100L16Rik	0	0	0	0
2610203C22Rik	14	10	9	10
2610206C17Rik	1	5	1	4
2610301B20Rik	285	324	309	310
2610305D13Rik	16.86	19.87	24.82	25.94
2610306M01Rik	45	64	73	54
2610307P16Rik	1	1	4	1
2610316D01Rik	0	0	0	0
2610318N02Rik	1	0	1	4
2610507B11Rik	7721	8660	8243	7151
2610507I01Rik	225	206	215	221
2610524H06Rik	34	53	66	48
2610528A11Rik	50	61	74	106
2610528J11Rik	0	0	1	0
2700029M09Rik	176	191	224	241
2700038G22Rik	15	10	11	14
2700046A07Rik	0	0	2	0
2700046G09Rik	25	23	38	14
2700049A03Rik	135	163	148	174
2700054A10Rik	4	5	4	7
2700060E02Rik	1667.94	1980.82	1648.34	1927.56
2700062C07Rik	150	161	138	118
2700069I18Rik	6	6	4	1
2700070H01Rik	0	0	2	1
2700081O15Rik	692	863	881	642
2700089I24Rik	2	0	1	0
2700094K13Rik	153	176	300	143
2700097O09Rik	71	89	80	68
2700099C18Rik	11	14	11.23	10
2810001G20Rik	48	77	75	32
2810002D19Rik	80	86	60	84
2810004N23Rik	494	612	451	500
2810006K23Rik	191	220	221	188
2810013P06Rik	91	130	134	79
2810021J22Rik	113.81	154.37	131.79	126.08
2810025M15Rik	98	125.88	158.31	113.09
2810029C07Rik	11	12	8	6
2810032G03Rik	18	25	24	25
2810047C21Rik1	40.46	40.47	47.9	51.45
2810049E08Rik	0	0	0	0
2810403A07Rik	781	886	842	810
2810403D21Rik	10	14	18	20
2810404M03Rik	0	0	0	0
2810405F15Rik	2	1	1	2
2810408A11Rik	14	19	11	21
2810408I11Rik	15	13	11	16
2810410L24Rik	14	20	22	10
2810417H13Rik	96	133	137	123
2810428I15Rik	401	542	881	395
2810429I04Rik	0	0	0	0
2810433D01Rik	2	4	9	11
2810442N19Rik	0	1	1	1
2810454H06Rik	11	11	10	11
2810459M11Rik	0	0	1	0
2810468N07Rik	5	14	14	7
2810471M01Rik	0	0	0	0
2810474O19Rik	791	1103	672	825
2900005J15Rik	39	27.6	51	27
2900008C10Rik	19	19	53	10
2900009J06Rik	2.84	6	6	2
2900011O08Rik	0	0	0	1
2900026A02Rik	86	78	145	173
2900041M22Rik	6	3	13	2
2900052N01Rik	0	0	0	0
2900055J20Rik	1	2	6	7
2900057B20Rik	0	0	0	0
2900060B14Rik	0	0	2	1
2900076A07Rik	17	20	24	14
2900079G21Rik	0	0	0	2
2900092C05Rik	0	0	0	0
2900092D14Rik	0	1	0	0
2900097C17Rik	6260	6688	9421	6248
3000002C10Rik	30.44	35.46	27.4	25
3010001F23Rik	5	2	4	4
3010026O09Rik	48	51	66	37
3100003L05Rik	0	0	0	0
3110001I22Rik	38	54	49	29
3110002H16Rik	773.97	927.34	825.72	694.2
3110009E18Rik	9	18	6	8
3110009F21Rik	0	0	0	0
3110015C05Rik	0	0	0	0
3110021A11Rik	2	2	2	3
3110021N24Rik	47	75	75	46
3110035E14Rik	0	0	1	1
3110039I08Rik	393	428	509	644
3110039M20Rik	0	2	0	0
3110040N11Rik	152	165	332	171
3110043O21Rik	3084	3359	3131	3007
3110045C21Rik	31.3	42.49	29.2	30.36
3110052M02Rik	101.05	147.39	105.51	142.85
3110056K07Rik	37	36	26	22
3110057O12Rik	395	503.77	394.78	408.79
3110062M04Rik	126.86	167.9	210.74	134.36
3110070M22Rik	9.21	7.2	9.19	11
3110079O15Rik	0	0	0	0
3110082I17Rik	62	64	148	95
3110082J24Rik	1	0	0	0
3110099E03Rik	0	0	0	0
3200001D21Rik	0	2	1	1
3300002I08Rik	11.75	14	30.63	13.92
3300002P13Rik	3	2	2	5
3300005D01Rik	30	35	41	30
3425401B19Rik	27	39	31	45
3632451O06Rik	546	543	589	550
3632454L22Rik	1	2	3	0
3830403N18Rik	8.62	8.73	7.79	10.83
3830406C13Rik	330	444	309	383
3830408C21Rik	17	13	20	17
3830417A13Rik	1	1	2	1
3830432H09Rik	1	1	3	1
3930402G23Rik	67	98	87	85
4430402I18Rik	123.98	158.88	94.03	76.18
4631405J19Rik	35	40	85	49
4632404H12Rik	39	46	43	33
4632415L05Rik	265	236	310	222
4632427E13Rik	4	4	8	2
4632428C04Rik	15	9	11	15
4632428N05Rik	1276	1318	1425	968
4732416N19Rik	0	0	11.63	0
4732456N10Rik	0	0	2	0
4732471J01Rik	34.32	28.85	30.59	41.32
4732490B19Rik	0	0	1	2
4732491K20Rik	43	42	29	26
4831407H17Rik	0	0	1	0
4831440E17Rik	37	34	26	36
4833411C07Rik	4	3	3	2
4833412C05Rik	5	4	5	8
4833415N18Rik	0	0	0	0
4833417C18Rik	5	7	9	9
4833418N02Rik	16	20	12	22
4833419F23Rik	24	21	5	23
4833420G17Rik	490	531	550	495
4833422C13Rik	9	18	8.07	13
4833422M21Rik	0	0	0	0
4833423E24Rik	0	0	0	0
4833427F10Rik	0	0	0	1
4833427G06Rik	3	0	1	2
4833428L15Rik	0	0	0	0
4833439L19Rik	1252.63	1539.2	1343.43	1309.48
4921501E09Rik	0	0	0	0
4921504A21Rik	2	2	3	7
4921504E06Rik	0	0	1	0
4921506M07Rik	0	0	0	0
4921507L20Rik	4	12	0	8
4921507P07Rik	22	29	21	24
4921508D12Rik	0	0	0	0
4921509C19Rik	0	0	0	0
4921509O07Rik	0	0	0	0
4921511C10Rik	0	2	0	1
4921511C20Rik	0	0	0	1
4921511H03Rik	0	0	0	0
