dataset	description	version	Scientific_common_name
aegca011057435_eg_gene	"Actinia equina (Beadlet anemone, AE1) genes (equina_smartden.arrow4.noredun)"	equina_smartden.arrow4.noredun	"Actinia equina (Beadlet anemone, AE1)"
aepiroticus_eg_gene	"Anopheles epiroticus (Mosquito, Epiroticus2) genes (AepiE1)"	AepiE1	"Anopheles epiroticus (Mosquito, Epiroticus2)"
afarauti_eg_gene	"Anopheles farauti (Mosquito, FAR1) genes (AfarF2)"	AfarF2	"Anopheles farauti (Mosquito, FAR1)"
afgca000184785v2rs_eg_gene	Apis florea (Dwarf honeybee) genes (Aflo_1.0)	Aflo_1.0	Apis florea (Dwarf honeybee)
afunestus_eg_gene	"Anopheles funestus (African malaria mosquito, FUMOZ) genes (AfunF3)"	AfunF3	"Anopheles funestus (African malaria mosquito, FUMOZ)"
agambiae_eg_gene	"Anopheles gambiae (African malaria mosquito, PEST) genes (AgamP4)"	AgamP4	"Anopheles gambiae (African malaria mosquito, PEST)"
aggca014905175v1_eg_gene	"Aphidius gifuensis (Parasitoid wasp, YNYX2018) genes (ASM1490517v1)"	ASM1490517v1	"Aphidius gifuensis (Parasitoid wasp, YNYX2018)"
aggca022605725v3rs_eg_gene	Anthonomus grandis grandis (Boll weevil) genes (icAntGran1.3)	icAntGran1.3	Anthonomus grandis grandis (Boll weevil)
aglabripennis_eg_gene	"Anoplophora glabripennis (Asian long-horned beetle, ALB-LARVAE) genes (Agla_2.0)"	Agla_2.0	"Anoplophora glabripennis (Asian long-horned beetle, ALB-LARVAE)"
ajgca011630105v1_eg_gene	"Anneissia japonica (Sea lily, Jap-2015-1) genes (ASM1163010v1)"	ASM1163010v1	"Anneissia japonica (Sea lily, Jap-2015-1)"
amaculatus_eg_gene	"Anopheles maculatus (Mosquito, maculatus3) genes (AmacM1)"	AmacM1	"Anopheles maculatus (Mosquito, maculatus3)"
amelas_eg_gene	"Anopheles melas (Mosquito, CM1001059_A) genes (AmelC2)"	AmelC2	"Anopheles melas (Mosquito, CM1001059_A)"
amellifera_eg_gene	"Apis mellifera (Honey bee, DH4) genes (Amel_HAv3.1)"	Amel_HAv3.1	"Apis mellifera (Honey bee, DH4)"
amerus_eg_gene	"Anopheles merus (Mosquito, MAF) genes (AmerM2)"	AmerM2	"Anopheles merus (Mosquito, MAF)"
amgca013753865v1_eg_gene	"Acropora millepora (Stony coral, JS-1) genes (Amil_v2.1)"	Amil_v2.1	"Acropora millepora (Stony coral, JS-1)"
aminimus_eg_gene	"Anopheles minimus (Mosquito, MINIMUS1) genes (AminM1)"	AminM1	"Anopheles minimus (Mosquito, MINIMUS1)"
apgca000699045v2_eg_gene	"Agrilus planipennis (Emerald ash borer, EAB-ADULT) genes (Apla_2.0)"	Apla_2.0	"Agrilus planipennis (Emerald ash borer, EAB-ADULT)"
apgca001949145v1_eg_gene	Acanthaster planci (Crown-of-thorns starfish) genes (OKI_Apl_1.0)	OKI_Apl_1.0	Acanthaster planci (Crown-of-thorns starfish)
apgca005508785v2rs_eg_gene	"Acyrthosiphon pisum (Pea aphid, AL4f) genes (pea_aphid_22Mar2018_4r6ur_v2)"	pea_aphid_22Mar2018_4r6ur_v2	"Acyrthosiphon pisum (Pea aphid, AL4f)"
apisum_eg_gene	"Acyrthosiphon pisum (Pea aphid, AL4f) genes (pea_aphid_22Mar2018_4r6ur)"	pea_aphid_22Mar2018_4r6ur	"Acyrthosiphon pisum (Pea aphid, AL4f)"
aqgca000090795v2rs_eg_gene	Amphimedon queenslandica (Demosponge) genes (v1.1)	v1.1	Amphimedon queenslandica (Demosponge)
aquadriannulatus_eg_gene	"Anopheles quadriannulatus (Mosquito, SANGWE) genes (AquaS1)"	AquaS1	"Anopheles quadriannulatus (Mosquito, SANGWE)"
aqueenslandica_eg_gene	Amphimedon queenslandica (Demosponge) genes (Aqu1)	Aqu1	Amphimedon queenslandica (Demosponge)
argca000344095v2_eg_gene	"Athalia rosae (Coleseed sawfly, CS-ADULT) genes (Aros_2.0)"	Aros_2.0	"Athalia rosae (Coleseed sawfly, CS-ADULT)"
argca902459465v3_eg_gene	Asterias rubens (European starfish) genes (eAstRub1.3)	eAstRub1.3	Asterias rubens (European starfish)
argca917208135v1_eg_gene	"Athalia rosae (Coleseed sawfly, reference) genes (iyAthRosa1.1)"	iyAthRosa1.1	"Athalia rosae (Coleseed sawfly, reference)"
aschina_eg_gene	"Anopheles sinensis (Mosquito, China) genes (AsinC2)"	AsinC2	"Anopheles sinensis (Mosquito, China)"
asindian_eg_gene	"Anopheles stephensi (Asian malaria mosquito, Indian) genes (AsteI2)"	AsteI2	"Anopheles stephensi (Asian malaria mosquito, Indian)"
asinensis_eg_gene	"Anopheles sinensis (Mosquito, SINENSIS) genes (AsinS2)"	AsinS2	"Anopheles sinensis (Mosquito, SINENSIS)"
astephensi_eg_gene	"Anopheles stephensi (Asian malaria mosquito, SDA-500) genes (AsteS1)"	AsteS1	"Anopheles stephensi (Asian malaria mosquito, SDA-500)"
asuum_eg_gene	"Ascaris suum (Pig roundworm, AG01) genes (ASM18702v3)"	ASM18702v3	"Ascaris suum (Pig roundworm, AG01)"
atgca001186105v1rs_eg_gene	"Amyelois transitella (Naval orange worm, UIUC subculture of SPIRL-1966) genes (ASM118610v1)"	ASM118610v1	"Amyelois transitella (Naval orange worm, UIUC subculture of SPIRL-1966)"
atgca009602425v1_eg_gene	Actinia tenebrosa (Australian red waratah sea anemone) genes (ASM960242v1)	ASM960242v1	Actinia tenebrosa (Australian red waratah sea anemone)
avaga_eg_gene	Adineta vaga (Rotifer) genes (AMS_PRJEB1171_v1)	AMS_PRJEB1171_v1	Adineta vaga (Rotifer)
bagca900239965v1rs_eg_gene	Bicyclus anynana (Squinting bush brown) genes (Bicyclus_anynana_v1.2)	Bicyclus_anynana_v1.2	Bicyclus anynana (Squinting bush brown)
bantarctica_eg_gene	Belgica antarctica (Antarctic midge) genes (ASM77530v1)	ASM77530v1	Belgica antarctica (Antarctic midge)
bdgca000789215v2_eg_gene	"Bactrocera dorsalis (Oriental fruit fly, Punador) genes (ASM78921v2)"	ASM78921v2	"Bactrocera dorsalis (Oriental fruit fly, Punador)"
bglabrata_eg_gene	"Biomphalaria glabrata (Bloodfluke planorb, BB02) genes (BglaB1)"	BglaB1	"Biomphalaria glabrata (Bloodfluke planorb, BB02)"
bimpatiens_eg_gene	Bombus impatiens (Common eastern bumblebee) genes (BIMP_2.2)	BIMP_2.2	Bombus impatiens (Common eastern bumblebee)
blanceolatum_eg_gene	Branchiostoma lanceolatum (Amphioxus) genes (BraLan2)	BraLan2	Branchiostoma lanceolatum (Amphioxus)
blgca001853355v1_eg_gene	"Bactrocera latifrons (Solanum fruit fly, USDA-ARS-PBARC rearing strain) genes (ASM185335v1)"	ASM185335v1	"Bactrocera latifrons (Solanum fruit fly, USDA-ARS-PBARC rearing strain)"
bmalayi_eg_gene	"Brugia malayi (Nematode, FR3) genes (Bmal-4.0)"	Bmal-4.0	"Brugia malayi (Nematode, FR3)"
bmgca003987935v1rs_eg_gene	"Bombyx mandarina (Wild silkworm, Bman2017) genes (ASM398793v1)"	ASM398793v1	"Bombyx mandarina (Wild silkworm, Bman2017)"
bmori_eg_gene	"Bombyx mori (Domestic silkworm, p50T) genes (Bmori_2016v1.0)"	Bmori_2016v1.0	"Bombyx mori (Domestic silkworm, p50T)"
btasiaii5_eg_gene	"Bemisia tabaci (Silverleaf whitefly, Asia II-5) genes (ASIAII5_n227_616Mb)"	ASIAII5_n227_616Mb	"Bemisia tabaci (Silverleaf whitefly, Asia II-5)"
bterrestris_eg_gene	Bombus terrestris (Buff-tailed bumblebee) genes (Bter_1.0)	Bter_1.0	Bombus terrestris (Buff-tailed bumblebee)
btgca016617805v2_eg_gene	"Bactrocera tryoni (Queensland fruitfly, S06) genes (CSIRO_BtryS06_freeze1)"	CSIRO_BtryS06_freeze1	"Bactrocera tryoni (Queensland fruitfly, S06)"
btgca910591885v2_eg_gene	"Bombus terrestris (buff-tailed bumblebee, reference) genes (iyBomTerr1.2)"	iyBomTerr1.2	"Bombus terrestris (buff-tailed bumblebee, reference)"
btssa1nig_eg_gene	"Bemisia tabaci (Silverleaf whitefly, SSA1-SG1 Ng) genes (SSA1SG1_Nigeria_n4493_656Mb)"	SSA1SG1_Nigeria_n4493_656Mb	"Bemisia tabaci (Silverleaf whitefly, SSA1-SG1 Ng)"
btssa1ug_eg_gene	"Bemisia tabaci (Silverleaf whitefly, SSA1-SG1 Ug) genes (SSA1_SG1_Uganda_n955_657Mb)"	SSA1_SG1_Uganda_n955_657Mb	"Bemisia tabaci (Silverleaf whitefly, SSA1-SG1 Ug)"
btssa2nig_eg_gene	"Bemisia tabaci (Silverleaf whitefly, SSA2 Ng) genes (SSA2_Nigeria_n785_625mb)"	SSA2_Nigeria_n785_625mb	"Bemisia tabaci (Silverleaf whitefly, SSA2 Ng)"
btssa3nig_eg_gene	"Bemisia tabaci (Silverleaf whitefly, SSA3 Ng) genes (SSA3_Nigeria_2278n_648mb)"	SSA3_Nigeria_2278n_648mb	"Bemisia tabaci (Silverleaf whitefly, SSA3 Ng)"
btuganda1_eg_gene	"Bemisia tabaci (Silverleaf whitefly, Uganda-1) genes (Uganda1_n5713_630Mb)"	Uganda1_n5713_630Mb	"Bemisia tabaci (Silverleaf whitefly, Uganda-1)"
cbrenneri_eg_gene	Caenorhabditis brenneri (Nematode) genes (C_brenneri-6.0.1b)	C_brenneri-6.0.1b	Caenorhabditis brenneri (Nematode)
cbriggsae_eg_gene	Caenorhabditis briggsae (Nematode) genes (CB4)	CB4	Caenorhabditis briggsae (Nematode)
ccgca000347755v4_eg_gene	Ceratitis capitata (Mediterranean fruit fly) genes (Ccap_2.0)	Ccap_2.0	Ceratitis capitata (Mediterranean fruit fly)
cfgca000648655v2_eg_gene	"Copidosoma floridanum (Parasitoid wasp, CFLO.00-Male) genes (Cflo_2.0)"	Cflo_2.0	"Copidosoma floridanum (Parasitoid wasp, CFLO.00-Male)"
cfgca003227725v1rs_eg_gene	"Camponotus floridanus (Florida carpenter ant, SB8) genes (Cflo_v7.5)"	Cflo_v7.5	"Camponotus floridanus (Florida carpenter ant, SB8)"
cggca020080835v1_eg_gene	"Cotesia glomerata (White butterfly parasite wasp, CgM1) genes (MPM_Cglom_v2.3)"	MPM_Cglom_v2.3	"Cotesia glomerata (White butterfly parasite wasp, CgM1)"
cgigas_eg_gene	Crassostrea gigas (Pacific oyster) genes (cgigas_uk_roslin_v1)	cgigas_uk_roslin_v1	Crassostrea gigas (Pacific oyster)
chgca902728285_eg_gene	"Clytia hemisphaerica (Jellyfish, Z4C2) genes (Clytia_hemisphaerica_genome_assembly)"	Clytia_hemisphaerica_genome_assembly	"Clytia hemisphaerica (Jellyfish, Z4C2)"
cigca013357705v1rs_eg_gene	"Chelonus insularis (Parasitoid wasp, UGA/USDA-ARS -01) genes (ASM1335770v1)"	ASM1335770v1	"Chelonus insularis (Parasitoid wasp, UGA/USDA-ARS -01)"
cjaponica_eg_gene	Caenorhabditis japonica (Nematode) genes (C_japonica-7.0.1)	C_japonica-7.0.1	Caenorhabditis japonica (Nematode)
clectularius_eg_gene	"Cimex lectularius (Bed bug, Harlan) genes (Clec_2.0)"	Clec_2.0	"Cimex lectularius (Bed bug, Harlan)"
cqgca015732765v1_eg_gene	"Culex quinquefasciatus (Southern house mosquito, JHB) genes (VPISU_Cqui_1.0_pri_paternal)"	VPISU_Cqui_1.0_pri_paternal	"Culex quinquefasciatus (Southern house mosquito, JHB)"
cquinquefasciatus_eg_gene	"Culex quinquefasciatus (Southern house mosquito, Johannesburg) genes (CpipJ2)"	CpipJ2	"Culex quinquefasciatus (Southern house mosquito, Johannesburg)"
cremanei_eg_gene	Caenorhabditis remanei (Nematode) genes (C_remanei-15.0.1)	C_remanei-15.0.1	Caenorhabditis remanei (Nematode)
csgca000671375v2_eg_gene	"Centruroides sculpturatus (Bark scorpion, CEXI.00-Female) genes (Cexi_2.0)"	Cexi_2.0	"Centruroides sculpturatus (Bark scorpion, CEXI.00-Female)"
csonorensis_eg_gene	Culicoides sonorensis (Biting Midge) genes (Cson1)	Cson1	Culicoides sonorensis (Biting Midge)
cteleta_eg_gene	Capitella teleta (Bristle worm) genes (Capitella teleta v1.0)	Capitella teleta v1.0	Capitella teleta (Bristle worm)
cvgca002022765v4_eg_gene	"Crassostrea virginica (Eastern oyster, RU13XGHG1-28) genes (C_virginica_3.0)"	C_virginica_3.0	"Crassostrea virginica (Eastern oyster, RU13XGHG1-28)"
dagca023375885v2rs_eg_gene	"Dermacentor andersoni (Rocky Mountain wood tick, qqDerAnde1) genes (qqDerAnde1.2)"	qqDerAnde1.2	"Dermacentor andersoni (Rocky Mountain wood tick, qqDerAnde1)"
dananassae_eg_gene	"Drosophila ananassae (Fruit fly, TSC#14024-0371.13) genes (dana_caf1)"	dana_caf1	"Drosophila ananassae (Fruit fly, TSC#14024-0371.13)"
derecta_eg_gene	"Drosophila erecta (Fruit fly, TSC#14021-0224.01) genes (dere_caf1)"	dere_caf1	"Drosophila erecta (Fruit fly, TSC#14021-0224.01)"
dggca004324835v1_eg_gene	"Dendronephthya gigantea (Carnation coral, DGI-Jeju-01) genes (DenGig_1.0)"	DenGig_1.0	"Dendronephthya gigantea (Carnation coral, DGI-Jeju-01)"
dggca904063045v1_eg_gene	Dimorphilus gyrociliatus (Segmented worms) genes (Dgyrociliatus_assembly)	Dgyrociliatus_assembly	Dimorphilus gyrociliatus (Segmented worms)
dgrimshawi_eg_gene	"Drosophila grimshawi (Fruit fly, TSC#15287-2541.00) genes (dgri_caf1)"	dgri_caf1	"Drosophila grimshawi (Fruit fly, TSC#15287-2541.00)"
dmgca020631705v2_eg_gene	"Daphnia magna (Fresh water planktonic, NIES) genes (ASM2063170v1.1)"	ASM2063170v1.1	"Daphnia magna (Fresh water planktonic, NIES)"
dmojavensis_eg_gene	"Drosophila mojavensis (Fruit fly, TSC#15081-1352.22) genes (dmoj_caf1)"	dmoj_caf1	"Drosophila mojavensis (Fruit fly, TSC#15081-1352.22)"
dngca001186385v1_eg_gene	"Diuraphis noxia (Russian wheat aphid, RWA2) genes (Dnoxia_1.0)"	Dnoxia_1.0	"Diuraphis noxia (Russian wheat aphid, RWA2)"
dngca001272555v1rs_eg_gene	"Dufourea novaeangliae (Bee, 0120121106) genes (ASM127255v1)"	ASM127255v1	"Dufourea novaeangliae (Bee, 0120121106)"
dpersimilis_eg_gene	"Drosophila persimilis (Fruit fly, MSH-3) genes (dper_caf1)"	dper_caf1	"Drosophila persimilis (Fruit fly, MSH-3)"
dpgca000355655v1_eg_gene	Dendroctonus ponderosae (Mountain pine beetle) genes (DendPond_male_1.0)	DendPond_male_1.0	Dendroctonus ponderosae (Mountain pine beetle)
dpgca001901225v2_eg_gene	"Dermatophagoides pteronyssinus (European house dust mite, airmid) genes (ASM190122v2)"	ASM190122v2	"Dermatophagoides pteronyssinus (European house dust mite, airmid)"
dpgca021134715v1rs_eg_gene	"Daphnia pulex (Common water flea, KAP4) genes (ASM2113471v1)"	ASM2113471v1	"Daphnia pulex (Common water flea, KAP4)"
dpgca021234035v2rs_eg_gene	"Daphnia pulicaria (Water flea, SC F1-1A) genes (SC_F0_13B)"	SC_F0_13B	"Daphnia pulicaria (Water flea, SC F1-1A)"
dplexippus_eg_gene	"Danaus plexippus plexippus (Monarch butterfly, F-2) genes (Dplex_v4)"	Dplex_v4	"Danaus plexippus plexippus (Monarch butterfly, F-2)"
dpseudoobscura_eg_gene	"Drosophila pseudoobscura pseudoobscura (Fruit fly, MV2-25) genes (Dpse_3.0)"	Dpse_3.0	"Drosophila pseudoobscura pseudoobscura (Fruit fly, MV2-25)"
dpulex_eg_gene	Daphnia pulex (Common water flea) genes (V1.0)	V1.0	Daphnia pulex (Common water flea)
dsechellia_eg_gene	"Drosophila sechellia (Fruit fly, Rob3c) genes (dsec_caf1)"	dsec_caf1	"Drosophila sechellia (Fruit fly, Rob3c)"
dsgca013339745v1_eg_gene	"Dermacentor silvarum (Tick, Dsil-2018) genes (ASM1333974v1)"	ASM1333974v1	"Dermacentor silvarum (Tick, Dsil-2018)"
dsimulans_eg_gene	"Drosophila simulans (Fruit fly, w501) genes (ASM75419v3)"	ASM75419v3	"Drosophila simulans (Fruit fly, w501)"
dtinctorium_eg_gene	"Dinothrombium tinctorium (Red velvet mite, UoL-WK) genes (DtinU1)"	DtinU1	"Dinothrombium tinctorium (Red velvet mite, UoL-WK)"
dvgca003013835v2_eg_gene	"Diabrotica virgifera virgifera (Western corn rootworm, Ped12-6-A-3) genes (Dvir_v2.0)"	Dvir_v2.0	"Diabrotica virgifera virgifera (Western corn rootworm, Ped12-6-A-3)"
dvgca917563875v2rs_eg_gene	Diabrotica virgifera virgifera (Western corn rootworm) genes (PGI_DIABVI_V3a)	PGI_DIABVI_V3a	Diabrotica virgifera virgifera (Western corn rootworm)
dvirilis_eg_gene	"Drosophila virilis (Fruit fly, TSC#15010-1051.87) genes (dvir_caf1)"	dvir_caf1	"Drosophila virilis (Fruit fly, TSC#15010-1051.87)"
dwillistoni_eg_gene	"Drosophila willistoni (Fruit fly, TSC#14030-0811.24) genes (dwil_caf1)"	dwil_caf1	"Drosophila willistoni (Fruit fly, TSC#14030-0811.24)"
dyakuba_eg_gene	"Drosophila yakuba (Fruit fly, Tai18E2) genes (dyak_caf1)"	dyak_caf1	"Drosophila yakuba (Fruit fly, Tai18E2)"
eagca000591075v2_eg_gene	"Eurytemora affinis (Calanoid copepod, Atlantic clade) genes (Eaff_2.0)"	Eaff_2.0	"Eurytemora affinis (Calanoid copepod, Atlantic clade)"
edgca001417965v1_eg_gene	"Exaiptasia diaphana (Sea anemone, CC7) genes (Aiptasia_genome_1.1)"	Aiptasia_genome_1.1	"Exaiptasia diaphana (Sea anemone, CC7)"
eggca000524195v1rs_eg_gene	Echinococcus granulosus (Dog tapeworm) genes (ASM52419v1)	ASM52419v1	Echinococcus granulosus (Dog tapeworm)
emgca001483705v1rs_eg_gene	"Eufriesea mexicana (Bee, 0111107269) genes (ASM148370v1)"	ASM148370v1	"Eufriesea mexicana (Bee, 0111107269)"
fcandida_eg_gene	"Folsomia candida (Springtail, str. VU population) genes (ASM221717v1)"	ASM221717v1	"Folsomia candida (Springtail, str. VU population)"
gagca016097555v1_eg_gene	"Gigantopelta aegis (Deep sea snail, Gae_Host) genes (Gae_host_genome)"	Gae_host_genome	"Gigantopelta aegis (Deep sea snail, Gae_Host)"
gausteni_eg_gene	"Glossina austeni (Tsetse fly, TTRI) genes (GausT1)"	GausT1	"Glossina austeni (Tsetse fly, TTRI)"
gbrevipalpis_eg_gene	"Glossina brevipalpis (Tsetse fly, IAEA) genes (GbreI1)"	GbreI1	"Glossina brevipalpis (Tsetse fly, IAEA)"
gfuscipes_eg_gene	"Glossina fuscipes (Tsetse fly, IAEA_lab_2018) genes (Yale_Gfus_2)"	Yale_Gfus_2	"Glossina fuscipes (Tsetse fly, IAEA_lab_2018)"
gmgca003640425v2rs_eg_gene	"Galleria mellonella (Greater wax moth, Carbio01_MB) genes (ASM364042v2)"	ASM364042v2	"Galleria mellonella (Greater wax moth, Carbio01_MB)"
gmorsitans_eg_gene	"Glossina morsitans morsitans (Tsetse fly, Yale) genes (GmorY1)"	GmorY1	"Glossina morsitans morsitans (Tsetse fly, Yale)"
gogca000255335v2rs_eg_gene	Galendromus occidentalis (Western predatory mite) genes (Mocc_1.0)	Mocc_1.0	Galendromus occidentalis (Western predatory mite)
gpallidipes_eg_gene	"Glossina pallidipes (Tsetse fly, IAEA) genes (GpalI1)"	GpalI1	"Glossina pallidipes (Tsetse fly, IAEA)"
gpalpalis_eg_gene	"Glossina palpalis gambiensis (Tsetse fly, IAEA) genes (GpapI1)"	GpapI1	"Glossina palpalis gambiensis (Tsetse fly, IAEA)"
hagca000764305v2_eg_gene	"Hyalella azteca (Amphipod, HAZT.00-mixed) genes (Hazt_2.0)"	Hazt_2.0	"Hyalella azteca (Amphipod, HAZT.00-mixed)"
hagca013339685v1_eg_gene	"Hyalomma asiaticum (Tick, Hyas-2018) genes (ASM1333968v1)"	ASM1333968v1	"Hyalomma asiaticum (Tick, Hyas-2018)"
hagca018991925v1_eg_gene	"Homarus americanus (American lobster, GMGI-L3) genes (GMGI_Hamer_2.0)"	GMGI_Hamer_2.0	"Homarus americanus (American lobster, GMGI-L3)"
hagca023701775v1rs_eg_gene	"Helicoverpa armigera (Cotton bollworm, SCD) genes (HaSCD2)"	HaSCD2	"Helicoverpa armigera (Cotton bollworm, SCD)"
hegca002082055v1_eg_gene	"Hypsibius exemplaris (Water bear tardigrade, Z151) genes (nHd_3.1)"	nHd_3.1	"Hypsibius exemplaris (Water bear tardigrade, Z151)"
higca905115235v1_eg_gene	Hermetia illucens (Black soldier fly) genes (iHerIll2.2.curated.20191125)	iHerIll2.2.curated.20191125	Hermetia illucens (Black soldier fly)
hlgca001263275v1rs_eg_gene	"Habropoda laboriosa (Southeastern blueberry bee, 0110345459) genes (ASM126327v1)"	ASM126327v1	"Habropoda laboriosa (Southeastern blueberry bee, 0110345459)"
hlgca013339765v1_eg_gene	"Haemaphysalis longicornis (Longhorned tick, HaeL-2018) genes (ASM1333976v1)"	ASM1333976v1	"Haemaphysalis longicornis (Longhorned tick, HaeL-2018)"
hmelpomene_eg_gene	Heliconius melpomene (Postman butterfly) genes (Hmel1)	Hmel1	Heliconius melpomene (Postman butterfly)
hmiamia_eg_gene	"Hofstenia miamia (Panther worm, MS-H3) genes (HmiaM1)"	HmiaM1	"Hofstenia miamia (Panther worm, MS-H3)"
hmicrostoma_eg_gene	Hymenolepis microstoma (Rodent tapeworm) genes (HMN_v3)	HMN_v3	Hymenolepis microstoma (Rodent tapeworm)
hrgca003918875v1rs_eg_gene	"Haliotis rubra (Blacklip abalone, DU_JTF1) genes (ASM391887v1)"	ASM391887v1	"Haliotis rubra (Blacklip abalone, DU_JTF1)"
hrgca023055435v1rs_eg_gene	"Haliotis rufescens (Red abalone, VD_foot) genes (xgHalRufe1.0.p)"	xgHalRufe1.0.p	"Haliotis rufescens (Red abalone, VD_foot)"
hrobusta_eg_gene	Helobdella robusta (Freshwater leech) genes (Helro1)	Helro1	Helobdella robusta (Freshwater leech)
hsgca003227715v2rs_eg_gene	"Harpegnathos saltator (Indian jumping ant, DR-91) genes (Hsal_v8.5)"	Hsal_v8.5	"Harpegnathos saltator (Indian jumping ant, DR-91)"
hvgca000004095v1_eg_gene	"Hydra vulgaris (Swiftwater hydra, 105) genes (Hydra_RP_1.0)"	Hydra_RP_1.0	"Hydra vulgaris (Swiftwater hydra, 105)"
hvgca021130785v2rs_eg_gene	"Homalodisca vitripennis (Glassy winged sharpshooter, AUS2020) genes (UT_GWSS_2.1)"	UT_GWSS_2.1	"Homalodisca vitripennis (Glassy winged sharpshooter, AUS2020)"
hvgca022113875v1rs_eg_gene	"Hydra vulgaris (Swiftwater hydra, 105) genes (Hydra_105_v3)"	Hydra_105_v3	"Hydra vulgaris (Swiftwater hydra, 105)"
hzgca022581195v1rs_eg_gene	"Helicoverpa zea (Corn earworm, HzStark_Cry1AcR) genes (ilHelZeax1.1)"	ilHelZeax1.1	"Helicoverpa zea (Corn earworm, HzStark_Cry1AcR)"
ipgca013358835v1_eg_gene	"Ixodes persulcatus (Taiga tick, Iper-2018) genes (BIME_Iper_1.3)"	BIME_Iper_1.3	"Ixodes persulcatus (Taiga tick, Iper-2018)"
iscapularis_eg_gene	"Ixodes scapularis (Black-legged tick, Wikel) genes (IscaW1)"	IscaW1	"Ixodes scapularis (Black-legged tick, Wikel)"
isgca016920785v2_eg_gene	"Ixodes scapularis (Black-legged tick, PalLabHiFi) genes (ASM1692078v2)"	ASM1692078v2	"Ixodes scapularis (Black-legged tick, PalLabHiFi)"
isise6_eg_gene	"Ixodes scapularis (Black-legged tick, ISE6) genes (IscaI1)"	IscaI1	"Ixodes scapularis (Black-legged tick, ISE6)"
lagca001039355v2_eg_gene	"Lingula anatina (Lamp shell, Amm_Jpn) genes (LinAna2.0)"	LinAna2.0	"Lingula anatina (Lamp shell, Amm_Jpn)"
lanatina_eg_gene	Lingula anatina (Lamp shell) genes (LinAna1.0)	LinAna1.0	Lingula anatina (Lamp shell)
lcgca022045245v1rs_eg_gene	"Lucilia cuprina (Australian sheep blowfly, Lc7/37) genes (ASM2204524v1)"	ASM2204524v1	"Lucilia cuprina (Australian sheep blowfly, Lc7/37)"
lcuprina_eg_gene	"Lucilia cuprina (Australian sheep blowfly, LS) genes (ASM118794v1)"	ASM118794v1	"Lucilia cuprina (Australian sheep blowfly, LS)"
ldeliense_eg_gene	"Leptotrombidium deliense (Harvest mite, UoL-UT) genes (LdelU1)"	LdelU1	"Leptotrombidium deliense (Harvest mite, UoL-UT)"
ldgca000500325v2_eg_gene	"Leptinotarsa decemlineata (Colorado potato beetle, Imidocloprid resistant) genes (Ldec_2.0)"	Ldec_2.0	"Leptinotarsa decemlineata (Colorado potato beetle, Imidocloprid resistant)"
