WT_1	WT_2	KO_1	KO_2
1700011A15Rik	0	0	0	0
1700011B04Rik	0	0	0	0
1700011C11Rik	0	0	0	0
1700011E24Rik	0	0	0	0
1700011H14Rik	0	0	0	0
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	0	0.15	0
1700012B09Rik	0	0	0.16	0
1700012C14Rik	0	0	0	0
1700012D01Rik	3.1	1.54	2.91	2.51
1700012D14Rik	0.43	0.86	0.54	1.3
1700012D16Rik	0	0	0	0
1700012H19Rik	0	0	0	0
1700012I11Rik	0	0	0	0
1700012L04Rik	0	0	0	0
1700012P22Rik	0	0	0	0
1700013D24Rik	0	0	0	0
1700013F07Rik	0	0	0	0.23
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700015E13Rik	0	0.37	0.16	0
1700015F17Rik	0.19	0	0.16	0
1700015G11Rik	0	0	0	0
1700016C15Rik	0	0	0	0
1700016D06Rik	0	0	0	0
1700016G22Rik	0	0	0	0
1700016H13Rik	0	0	0.14	0
1700016K19Rik	0	0	0	0
1700016L04Rik	0	0	0.12	0
1700016L21Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	42.63	40.42	37.57	39.46
1700017D01Rik	0	0	0	0
1700017G19Rik	0.05	0	0	0
1700017J07Rik	0	0	0	0
1700017L05Rik	0	0	0	0
1700017N19Rik	0	0	0	0
1700018A04Rik	0	0	0	0
1700018B08Rik	0	0.12	0.1	0
1700018B24Rik	0	0	0	0
1700018C11Rik	0	0	0	0
1700018F24Rik	0	0	0	0
1700018G05Rik	0	0	0	0
1700018L02Rik	1.66	2.68	2.2	2.6
1700019A02Rik	0	0	0	0
1700019B03Rik	0.08	0	0	0.08
1700019B21Rik	0	0	0	0
1700019C18Rik	0	0	0	0
1700019D03Rik	2.38	1.41	1.19	3.31
1700019E08Rik	0	0	0	0
1700019G17Rik	1.36	1.67	1.01	1.59
1700019G24Rik	0	0	0	0
1700019L03Rik	1.83	1.23	1.09	1.06
1700019M22Rik	0	0	0	0
1700019N19Rik	0	0	0.12	0
1700019O17Rik	0	0	0	0.07
1700020A23Rik	0.38	0.26	0.22	0.27
1700020D05Rik	1.91	2.14	0.64	1.14
1700020D14Rik	0	0	0	0
1700020G17Rik	0	0	0	0
1700020I14Rik	55.33	50.79	57.99	54.94
1700020L24Rik	12.08	16.69	10.56	12.17
1700020M21Rik	0	0	0	0
1700020N01Rik	0	0	0	0
1700020N15Rik	0	0	0	0
1700020N18Rik	0	0	0	0
1700021F05Rik	34.78	37.19	35.02	33.31
1700021F07Rik	0	0	0	0
1700021K19Rik	12.44	11.5	12.66	13.93
1700021N21Rik	0	0	0	0
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H01Rik	0.2	0.39	0.16	0
1700022H16Rik	0	0	0	0
1700022I11Rik	0.13	0.1	0.11	0.1
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700023F06Rik	0.11	0.11	0.09	0.11
1700024B18Rik	0	0	0	0
1700024F13Rik	0	0	0	0
1700024G13Rik	0	0	0	0
1700024I08Rik	0	0	0	0
1700024N05Rik	0	0	0	0
1700024P04Rik	0	0	0	0
1700024P16Rik	1.49	1.05	1.38	1.37
1700025B11Rik	0	0	0	0.25
1700025C18Rik	0	0	0	0
1700025F22Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	6.26	6.48	5.84	6.31
1700025J12Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	0	0.14	0	0.14
1700026D08Rik	0	0	0.08	0
1700026D11Rik	0	0	0	0
1700026F02Rik	0	0	0	0
1700026J14Rik	0	0	0.14	0
1700026L06Rik	0.2	0.2	0	0
1700027A15Rik	0	0	0	0
1700027F06Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	0	0	0.1	0
1700028B04Rik	0	0	0	0
1700028D13Rik	0	0	0	0
1700028E10Rik	0.12	0.18	0	0.06
1700028I16Rik	0.12	0	0.1	0.12
1700028J19Rik	0.11	0	0.45	0.32
1700028K03Rik	0.66	0.89	0.65	0.66
1700028M03Rik	0	0	0	0
1700028P14Rik	0	0	0	0
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F12Rik	0	0	0	0
1700029H14Rik	0.19	0.28	0.08	0.28
1700029I15Rik	1.25	0.41	0.35	2.07
1700029J03Rik	0	0	0	0
1700029J07Rik	1.99	2.01	2	2.16
1700029M20Rik	0	0	0	0
1700029N11Rik	0	0	0	0
1700029P11Rik	0.13	0	0	0
1700030A11Rik	0	0	0	0
1700030C10Rik	3.68	3.67	5.71	4.56
1700030F04Rik	0	0	0	0
1700030F18Rik	0.22	0	0	0.44
1700030J22Rik	0.46	0.58	0.35	0.29
1700030K09Rik	5.68	6.13	4.36	5.96
1700030L20Rik	0	0	0	0
1700030M09Rik	0	0	0	0
1700030N03Rik	0	0	0	0
1700030O20Rik	0	0	0.19	0
1700031A10Rik	0	0	0	0
1700031F05Rik	0	0	0	0
1700031M16Rik	0	0	0	0
1700031P21Rik	0	0	0	0
1700034E13Rik	0	0	0	0
1700034G24Rik	0	0	0	0
1700034H15Rik	0.03	0.12	0.08	0.12
1700034I23Rik	0.27	0.1	0.19	0.26
1700034J05Rik	0.06	0.06	0	0
1700034K08Rik	0	0	0	0
1700034O15Rik	0	0	0	0
1700034P13Rik	2.19	0.84	1	0.47
1700036G14Rik	0	0	0	0
1700037C18Rik	2	3.73	2.65	2.58
1700037H04Rik	27.13	22.48	24.38	24.24
1700039E15Rik	0	0	0	0
1700039E22Rik	0	0	0	0
1700040L02Rik	0	0	0	0
1700041A01Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042G07Rik	0	0	0	0
1700042G15Rik	0	0	0	0
1700042O10Rik	0.12	0.24	0.1	0.24
1700044C05Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	0	0	0	0
1700046C09Rik	0	0	0	0
1700047A11Rik	0	0.22	0	0.22
1700047E10Rik	0	0	0	0
1700047G03Rik	0.16	0	0	0
1700047I17Rik2	11.91	10.68	11.31	11.98
1700047L14Rik	0	0	0	0
1700047M11Rik	0.2	0	0	0
1700048M11Rik	0	0.29	0.74	0.59
1700048O20Rik	2.44	1.95	3.17	2.7
1700049E15Rik	0	0	0	0
1700049E22Rik	0	0	0	0
1700049G17Rik	2.79	2.8	2.73	3.22
1700049L16Rik	0	0	0	0
1700051A21Rik	0	0	0	0
1700052I22Rik	0	0	0	0
1700052K11Rik	6.55	6.06	5.78	7.51
1700054A03Rik	0	0	0.14	0
1700054K19Rik	0	0	0	0
1700054M17Rik	0	0	0	0
1700055C04Rik	0	0	0	0
1700056E22Rik	1.21	1.07	1.24	0.81
1700057G04Rik	0	0	0.1	0.12
1700057H15Rik	0	0	0	0
1700057H21Rik	0	0	0	0
1700060C16Rik	0	0	0	0
1700060C20Rik	0.23	0	0	0
1700061F12Rik	0	0	0	0
1700061G19Rik	0.05	0.05	0.04	0.15
1700061I17Rik	0.06	0	0	0
1700061J23Rik	0	0	0	0
1700063A18Rik	0	0	0	0
1700063D05Rik	0	0	0	0
1700063O14Rik	0	0	0	0
1700064J06Rik	0	0	0	0
1700064M15Rik	0	0.21	0	0
1700065D16Rik	0	0	0	0
1700065I16Rik	0	0	0	0
1700065J11Rik	0	0	0	0
1700065J18Rik	0	0	0	0
1700065L07Rik	0	0	0	0
1700065O20Rik	0	0	0	0
1700066B17Rik	0	0	0	0
1700066B19Rik	0	0.05	0	0
1700066J03Rik	0	0	0	0
1700066M21Rik	9.4	9.43	10.04	10.34
1700066N21Rik	0	0	0	0
1700066O22Rik	0	0	0	0
1700067G17Rik	0	0	0	0
1700067K01Rik	0.6	0.35	0.3	0.59
1700067P10Rik	0	0	0	0
1700069L16Rik	0	0	0	0
1700069P05Rik	0	0	0	0
1700071K01Rik	0	0	0	0
1700071M16Rik	0.1	0.15	0.04	0.2
1700072B07Rik	0	0	0	0
1700072I22Rik	0	0	0	0
1700072O05Rik	0	0	0	0
1700073E17Rik	0	0	0	0
1700074H08Rik	0	0	0	0
1700074P13Rik	0	0	0	0
1700080E11Rik	0	0	0	0
1700080N15Rik	0	0	0	0
1700080O16Rik	0	0	0	0
1700081H04Rik	0	0	0	0
1700084C01Rik	0	0.09	0.07	0.09
1700084D21Rik	0	0	0	0
1700084E18Rik	1	1.33	0.84	2
1700084F23Rik	0	0	0	0
1700084J12Rik	0	0	0	0
1700084M14Rik	0	0	0	0
1700085C21Rik	0	0	0	0
1700086L19Rik	0.48	0.64	0.4	0.32
1700086O06Rik	3.52	2.64	3.88	3.54
1700088E04Rik	3.4	3.41	2.99	1.41
1700091H14Rik	0	0	0	0
1700092C02Rik	0	0	0	0
1700092C10Rik	0	0	0	0
1700092E19Rik	0	0	0	0
1700092K14Rik	0	0	0	0
1700092M07Rik	0	0.78	0	0.78
1700093K21Rik	0	0.29	0.22	0.1
1700094D03Rik	1.39	1.58	1.5	1.67
1700094J05Rik	0	0	0.13	0.16
1700094M24Rik	0	0	0	0
1700095A21Rik	0	0	0	0
1700095B10Rik	0	0	0	0
1700095J12Rik	0	0	0.3	0
1700096J18Rik	0	0	0	0
1700096K18Rik	1.49	2.25	1.39	2.44
1700096P03Rik	0	0	0	0
1700097N02Rik	0	0	0	0
1700099I09Rik	0.43	0.22	0.36	1.05
1700100I10Rik	0	0	0	0
1700100L14Rik	0	0	0	0
1700101E01Rik	0	0.14	0	0
1700101I11Rik	0.33	0.65	0.27	0.49
1700101O22Rik	0	0	0	0
1700102H20Rik	0	0	0	0
1700102P08Rik	0.24	0.7	0.59	0.23
1700104L18Rik	0	0	0	0
1700105P06Rik	1.5	0	0.84	0
1700106J16Rik	0	0	0	0.1
1700108F19Rik	0	0	0.38	0
1700108J01Rik	0	0	0	0
1700109G14Rik	0	0	0	0
1700109G15Rik	0	0	0	0
1700109H08Rik	1.15	0.99	1.34	1.53
1700109I08Rik	0	0	0	0
1700109K24Rik	2.73	2.82	2.47	3.54
1700110C19Rik	0	0	0.16	0
1700110I01Rik	0	0	0	0
1700110I07Rik	0	0	0	0
1700110K17Rik	0	0	0	0
1700111N16Rik	0	0	0	0
1700112E06Rik	5.18	4.13	4.93	4.87
1700112H15Rik	0	0	0.14	0
1700112J05Rik	0	0.16	0	0.17
1700112J16Rik	0.11	0.17	0.19	0.06
1700113A16Rik	7.95	8.26	10.73	10.15
1700113B09Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700116B05Rik	0	0	0	0
1700119H24Rik	0	0	0	0
1700120C14Rik	0.41	0	0.35	0.8
1700120E14Rik	0	0	0	0
1700120G07Rik	0	0	0	0
1700120K04Rik	0	0	0.86	0.26
1700121L16Rik	0	0	0	0
1700121N20Rik	0	0	0	0
1700122C19Rik	0	0	0	0
1700122O11Rik	0	0	0	0
1700123I01Rik	0	0	0.13	0.08
1700123J17Rik	0	0	0	0
1700123K08Rik	0	0	0	0
1700123L14Rik	0.07	0	0	0.07
1700123M08Rik	1.58	2.64	1.72	2.66
1700123O12Rik	0	0	0	0
1700123O20Rik	43.92	44.41	42.58	45.07
1700123O21Rik	0	0	0	0
1700124L16Rik	0	0	0	0.44
1700125G02Rik	0	0	0	0
1700125G22Rik	0	0	0	0
1700125H03Rik	2.98	1.61	1.4	3.3
1700125H20Rik	0	0.13	0	0
1700126H18Rik	0	0	0	0
1700128A07Rik	0	0	0	0.15
1700128F08Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1810006J02Rik	0	0	0	0
1810007C17Rik	0	0	0	0
1810007D17Rik	0	0	0	0
1810008I18Rik	0	0	0	0
1810009A15Rik	108.68	114.63	112.55	108.08
1810009J06Rik	0	0	0	0
1810010D01Rik	0.7	1.52	0.47	0.84
1810010H24Rik	2	1.63	3.53	1.99
1810011H11Rik	2.07	2.73	2.3	3.08
1810011O10Rik	5.17	7.21	5.92	6.96
1810012K16Rik	0	0.25	0.86	0.26
1810013A23Rik	0	0.35	0.59	0
1810013L24Rik	36.45	33.02	33.88	33.11
1810014B01Rik	2.02	2	1.24	2.25
1810018F18Rik	0	0	0	0
1810019D21Rik	1.29	1.67	1.11	1.8
1810020O05Rik	0	0.12	0.1	0
1810021B22Rik	3.32	3.29	2.25	2.07
1810022K09Rik	152.86	158.29	149.19	150.71
1810024B03Rik	0.3	0.2	0.08	0
1810026B05Rik	4.28	4.99	3.49	3.94
1810026J23Rik	45.83	45.65	41	44.36
1810030O07Rik	32.97	32.69	32.08	33.2
1810032O08Rik	26.15	26.63	29.04	27.48
1810034E14Rik	0.35	0.97	0.99	1.18
1810037I17Rik	69.95	75.87	81.15	67.37
1810041H14Rik	0.54	0	0.9	1.07
1810041L15Rik	0.1	0.08	0.17	0.14
1810043G02Rik	10.84	13.45	11.53	12.56
1810043H04Rik	33.26	41.74	33.05	39.68
1810044D09Rik	3.22	5.5	3.91	1.46
1810046K07Rik	0	0	0	0
1810053B23Rik	0	0	0	0
1810055G02Rik	58.33	51.83	49.05	52.57
1810058I24Rik	82.43	90.68	83.1	93
1810062G17Rik	1.73	2.71	2.52	2
1810062O18Rik	2.67	1.59	1.53	3.12
1810063I02Rik	0	0	0	0
1810064F22Rik	0	0	0	0
1810065E05Rik	0	0	0	0
2010001A14Rik	10.3	6.91	8.16	9.38
2010001E11Rik	0.22	0.27	0.32	0.05
2010003K11Rik	0.11	0.33	0.28	0.22
2010005H15Rik	0.53	0.26	0.44	0.26
2010009K17Rik	0.24	0	0	0.48
2010010A06Rik	0	0.27	0	0
2010012O05Rik	5.61	5.44	4.5	5.3
2010016I18Rik	0	0	0.07	0
2010106C02Rik	0	0	0	0.21
2010106E10Rik	0.1	0.2	0	0
2010107E04Rik	230.56	245.93	287.95	234.88
2010107G12Rik	0.17	0.11	0.1	0.17
2010107G23Rik	0	0.07	0.18	0.22
2010109A12Rik	0.25	0	0.21	0
2010109I03Rik	0	0.07	0.11	0.4
2010111I01Rik	5.69	6.09	8.85	9.75
2010204K13Rik	1.52	0.95	1.48	2.02
2010300C02Rik	0.06	0.03	0.05	0.06
2010308F09Rik	0	0	0	0
2010310C07Rik	0	0	0	0
2010315B03Rik	13.69	13.68	12.77	12.93
2010320M18Rik	17.77	14.75	17.83	14.29
2200002D01Rik	0.56	2.2	2.09	3.32
2200002J24Rik	0	0	0	0
2210010C04Rik	0	0	0	0
2210011C24Rik	0.29	0.29	0.36	0.43
2210013O21Rik	94.7	82.64	86.67	91.21
2210015D19Rik	6.8	6.75	6.17	6.39
2210016F16Rik	29.75	30.63	31.21	28.09
2210016L21Rik	44.26	45.64	42.36	44.35
2210018M11Rik	15.19	14.76	13.42	15.67
2210019I11Rik	0	0	0	0
2210039B01Rik	0.75	0.37	0.21	0.5
2210404E10Rik	0	0	0	0
2210404O09Rik	3.67	3.17	3.22	3.54
2210406O10Rik	0.38	0.75	0.99	0.76
2210407C18Rik	0	0.15	0	0
2210408F21Rik	11.24	11.74	9.38	11.34
2210408I21Rik	5.43	5.23	3.93	4.97
2210409D07Rik	0	0	0	0
2210409E12Rik	0	0	0	0
2210414B05Rik	0	0	0	0
2210416O15Rik	0.09	0	0.14	0
2210417A02Rik	0	0	0.21	0.25
2210420H20Rik	0	0	0	0
2300002M23Rik	0	0	0	0
2300003K06Rik	0	0	0	0
2300005B03Rik	0	0	0	0
2300009A05Rik	13.79	13.65	12.09	9.84
2310001H17Rik	2.97	4.23	4.69	4.44
2310001K24Rik	3.7	3.2	2.1	3.82
2310002D06Rik	0	0	0	0
2310002F09Rik	0	0	0.04	0
2310002L09Rik	0	0	0	0
2310003N18Rik	0	0	0	0
2310005A03Rik	0	0	0	0
2310005E17Rik	0	0	0	0
2310007B03Rik	0	0	0.05	0.05
2310008N11Rik	0	0	0.41	0
2310009A05Rik	36.3	32.81	40.18	32.12
2310009B15Rik	19.63	20.39	22.06	17.13
2310010G23Rik	2	1.48	0.94	0.99
2310010J17Rik	6.71	3.13	2.31	2.75
2310011J03Rik	37.68	35.73	38.25	37.36
2310015A10Rik	2.32	2.47	2.82	2.59
2310015D24Rik	0	0	0	0
2310016D03Rik	0	0	0	0
2310020H05Rik	0	0	0	0.37
2310022A10Rik	11.53	11.98	14.34	13.32
2310022B05Rik	53.51	54.42	48.73	52.34
2310030A07Rik	0	0	0	0
2310030G06Rik	0.31	0.61	0.95	0.92
2310033P09Rik	27.65	28.3	28.52	28.76
2310034C09Rik	0	0	0	0
2310034G01Rik	2.36	2.17	1.55	1.34
2310034O05Rik	0	0	0	0
2310035C23Rik	17.29	15.78	15.76	16.03
2310036O22Rik	183.12	195.46	220.77	179.36
2310039H08Rik	25.67	19.1	25.46	21.27
2310039L15Rik	0	0.21	0	0
2310040G24Rik	0.51	0.25	0.63	0.34
2310043L19Rik	0	0	0.64	0.77
2310043O21Rik	0	0	0	0
2310045N01Rik	42.03	43.13	43.11	39.1
2310045n01rik-mef2b	0	0	0	0
2310047M10Rik	25.71	25.18	27.99	23.1
2310050C09Rik	0	0	0	0
2310057J18Rik	0	0	0	0
2310057M21Rik	12.15	9.36	9.26	11.31
2310057N15Rik	0	0	0	0
2310061I04Rik	19.52	17.08	16.73	18.2
2310061N02Rik	0	0	0	0
2310065F04Rik	0	0	0	0
2310067B10Rik	10.59	9.4	9.82	9.72
2310068J16Rik	1.78	1.23	1.77	1.12
2310069B03Rik	0.07	0	0	0
2310069G16Rik	0	0.15	0.13	0
2310075C17Rik	0	0	0	0
2310079G19Rik	0	0	0	0
2310081J21Rik	0.26	0.77	0.22	0.51
2400006E01Rik	0	0	0	0
2410002F23Rik	45.81	49.86	41.15	44.54
2410003L11Rik	0	0	0.19	0
2410004B18Rik	31.54	28.32	31.02	29.93
2410004I01Rik	0	0	0	0
2410004P03Rik	0.43	0.14	0.12	0.36
2410006H16Rik	649.8	663.16	693.9	633.87
2410012E07Rik	0	0	0	0
2410015M20Rik	141.63	159.15	160.8	144.34
2410016O06Rik	18.76	17.63	16.02	15.72
2410017I17Rik	0	0	0.07	0
2410018L13Rik	3.3	1.7	2.83	2.71
2410021H03Rik	0.18	0.35	0	0.35
2410089E03Rik	11.28	9.84	10.19	10.65
2410124H12Rik	0	0	0	0
2410127L17Rik	37.61	37.65	38.22	41.18
2410131K14Rik	10.67	10.33	9.88	10.99
2410137M14Rik	0	0	0	0
2410141K09Rik	0	0	0.07	0
2500002B13Rik	0.99	1.71	1.44	1.23
2500004C02Rik	2.44	1.9	2.81	2.89
2510002D24Rik	8.63	9.06	9.9	9.42
2510003B16Rik	0.33	0	0.64	0
2510009E07Rik	21.03	19.86	18.33	19.61
2510039O18Rik	56.1	59.31	56.98	62.16
2610001J05Rik	36	38.82	38.26	40.21
2610002M06Rik	6.49	6.28	6.61	7.27
2610005L07Rik	31.06	29.01	27.31	27.84
2610008E11Rik	14.72	16.67	13.45	17.19
2610015P09Rik	7.25	7.31	7.1	6.48
2610016A17Rik	3.61	3.28	2.77	4.5
2610020C07Rik	2.16	1.89	1.99	2.43
2610020H08Rik	7.33	5.73	5.7	5.52
2610027K06Rik	0	0.17	0.09	0.23
2610028E06Rik	0	0	0.06	0
2610028H24Rik	0	0	0	0
2610035D17Rik	4.21	3.7	3.63	4.05
2610035F20Rik	0	0	0	0.11
2610037D02Rik	0	0	0.06	0.07
2610042L04Rik	0	0.15	0.09	0.16
2610044O15Rik8	8.84	7.42	8.15	9.58
2610100L16Rik	0	0	0	0
2610203C22Rik	0.21	0.2	1.12	0.31
2610206C17Rik	0	0.07	0.12	0.22
2610301B20Rik	17.96	20.41	20.36	21.29
2610305D13Rik	1.83	1.48	1.53	1.91
2610306M01Rik	2.13	1.49	2.41	2.12
2610307P16Rik	0.05	0.15	0.17	0.4
2610316D01Rik	0	0.28	0.36	0.42
2610318N02Rik	0	0.2	0.34	0.3
2610507B11Rik	89.23	81.22	79.19	84.29
2610507I01Rik	5.06	5.85	4.9	5.29
2610524H06Rik	23.22	26.42	27.71	23.67
2610528A11Rik	1.24	1.05	1.47	0.35
2610528J11Rik	0	0	0	0
2700029M09Rik	30.94	36.12	32.28	32.21
2700038G22Rik	4.92	5.6	4.19	4.04
2700046A07Rik	0	0	0	0.06
2700046G09Rik	1.92	2.74	2.5	1.76
2700049A03Rik	7.56	6.66	6.34	7.44
2700054A10Rik	0.18	0.14	0.15	0.03
2700060E02Rik	201.62	223.16	207.66	214.05
2700062C07Rik	24.13	21.41	22.99	20.9
2700069I18Rik	2.21	2.19	1.7	2.03
2700070H01Rik	0.14	0.14	0.12	0.14
2700081O15Rik	21.31	19.91	19.39	19.87
2700089I24Rik	0.21	0.07	0.11	0.07
2700094K13Rik	56.54	59.63	84.7	62.98
2700097O09Rik	7.99	6.53	6.26	7.11
2700099C18Rik	8.23	9.15	8.87	9.4
2810001G20Rik	9.46	12.25	12.28	14.35
2810002D19Rik	7.95	7.03	9.07	9.36
2810004N23Rik	76.58	83.67	77.1	81.19
2810006K23Rik	16.36	13.26	13.04	13.32
2810013P06Rik	6.84	6.77	6.64	6.81
2810021J22Rik	3.84	3.06	3.49	3.95
2810025M15Rik	19.32	21.04	21.47	18
2810029C07Rik	0.45	0.76	0.64	0.57
2810032G03Rik	5.8	6.75	4.67	4.86
2810047C21Rik1	3.79	2.87	4.03	3.34
2810049E08Rik	0	0	0	0
2810403A07Rik	32.93	33.46	31.31	33.84
