	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NR_037917	127.89	152.06	102.16	192.91	183.16	129.77
NM_148959	1	1	1	1	1	1
NM_031407	4883	6079	3681	5926	6087	4919
NM_001040107	24.19	26.19	0	22.21	25.5	0
NM_001256413	0	0	0	0	0	0
NM_032369	0	0	17.18	0	0	26.31
NM_033159	0	0	0	0	0	0
NM_153281	3	0	0	0	0	2
NM_153282	0	0	0	0	0	0
NM_153283	0	2	0	0	2	0
NM_153285	0	0	2	0.04	0	0
NR_047690	0	0	0	1.96	0	0
NM_003773	302.34	268.94	249.74	431.34	318.39	355.95
NM_033158	114.66	149.06	80.26	200.66	200.61	149.05
NM_001200029	77.92	67.22	32.77	184.68	166.48	145.77
NM_001200030	0	0	0	11.22	9.81	43.11
NM_001200031	4.7	10.48	0	0	0	0
NM_001200032	0	0	0	9.02	30.52	10.56
NM_003549	14.01	15.93	34.05	0	0	0
NM_012269	0	0	0	0	0	0
NR_002731	0	0	0	0	0	0
NM_001198542	0	0	0	0	0	0
NM_001198543	3.83	2.76	2.76	0.76	1.52	3
NM_001270974	1.17	1.24	1.24	1.24	2.48	0
NM_017558	0	0	0	0	0	0
NM_001190880	59.53	31.39	71.02	119.56	52.27	48.03
NM_001243526	25.36	46.86	0	74.92	15.45	17.5
NM_031207	156.74	202.89	132.96	14.69	109.65	108.36
NM_001013619	3	0	0	0	2	3
NM_001083612	1	11	8	1	0	1
NM_001134793	48.23	24.11	8.04	8.04	8.04	32.15
NM_145014	26.77	62.89	41.96	31.96	41.96	15.85
NR_002768	1.03	0	0	1.03	1.03	0
NM_001130991	2574.32	3019.64	1973.54	3582.26	2807.25	2686.5
NM_006389	1479.68	1294.36	1089.46	1077.74	1166.75	739.5
NM_001199885	0	0	0	2.62	2.51	0
NM_016400	0	9.93	0	0	0	0
NM_012274	0	0	0	0	0	0
NM_001039613	634	725	509	468	462	419
NM_000415	0	0	0	0	0	0
NM_002161	4653.98	4702.67	3661.46	3466.23	3759.1	2857.54
NM_013417	2131.02	2411.33	1669.54	1659.15	2088.9	1526.46
NR_073446	0	0	0	113.62	0	0
NM_018060	1744	1932	1284	2152	1898	1700
NM_001010867	118	145	101	92	89	65
NM_001310327	0	0	0	0	0	0
NR_103539	0	0	2	0	0	0
NR_103540	0	0	0	0	0	0
NM_004967	0	0	0	0	0	0
NM_001300906	0	0	0	0	167.23	136.87
NM_015525	1284	1470	980	1532	1336.77	1150.13
NM_001136020	0	0	0	0	0	0
NM_001276478	0	0	0	0	0	0
NM_004968	0	0	0	0	0	0
NM_022307	0	0	0	0	0	0
NM_001288622	0	76.63	46.81	0	24.54	0
NM_001288623	45.74	0	0	30.16	0	0
NM_001288624	2.37	0.43	1.37	0	1.57	0
NM_138468	0	0	0	0	0	28.08
NM_000201	300	487	241	9986	12312	10535
NM_000873	0	0	0	0	0	0
NM_001099786	0	0	0	0	0	0
NM_001099787	0	0	0	0	0	0
NM_001099788	0	0	0	0	0	0
NM_001099789	9	1	2.8	15.81	5.83	13.08
NM_002162	147	171	93	307	224	217
NM_001039132	11.52	13.93	20.59	19.47	0	0
NM_001544	16.48	17.77	9.41	12.48	14.3	19.8
NM_022377	0	6.3	0	27.06	56.7	29.2
NM_003259	349	348	244	1250	936	1093
NM_015325	848	934	648	744	640	541
NM_001018089	0	312.77	148.21	44.8	37.03	0
NM_001276385	58.58	46.63	31.06	40.63	19.4	9.71
NM_024611	436.42	155.59	194.73	236.56	250.58	229.29
NM_014920	396.19	483	365	175.26	133	134
NM_016513	48.81	0	0	24.74	0	0
NM_012405	2569.82	2915.9	2030.86	2265.77	2102.75	1822.9
NM_012092	0	0	0	0	0	0
NM_001283050	0	0	1.43	0	0	0
NM_001283051	9	5	0	58.6	1.62	0
NM_001283052	0	0	0	0	26.14	40
NM_015259	0	0	7.57	18.4	21.24	0
NM_001303265	0	0	0	14.66	0	0
NM_001545	268	294	203	257.34	251	258
NM_002165	140.7	169.53	105.5	128.32	102	95
NM_181353	14.3	6.47	7.5	6.68	0	0
NM_002166	615	778	523	24	11	19
NR_110153	1	5	2	0	1	0
NR_110154	2	1	2	0	0	1
NM_002167	361	432	328	111	51	77
NM_001546	9	10	3	0	2	2
NM_001165946	0	0	0	0	0	0
NM_004969	1163	1329	902	899	781	675
NM_001282386	79.22	60.1	79.63	0	110.45	26.49
NM_001282387	79.35	62.82	69.64	0	120.43	39.81
NM_005896	2646.43	2769.07	2009.74	1935	1666.11	1619.7
NR_046452	2	4	4	1	2	1
NM_001289910	403.85	419.72	181.37	167.02	98.83	144.85
NM_001290114	73.86	78.33	16.34	19.69	0	9.72
NM_002168	688.29	601.96	582.29	333.28	268.17	305.43
NM_005530	460	510	311	831	769	707
NM_001258384	10.55	4.81	5.17	4.88	0	4.8
NM_006899	645.36	710.33	485.93	1054.06	832	773.06
NM_174855	30.09	32.85	31.9	17.05	0	16.14
NM_004135	582.72	648.43	487.42	747.17	525.42	591.6
NM_174869	46.68	37	15.23	110.45	99	108.21
NM_004508	1033.06	1175.75	846	2066.16	1272.73	1581.51
NM_033261	51	42	34	42	49	36
NR_024628	0	0	0	0	0	4.49
NR_024629	8.94	2.25	0	5.84	3.27	0
NR_027708	0	0	0	0	0	0
NR_027709	0	0	0	0	0	0
NM_001001551	11.93	14	0	0	0	0
NM_001256915	0	0	0	0	6	0
NR_046421	8.01	0	12	4	0	3
NR_046422	4.07	0	0	0	0	0
NM_002164	0	2	0	2	1	0
NM_194294	0	0	0	0	0	0
NM_000202	2453.55	2583.6	1714.22	6003.54	5015.22	4876.39
NM_001166550	81.84	0	0	60.1	61.81	97.48
NM_006123	30.95	97.4	74.37	75.81	162.18	188.07
NR_104128	88.66	97	108.41	243.55	209.79	142.06
NM_000203	583.51	441	265.9	336.15	211.33	235.27
NR_110313	0	29.8	71.07	24.71	66.21	0
NM_004907	821	863	681	1568	1734	1681
NM_003897_4	923	1161	836	16564	16979	19146
NM_016097	928	935	662	787	749	689
NM_016545	1196	1391	899	1101	897	860
NM_203434	477	590	416	422	350	414
NM_001039670	256.35	266.56	152.35	240.53	112.62	187.21
NM_001193457	61.3	86.75	50.78	144.11	132.72	81.27
NM_080730	152.85	87.2	126.87	170.01	216.61	117.4
NR_036467	100.5	72.5	83	65.35	93.05	76.12
NM_001136265	426	469	319	494	381	395
NM_001206567	58.24	152.67	159.79	193.28	208.8	188.67
NM_005531	1561.76	1517.33	1101.21	1940.72	1716.2	1537.33
NM_001130080	0	0	15.75	0	0	0
NM_001288952	0	0	0	0	0	0
NM_001288954	0	0	0	5.62	4.88	3.98
NM_001288956	0	0	10.92	0	0	0
NM_001288957	0	0	0	0	0	0
NM_001288958	0	0	0	0	0	0
NM_001288959	0	0	0	0	0	0
NM_001288960	17.99	6.1	2.33	33.06	10.41	18.17
NM_001288995	20.19	25.5	0	51.17	48.96	65.6
NM_005532	40.82	19.4	0	29.14	37.75	38.25
NM_145249	8.63	3.95	9.53	11.96	7.95	17.67
NM_206949	75.37	87.05	60.47	57.04	67.05	47.33
NM_032036	669	624	428	738	615	561
NM_006332	127	120	87	426	362	327
NM_005533	328	333	244	82	86	79
NM_006417	114	118	67	96	49	91
NM_006820	86	65	29	4	3	2
NM_002038	1207.71	866.95	475.92	712.95	619.27	675.56
NM_022872	282.3	156.94	150.58	165.96	135.54	152.05
NM_022873	29.99	50.11	27.5	37.09	16.19	17.39
NM_022168	211	251	141	115	90	113
NM_001270927	0	0	0	0	0	0
NM_001270928	0	0.05	0	0	0	0
NM_001270929	0	30.95	53.52	0	0	0
NM_001270930	0	0	0	0	0	0
NM_001548	207	293.99	155.48	24	11	20
NM_001010987	0	0	0	0	0	0
NM_001547	109	204	124	7	25	19
NM_001031683	211.56	434.37	169.25	122.87	56.57	36.65
NM_001289758	0	0	0	0	0	0
NM_001289759	0	0	0	0	0	0
NM_001549	149.44	84.63	68.75	19.13	81.43	113.35
NM_012420	477	525	348	324	356	281
NM_003641	531.84	488.35	430.77	283.93	198.87	288.58
NM_001170820	34	40	24	31	24	21
NM_006435	2102.32	2540.22	1818.25	799.61	678.47	750.84
NM_021034	5865.34	6361.53	4493.34	2988.35	2621.65	2634.07
NR_049759	75.5	78.91	69.63	12.11	0	45.5
NR_001590	0	0	0	0	0	0
NM_001025295	0	0	0	0	0	0
NM_024013	0	0	0	8	0	4
NM_002171	0	0	0	0	0	0
NM_006900	1	0	0	0	1	0
NM_002172	0	0	0	0	0	0
NM_002173	0	0	0	0	0	0
NM_021268	0	0	0	0	0	0
NM_000605	0	0	0	0	0	0
NM_002175	0	0	0	0	0	0
NR_036676	0	0	0	0	0	0
NM_021068	0	0	0	0	0	0
NM_002169	0	0	0	0	0	0
NM_021002	0	0	0	0	0	0
NM_021057	0	0	0	0	0	0
NM_002170	0	0	0	0	0	0
NM_000629	1238	1472	1006	1789	1771	1608
NM_000874	35.74	17.69	0	22.7	37.11	39.95
NM_001289125	86.26	47.43	0	75.14	106.83	82.68
NM_001289126	0	17.73	23.95	24.92	0	0
NM_001289128	0	8.11	0	12.58	0	0
NM_207584	43.27	80.22	54.91	99.11	46.52	97.86
NM_207585	92.73	100.81	124.15	145.55	132.54	126.51
NM_002176	0	0	0	0	0	0
NM_176891	5	1	1	48	36	28
NM_000619	0	0	0	0	0	0
NR_104124	0	0	0	0	0	0
NR_104125	0	0	0	1	0	0
NM_000416	179	227	169	272	290	262
NM_005534	1055.08	1149.25	789.68	2351.64	2335.75	2229.76
NM_020124	0	0	0	0	0	0
NM_172140	0	0	0	0	0	0
NM_172138	0	0	0	0	0	0
NM_172139	0	0	0	0	0	0
NM_001276254	0	0	0	0	0	0
NR_074079	0	0	0	0	0	0
NM_170743	0	0	0	0	0	0
NM_173064	0	0	0	0	0	0
NM_173065	1	0	0	1	0	1
NM_002177	0	1	0	0	0	0
NM_001007245	6.7	60.15	34.62	12.85	0	0
NM_001197079	5.98	0	0	0	6.26	15.73
NM_001197080	27.96	0	11.95	0	0	0
NM_001550	983.36	968.85	634.44	442.15	866.74	699.27
NR_120333	0	0	0	0	0	0
NM_006764	870	884	605.79	1204	1185.85	953.83
NM_001280541	0	0	18.56	0	0	0
NM_001280545	0	0	0	0	0	0
NM_001280546	0	0	0	0	0	0
NM_018262	207.34	269.26	165.81	172.74	149.49	121.66
NM_052985	0	0	0	0	0	0
NM_052989	0	18.22	0	17.9	0	0
NM_052990	153.52	105.52	56.38	104.26	98.51	107.34
NM_014714	437	445	340	192	187	157
NM_015662	331	303	207	200	153	155
NM_001267774	338.48	275.25	247.2	325.07	316.87	328.15
NM_001267775	16.54	23.13	0	19.26	19.49	9.85
NM_001267776	365.56	415.76	221.46	363.49	315.84	304.92
NM_001267777	8.32	0	8.13	0	0	0
NM_001267778	0	0	0	0	0	0
NM_174887	0	7.96	4.17	15.37	4.07	12.66
NM_001130820	43.59	8.27	21.15	28.36	6.4	8.89
NM_001130821	0	0	0	0	0	0
NM_001130822	48.17	29.36	0	21.51	7.33	0
NM_001287525	0	0	0	0	0	0
NM_001287526	6.13	13.15	5.29	42.34	4.53	5.93
NM_022777	253.11	269.22	200.56	262.79	324.74	287.18
NM_001177701	327.55	285	212	383	315	297
NM_006860	0	0	0	0	0	0
NR_033531	2.45	0	0	0	0	0
NM_001102564	238.61	250.76	151.95	196.21	171.92	155.44
NM_001255995	1.34	11.72	5.24	10.79	7.08	7.71
NM_052873	0	4.52	4.43	0	0	0
NR_045664	6.05	0	2.37	0	0	2.85
NR_045665	0	0	0	0	0	0
NM_001168618	186.31	218.15	161.42	196.63	152.62	177.81
NM_020153	69.69	35.85	13.58	16.37	50.38	21.19
NM_001303458	211.8	140.88	188.91	43.13	167.51	152.49
NM_001303459	0	10.28	0	0	0	0
NM_016004	263.2	410.84	219.09	278.87	130.49	96.51
NM_018010	833	897	678	744	626	605
NM_001099222	0	0	0	0	21.98	32.84
NM_001099223	0	0	0	51.59	45.9	5.67
NM_001099224	8.57	4.25	3.56	5.45	4.78	2.86
NM_025103	287.43	332.75	273.44	170.13	147.4	168.77
NR_121605	0	0	0	0	1	0
NM_001190241	61.02	79.05	63.25	84.44	0	41.28
NM_001190242	262.12	289.81	148.92	177.14	175.98	172.66
NM_020800	149.86	116.13	115.82	108.41	96.02	122.59
NM_001143779	151.86	125.19	63.37	145.3	108.86	113.13
NM_014055	52.61	65.98	78.82	124.21	123.09	110.15
NM_031473	15.53	25.83	20.81	23.49	11.06	19.73
NM_006531	236.79	226.91	179.96	243.33	207.34	171.84
NM_175605	51.21	22.09	19.04	39.67	45.66	28.16
NM_001551	843	813.98	678	743	685	598
NR_002937	0	1.02	0	0	0	0
NM_004884	2	1	0	4	0	0
NM_020962	679	719	469	633	575	515
NM_000618	0	14	0	0	0	0
NM_001111283	0	0	0	0	0	0
NM_001111284	23	0	14	1	0	0
NM_001111285	0	0	0	0	0	1
NM_000875	558.32	947.07	364.22	153.97	410.52	208.3
NM_001291858	780.06	559.73	651.87	477.92	139.15	282.51
NM_000612	160.11	138.06	114.3	966.13	857.28	818.58
NM_001007139	0	0	0	0	0	0
NM_001127598	0	0	0	0	0	19.59
NM_001291861	457.15	572.94	447.7	1135.87	1228.72	1146.62
NM_001291862	0	0	0	0	0	4.86
NR_028043	1.47	0	1	3	2	4.35
NR_028044	0	0	0	0	0	0
NM_001160423	0	0	0	0	0	0
NM_006546	1451	1557	1071	1981	1861	1552
NM_001007225	374.49	638.2	432.24	399.39	541.09	540.63
NM_001291869	67.82	120.93	0	31.93	144.01	36.89
NM_001291872	0	5.49	0	0.94	2.73	1.11
NM_001291873	0	89.92	113.69	60.5	29.47	55.27
NM_001291874	0	29.46	35.91	12.85	9.91	17.63
NM_001291875	0	0	0	0	0	0
NM_006548	1600.69	1605.99	1150.16	1467.38	1274.79	1370.47
NR_126326	0	0	0	0	0	0
NM_006547	2531	3078	1949	1864	1931	1619
NM_000876	8385	9083	6152	9151	9822	7465
NM_001146006	0	0	0	0	0	0
NM_004970	0	0	0	0	0	0
NR_027389	0	0	1	0	0	0
NM_000596	0	0	0	34	19	38
NM_000597	264	191	110	177	159	143
NM_000598	10516	12686	8686.18	2222	1609	1831
NM_001013398	0	36	36.82	0	0	0
NM_001552	23976	24736	17212	29869	21363	24900
NM_000599	83441	101659	69051	29292	17143	23022
NM_002178	569	661	500	257	243	266
NM_001253835	79.19	93.58	70.55	40.28	28.45	30.38
NM_001553	29671.65	29691.98	22022.26	10492.84	9884.47	9695.71
NR_034081	2.06	5.14	5.15	0	0	1.03
NM_001007563	0	2	1	2	0	2
NM_198541	0	0	0	0	0	0
NM_001002915	0	0	0	0	0	0
NM_001135113	0	0	0	0	0	0
NM_207393	0	0	0	0	0	0
NM_001002923	0	0	0	0	0	0
NM_024660	18	11	14	5	5	3
NM_001164586	0	0	1	4	3	2
NM_002180	280	307	223	452	427	359
NM_001007189	253	250	147	212	208	211
NM_020070	0	0	0	0	0	0
NM_152855	0	0	0	0	0	0
NR_029395	0	0	0	0	0	0
NM_001178126	0	0	0	0	0	0
NM_001256296	0	0	0	0	0	0
NM_001101372	0	0	0	0	1	0
NM_001170961	0	0	0	0	0	0
NM_001170962	0	0	0	0	0	0
NM_001170963	0	0	0	0	0	0
NM_001555	0	0	0	0	0	0
NM_205833	0	0	0	0	0	0
NM_001178145	0	0	0	0	0	0
NM_001178146	0	0	0	1.33	0	0
NM_178822	0	2	1.17	0	1.16	1.1
NM_001015887	1	1	0	0	0	0
NM_152538	0	0	0	0	0	1
NR_046230	0	0	0	0	0	0
NM_032880	0	0	0	0	0	0
NM_173588	0	0	0	0	1.04	1.06
NM_001205280	3	4	2	0	0	1
NM_001007237	0	0	0	0	0	0
NM_001542	2	4	0	1	0	1
NM_001080444	0	0	0	0	0	0
NM_005849	1	0	0	0	1	1
NM_001206665	244.68	281.82	179.55	445.41	346.84	349.82
NM_052868	109.32	131.18	87.45	65.59	131.16	131.18
NM_001135050	0	0	0	0	0	0
NM_020789	0	0	0	0	1	0
NM_001277285	1	0	0	0	0	0
NM_002181	0	0	0	0	0	0
NM_006083	1492.17	1549.24	1164.06	1654.9	1418.79	1335.47
NM_153687	989.75	1083.63	743.98	1095.02	1098.61	860.95
NM_201612	856.41	987.96	594.8	1441.49	1241.93	1178.54
NM_201613	100.83	84.41	85.22	235.49	97.47	145.36
NM_003640	911	990	696	1248	1069	911
NM_001190720	0	0	0	0	0	0
NM_001242778	173.3	218.79	53.4	157.28	0	28.49
NM_001556	530.96	513.44	479.6	547.74	596	480.86
NR_033818	0	24.77	0	32.99	0	39.65
NR_033819	0	0	0	0	0	0
NR_040009	30.74	0	0	0	0	0
NM_001193321	0	0	19.98	47.89	16.99	0
NM_001193322	39.29	127.89	0	2.99	0	0.44
NM_014002	240.71	196.11	200.02	577.12	512.01	502.56
NM_001099856	417.06	170.83	266.53	394.57	291.28	315.91
NM_001099857	555.4	808.34	417.28	340.07	452.82	334.21
NM_001145255	33.65	36.33	21.34	7.83	8.88	7.68
NM_003639	152.76	190.65	124.31	82.33	0	0
NM_001220765	0	0	0	0	0	0
NM_001220767	0	0	0	0	0	0
NM_001220768	0	0	0	0	0	0
NM_001220770	0	0	0	1	0	0
NM_001220771	0	0	0	0	0	0
NM_001291837	0	0	0	0	0	0
NM_001291838	0	0	0	0	0	0
NM_001291839	0	0	0	0	0	0
NM_001291840	0	0	0	0	1	0
NM_001291841	0	0	0	0	0	0
NM_001291842	0	0	0	0	0	0
NM_001291843	0	0	0	0	0	0
NM_001291844	0	0	0	0	0	0
NM_001291845	0	0	0	0	0	0
NM_001291846	0	0	0	0	0	0
NM_001291847	0	0	0	0	0	0
NM_006060	0	0	0	0	0	0
NM_001079526	42.58	34.46	86	0	0	56
NM_016260	61.42	91.54	0	69	52	0
NM_001257408	0	0	0	0	0	0
NM_001257409	0	0	0	0	0	0
NM_001257410	0	0	0	0	0	0
NM_001257411	0	0	0	0	0	0
NM_001257412	0	0	0	0	0	0
NM_001257413	0	1	0	0	0	0
NM_001257414	0	0	0	0	0	0
NM_001284514	0	0	0	0	0	0
NM_001284515	0	0	0	0	0	0
NM_001284516	0	0	0	0	0	0
NM_012481	0	0	0	0	0	0
NM_183228	0	0	0	0	0	0
NM_183229	0	0	0	0	0	0
NM_183230	0	0	0	0	0	0
NM_183231	0	0	0	0	0	0
NM_183232	0	0	0	0	0	0
NM_022465	182	166	126	106	88	78
NM_001271840	55.07	0	0	0	0	0
NR_073475	116.14	152.41	126.25	111.09	167	174
NR_073476	0	0	0	82.52	0	0
NR_073477	0	34.18	0	0	0	0
NR_073478	0	0	0	41.4	0	0
NR_073479	28.79	20.41	25.75	0	0	0
NM_000572	0	0	0	1	2	0
NM_001558	0	0	0	0	0	0
NR_026691	0	0	0	0	0	0
NM_000628	699	753	529	498	437	470
NR_038974	5	6	7	5	6	4
NM_000641	144	179	123	2705	2722.79	4058.88
NM_001267718	0	0	0	0	33.21	13.12
NM_001142784	208	192	147	60	53	33
NR_052010	0	0	0	0	0	0
NM_000882	49	55	26	41	29	37
NR_108088	1	2	1	0	0	0
NM_002187	0	0	0	0	0	0
NM_001290023	3.05	1.71	0	1	0	2
NM_001290024	0	0	0	0	0	0
NM_005535	0	0	0	0	0	0
NM_153701	1.95	7.29	1	0	1	0
NM_001258214	0	0	0	0	0	0
NM_001258215	0	1	2	0	0	0
NM_001258216	0	0	0	0	0	0
NM_001559	0	0	0	0	0	0
NR_047583	0	0	0	0	0	0
NR_047584	0	0	0	0	0	0
NM_002188	0	0	0	0	0	0
NM_001560	1898	2037	1507	1883	1767	1588
NM_000640	2	0	0	36	52	63
NM_000585	30.57	46.26	27.25	9.39	9.91	10.65
NM_172175	38.32	30.93	28.29	9.51	13.09	6.3
NR_037840	42.11	31.81	37.46	4.1	0	5.05
NM_001243539	0	0	0	0	0	0
NM_001256765	8.87	17.53	0	0	0	9.38
NM_002189	109.5	80.42	56.07	25.73	69.09	50.62
NM_172200	39.36	92.39	71.41	63.27	22.91	0
NR_046362	25.27	10.66	20.52	0	0	0
NM_001172128	0	32.09	0	0	0	0
NM_004513	0	0	7.73	0	1.98	0
NM_172217	138	111.25	120.59	20	4.02	15
NM_002190	0	0	0	0	0	0
NM_014443	2	4	1	6	4	3
NM_013278	0	0	0	0	5	0
NM_138284	97	127	71	11	16	12
NM_052872	0	0	0	0	0	0
NM_001289905	105.34	130.97	175.91	147.51	77.35	151.54
NM_014339	618.66	665.03	438.09	686.49	746.65	539.46
NM_018725	20	14	15	4	6	13
NM_001203263	205.96	115.85	93.47	80.79	40.46	42.37
NM_001203264	16.62	32.45	0	17.75	0	20.75
NM_001203265	26.46	79.6	0	66.25	0	89.38
NM_032732	321.88	275.88	278.09	286.77	264.09	176.49
NM_153460	0	0	0	0	0	0
NM_153461	8.4	15.17	14.21	0	0	0
NR_037807	25.68	78.05	32.23	56.45	46.44	8
NM_017563	33	24	20	29	30	19
NM_001193380	0	0	0	0	0	0
NM_153480	16	11	8	0	14	0
NM_153481	0	0	0	9	0	10
NM_153483	0	0	0	0	0	0
NR_104198	0	0	0	0	0	0
NM_001001694	0	0	0	0	0	0
NM_001243211	4	2	0	0	0	0
NM_001562	0	0	8	0	0	0
NM_001039659	0	0	0	0	0	0
NM_001039660	0	0	5.96	7.18	0	0
NM_001145055	0	0	1.75	0	3.15	0
NM_001145057	2.84	0	0	0	0	5.49
NM_005699	10.44	8	0	9.82	10.85	3.52
NM_173042	15.06	0	4.28	0	0	4.98
NM_173044	0.66	0	0	0	0	0
NM_001282399	21.04	9.86	0	6.7	2.12	0
NM_003855	15.96	20.14	34	10.3	18.88	15
NM_003853	0	1	0	0	0	1
NM_013371	0	0	0	0	0	0
NM_153758	0	0	0	0	1	1
NM_000575	2	42	4	6077	6410	6597
NM_000576	1	280	4	44318	44940	45098
NM_032556	0	0	0	0	0	0
NM_173161	0	0	0	0	0	0
NM_000877	2843.86	2889.89	2279.31	1117.62	1132	1135
NM_001288706	248.14	162.11	225.69	53.38	0	0
NM_001261419	0	0	0	2	0	0
NM_004633	0	0	0	0	0	0
NR_048564	1	2	0	0	0	0
NM_001167928	0	20.87	0	45.59	21.14	24.1
NM_001167929	440.09	307.29	205.02	391.22	166.2	174.8
NM_001167930	18.83	11.23	5.73	20.45	2.69	1.75
NM_001167931	0	0	0	0	0	0
NM_002182	354.36	462.37	402.3	181.45	372.52	446.59
NM_134470	11.72	34.23	32.96	3.28	22.44	19.76
NM_014271	3	8	5	102	88	77
NM_017416	0	0	0	0	1	0
NM_001282408	0	0	1	0	5	4
NM_003856	0	0	0	6	0	0
NM_016232	1	2	0	0	0	0
NR_104167	0	0	0	0	0	0
NM_003854	1	4	0	1	0	1
NM_000577	0	0	0	0	0	0
NM_173841	0	0	0	0	0	0
NM_173842	0	0	0	0	1	0
NM_173843	0	0	0	0	0	0
NM_000586	0	0	0	0	0	0
NM_018724	0	0	0	0	0	0
NM_001278722	0	1	0	0	0	0
NM_001278723	0	0	0	0	0	0
NM_001278724	0	0	0	0	0	0
NM_014432	0	0	0	0	0	0
NM_144717	57	43	38	14	20	11
NM_001207006	0	0	0	0	0	0
NM_021803	0	0	0	0	0	0
NR_104126	1	0	0	0	0	1
NM_021798	0	10.75	0	21	10	17
NM_181078	9	6.25	0	0	0	0
NM_181079	0	0	9	0	0	0
NR_037158	0	0	0	0	0	0
NM_020525	0	0	0	0	0	0
NM_021258	0	0	0	0	0	1
NM_052962	0	0	0	0	0	0
NM_181309	0	0	0	0	0	0
NM_181310	0	0	0	0	0	0
NM_016584	2	1	3	6	12	8
NM_144701	0	0	0	0	0	0
NM_001185156	0	0	0	0.02	7.31	0.01
NM_001185157	1	0	0	13.08	23.02	0
NM_001185158	0	0	0	0	0	0
NM_006850	0	1.17	0	26.27	16.62	35.89
NM_022789	0	0	0	0	0	0
NM_172314	0	0	0	0	0	0
NM_018402	0	0	0	0	0	0
NM_145659	0	0	0	0	0	0
NM_004843	56	55	55	258	211	261
NM_000417	0	0	0	0	0	0
NM_001308242	0	0	0	0	0	0
NM_001308243	0	0	0	0	0	0
NM_000878	0	3	1	0	0	1
NM_000206	0	0	0	0	3	0
NM_000588	0	0	0	0	0	0
NM_001014336	0	0	0	0	0	0
NM_001242636	16.71	23.89	25.53	24.43	29.15	20.57
NM_001242637	19.15	37.45	31.01	92.04	104.28	61.13
NM_001242638	21.82	0	0	10.31	0	21.74
NM_001242639	0	0	14.92	12.5	12.38	17.61
NM_001297570	7.69	0	0	0	0.11	21.8
NM_001297572	12.51	4.62	0	33.85	15.26	0
NM_139017	16.12	12.04	6.54	42.87	96.82	75.15
NM_001012631	30.55	33.91	10.67	20	39.72	31.94
NM_001012632	234.59	189.02	273.97	693.48	481.75	636.38
NM_001012633	4.18	0	14.58	24.43	0	0
NM_001012634	128.64	65.64	65.92	276.02	359.06	356.29
NM_001012635	0	36.9	19.74	93.48	34.48	36.96
NM_001012636	0	13.92	0	44.15	0	18.76
NM_001012718	122.07	125.53	24.28	163.15	262.64	176.15
NM_001308078	33.88	36.02	20.71	184.03	212.2	151.8
NM_004221	178.08	276.06	133.14	489.25	561.14	331.71
NM_001199640	0	0	0	0	0	0
NM_001199641	0	0	0	0	0	0
NM_033439	0	0	0	10	6	9
NM_001172771	0	0	0	0	0	0
NM_001172772	13	13	13	4	2	0
NM_152456	0	0	0	0	0	0
NM_014440	0	0	0	0	0	0
NM_014438	0	0	0	0	0	0
NM_173178	0	0	0	2	0	0
NM_001278568	0	0	0	0	0	1
NM_019618	0	0	0	0	0	0
NM_012275	0	0	0	0	0	0
NM_173170	0	0	0	14	16	5
NM_014439	0	0	0	0	0	0
NM_173202	0	0	0	0	0	0
NM_173203	0	0	0	0	0	0
NM_173204	0	0	0	0	0	0
NM_173205	0	0	0	1	2	0
NM_001267713	1.5	2	0	0.5	1.5	1
NM_001267713_1	1.5	2	0	0.5	1.5	1
NM_002183	0	0	1	0	0	0
NM_002183_1	0	0	1	0	0	0
NM_000589	0	0	0	0	0	0
NM_172348	0	0	0	0	0	0
NM_001258017	2.09	4.18	0	0	5.2	0
NM_001258018	0	0	0	0	0	0
NM_152899	0	0	1	12	13.02	2.02
NM_172374	0	0	0	0	0	9.21
NR_047577	0	0	0	0	0	0
NM_000418	601.24	629.87	491.88	2078.16	1691.73	1791.85
NM_001257406	419.16	421.26	343.12	1507.32	1444.82	1473.23
NM_001257407	36.72	24.52	0	238.64	217.44	175.24
NM_001257997	38.88	76.34	0	162.88	0	44.67
NM_000879	0	0	0	0	0	0
NM_000564	0	0	0	0	0	0
NM_001243099	0	0	0	1	0	0
NM_175724	0	0	0	0	0	0
NM_175725	0	0	0	0	0	0
NM_175726	0	0	0	0	0	0
NM_175727	0	0	0	0	0	0
NM_175728	0	0	0	0	0	0
NM_000600	62	102	30	2652	3914	3574
NM_000565	298.48	281.9	309	124.25	107.2	74.39
NM_001206866	3	0	0	4.77	4.12	0
NM_181359	56.52	80.1	0	14.98	24.68	40.61
NM_001190981	170.41	208.98	308.71	149.08	93.29	130.07
NM_002184	18256.07	19268.78	14103.97	9425.91	10178.7	8241.64
NM_175767	154.3	74.33	0	0	86.96	0
NR_120480	0	118.4	116.95	0	0	0
NM_000880	0	0	0	0	0	0
NM_001199886	0	0	0	0	0	0
NM_001199887	0	0	0	0	0	0
NM_001199888	3	3	2	4	7	6
NM_002185	631.51	1325.17	860.49	697	625	447.47
NR_120485	552.49	180.83	86.51	0	0	121.53
NM_000590	0	0	0	0	0	0
NM_002186	0	0	0	0	0.5	0
NM_002186_1	0	0	0	0	0.5	0
NM_176786	0	0	0	0	0	0
NM_176786_1	0	0	0	0	0	0
NM_001199799	0	0	0	0	0	0
NM_001199800	0	0	0	1	0	1
NM_175924	0	0	0	0	0	0
