	Proliferating_1	Proliferating_2	Senescent_1	Senescent_2
ENSG00000090971	162.2666	115.8853	121.4216	182.3316
ENSG00000090975	181.5553	108.4765	63.4487	119.3667
ENSG00000090989	408.9463	372.5038	248.6111	433.3811
ENSG00000091009	487.0651	312.2934	250.0114	407.0933
ENSG00000091010	1.0023	0	0	0
ENSG00000091039	1477.627	981.5244	1841.7635	2712.5045
ENSG00000091073	74.5235	57.5536	74.6759	145.295
ENSG00000091106	4.9743	0	4.0641	6.0578
ENSG00000091127	213.3598	76.9296	113.7744	324.9639
ENSG00000091128	4.3796	9.5081	7.4264	8.8766
ENSG00000091129	13.1776	5.8767	32.0638	61.8672
ENSG00000091136	3273.1647	1816.2384	2909.373	5179.1202
ENSG00000091137	6.4899	1.2103	10.0278	9.8256
ENSG00000091138	0	0	0	0
ENSG00000091140	890.823	519.9964	628.623	1076.3045
ENSG00000091157	237.8714	219.3889	246.2457	250.0305
ENSG00000091164	683.2758	393.7469	595.551	868.9086
ENSG00000091181	0	0	0	0.6831
ENSG00000091262	15.9654	16.443	2.8642	7.1392
ENSG00000091317	1448.2064	1000.0934	913.9918	1459.1846
ENSG00000091409	1614.5316	1052.3192	1484.7486	2660.6693
ENSG00000091428	37.2085	13.5595	14.6291	65.617
ENSG00000091436	3179.6027	2262.3164	1594.0001	2758.9991
ENSG00000091482	0	0	0	0.979
ENSG00000091483	721.1925	537.0618	331.985	593.2409
ENSG00000091490	407.2766	252.8919	706.1843	1088.5458
ENSG00000091513	3.9072	0	0	1.0744
ENSG00000091527	3713.355	2180.3031	2571.0961	4264.7653
ENSG00000091536	6.2784	2.9598	5.4307	5.9991
ENSG00000091542	736.3056	495.7222	846.6927	1198.4283
ENSG00000091583	1.0904	0	0	1.0497
ENSG00000091592	1874.2171	1456.4592	143.3041	238.6625
ENSG00000091622	271.7024	181.0916	43.8791	66.5852
ENSG00000091640	377.9502	242.9595	251.1537	500.6844
ENSG00000091651	103.46	98.4945	45.1495	80.4056
ENSG00000091656	829.8685	544.1766	120.8778	143.0123
ENSG00000091664	0	0	0	0
ENSG00000091704	0	0	0	0
ENSG00000091732	156.0458	93.8086	79.8046	144.0338
ENSG00000091831	2.711	0.9423	0.9321	2.7933
ENSG00000091844	32.5338	15.7022	117.4308	236.9605
ENSG00000091879	5.2984	4.0451	11.038	34.9147
ENSG00000091947	128.2183	85.6185	46.1448	73.0382
ENSG00000091972	5.6456	1.9469	0	0
ENSG00000091986	6926.8134	4055.7739	1016.4531	1755.5294
ENSG00000092009	0	0	0	0
ENSG00000092010	316.9166	198.8183	122.3071	215.9291
ENSG00000092020	263.9213	164.7833	173.8628	251.1653
ENSG00000092036	69.6655	39.4031	9.7413	13.9531
ENSG00000092051	0	0	0	0
ENSG00000092054	0	0	0	0
ENSG00000092067	0	0.9926	0	0
ENSG00000092068	1.5444	1.4375	14.7171	8.9487
ENSG00000092094	117.0614	60.4176	40.6151	134.1615
ENSG00000092096	318.2306	207.9319	69.9527	116.4143
ENSG00000092098	295.6362	199.0447	123.9201	245.278
ENSG00000092108	717.4518	490.2937	562.9741	991.8089
ENSG00000092140	227.822	162.5234	99.1614	151.7589
ENSG00000092148	1606.1733	1205.8471	1549.4861	2014.1615
ENSG00000092199	3452.9156	2275.3414	1962.0343	3345.548
ENSG00000092200	1.4671	0	0	0
ENSG00000092201	1329.7712	792.3436	664.9996	1177.1737
ENSG00000092203	729.6845	472.4623	560.1374	710.4306
ENSG00000092208	27.6716	15.7848	12.1687	25.0895
ENSG00000092295	18.0358	1.6466	1.4728	4.8182
ENSG00000092330	277.7324	148.5176	168.0794	306.8294
ENSG00000092345	0	0	2.9535	3.8134
ENSG00000092377	0	0	0	0
ENSG00000092421	125.8078	83.6101	53.2057	67.67
ENSG00000092439	715.0744	548.3355	455.1126	712.5049
ENSG00000092445	243.5317	161.1227	214.6361	293.9397
ENSG00000092470	91.6033	81.5571	8.5292	3.6069
ENSG00000092529	3.9415	4.8615	1.4684	8.1701
ENSG00000092531	584.7899	412.2141	696.2899	1135.8916
ENSG00000092607	0	0	0	0
ENSG00000092621	388.826	240.1911	112.6073	166.8217
ENSG00000092758	17.9234	14.1704	0	7.9917
ENSG00000092820	1391.3166	953.433	510.8355	846.6551
ENSG00000092841	8789.7824	5590.0096	5007.4215	8044.2418
ENSG00000092847	685.4034	431.6403	382.6362	517.0854
ENSG00000092850	0.9757	0	2.2641	1.6544
ENSG00000092853	205.6224	101.5872	5.6857	11.1923
ENSG00000092871	164.7184	130.3457	182.5347	135.55
ENSG00000092929	0	0.4526	4.2531	5.7692
ENSG00000092931	148.3932	110.2614	175.6075	280.2863
ENSG00000092964	1427.024	974.282	567.2565	919.2989
ENSG00000092969	245.0041	131.2397	165.5243	277.6318
ENSG00000092978	172.7403	117.3897	120.4789	191.5625
ENSG00000093000	845.7975	539.0036	586.7144	977.3417
ENSG00000093009	93.8064	52.3954	47.307	30.7363
ENSG00000093010	769.6388	568.828	492.1991	787.6861
ENSG00000093072	3.3801	2.9965	1.6546	3.1003
ENSG00000093134	0	0.2163	3.1117	12.1753
ENSG00000093144	506.4605	345.5325	429.6516	627.3206
ENSG00000093167	612.1886	382.7274	299.4159	729.7164
ENSG00000093183	413.8668	265.9665	291.3732	423.931
ENSG00000093217	32.0392	60.526	18.4128	40.1065
ENSG00000094631	248.9369	107.7939	28.3596	83.1315
ENSG00000094661	0	0	0	0
ENSG00000094755	0	3.3139	0.9872	7.7427
ENSG00000094796	0	0	0	0
ENSG00000094804	208.161	125.9488	18.1164	57.6293
ENSG00000094841	88.2132	62.4586	34.7315	49.0529
ENSG00000094880	262.1221	166.7779	139.6757	282.1726
ENSG00000094914	279.119	217.2743	115.1194	236.6579
ENSG00000094916	2426.2106	1794.2747	1148.338	1640.2794
ENSG00000094963	0	0	0	0
ENSG00000094975	782.6065	623.0862	495.1558	773.6247
ENSG00000095002	271.9993	159.2757	77.3476	120.9594
ENSG00000095015	250.3564	131.4492	57.2591	103.4507
ENSG00000095059	330.5922	149.3884	109.5678	258.5861
ENSG00000095066	100.798	69.0789	40.329	105.9206
ENSG00000095110	0	0	0	0
ENSG00000095139	3816.3831	2658.6313	3214.2058	5154.1213
ENSG00000095203	1.0005	1.9835	10.7895	19.5795
ENSG00000095209	58.0761	63.5969	135.0523	195.1119
ENSG00000095261	497.66	403.1323	384.1554	686.9093
ENSG00000095303	890.12	558.6809	229.8755	352.1856
ENSG00000095319	1031.5366	745.5578	757.3593	1095.4015
ENSG00000095321	623.0693	423.1865	364.6608	589.1995
ENSG00000095370	4.712	0	1.8715	0
ENSG00000095380	590.9687	387.4704	315.3787	531.7807
ENSG00000095383	898.4571	586.0877	917.5727	1483.0217
ENSG00000095397	20.2235	22.5922	33.4065	52.8872
ENSG00000095464	0.6686	0	0.6555	6.6468
ENSG00000095485	177.3	91.9413	61.4229	122.0456
ENSG00000095539	102.3419	28.5786	5.682	19.5918
ENSG00000095564	468.8311	290.8276	297.4098	507.4302
ENSG00000095574	117.2952	53.1647	82.9343	184.6265
ENSG00000095585	0.6181	0	0	0
ENSG00000095587	10.3593	4.6059	5.8043	15.2915
ENSG00000095596	0	0	0	0
ENSG00000095627	1.058	0	0	0
ENSG00000095637	7.5092	8.3903	11.024	23.8772
ENSG00000095713	0	0	1.0008	0
ENSG00000095739	102.9159	85.302	123.5035	180.2798
ENSG00000095752	205.0876	139.9026	677.0134	1079.697
ENSG00000095777	0	0	0	0
ENSG00000095787	935.8091	629.5462	607.6806	937.2666
ENSG00000095794	136.0419	110.759	156.8032	280.1907
ENSG00000095906	241.8624	234.3663	174.8521	294.8635
ENSG00000095917	0	0	0	0
ENSG00000095932	0	0	0	0
ENSG00000095951	470.1148	303.2072	97.4602	170.1843
ENSG00000095970	0	0	0	0
ENSG00000095981	0	0	0	0
ENSG00000096006	0	0	0	0
ENSG00000096060	148.0075	91.271	18.3492	47.5742
ENSG00000096063	943.023	638.5161	1251.501	1920.1015
ENSG00000096070	497.4219	309.6908	329.6938	624.5809
ENSG00000096080	143.7763	89.3013	97.427	149.6164
ENSG00000096088	0	0	0	0
ENSG00000096092	144.119	92.627	56.9924	99.8912
ENSG00000096093	151.576	96.9041	64.0952	185.2281
ENSG00000096150	1154.109	731.2953	642.8452	1048.9382
ENSG00000096155	91.629	69.259	49.9681	137.6547
ENSG00000096171	110.6093	82.6505	101.6183	170.4313
ENSG00000096264	0	0	0	0
ENSG00000096384	8651.6863	5451.1786	7801.047	13684.9394
ENSG00000096395	0	0	0	0
ENSG00000096401	604.8237	395.3622	354.227	633.559
ENSG00000096433	164.2068	124.0851	167.9832	308.3834
ENSG00000096654	73.4957	44.1392	21.3142	32.9715
ENSG00000096696	815.5897	483.7501	408.2447	569.6907
ENSG00000096717	293.7606	188.316	139.7119	251.4213
ENSG00000096746	1224.3832	763.2449	277.6071	601.2755
ENSG00000096872	151.2622	81.6077	76.8609	93.0211
ENSG00000096968	160.2065	114.2117	94.149	110.0582
ENSG00000096996	4.2875	2.0031	0.9935	4.7844
ENSG00000097007	1595.1175	1097.5923	953.4932	1349.3197
ENSG00000097021	728.8361	471.98	695.858	1028.0458
ENSG00000097033	1416.1497	871.4587	1032.7621	1643.1507
ENSG00000097046	48.3491	38.0822	11.6293	17.1339
ENSG00000097096	124.7035	57.8771	40.5639	59.8106
ENSG00000099139	50.5295	48.77	49.2179	51.9002
ENSG00000099194	2255.3229	1382.0668	1270.2648	2140.7687
ENSG00000099203	176.6456	115.9424	130.6521	239.3572
ENSG00000099204	452.9794	239.1164	244.0162	394.4887
ENSG00000099219	101.7748	61.0205	44.6447	70.8574
ENSG00000099246	904.9763	665.5643	797.8285	1497.1006
ENSG00000099250	2458.8837	1639.079	1838.7349	3182.5738
ENSG00000099251	9.173	4.086	0	0
ENSG00000099256	167.7619	86.4643	45.0419	66.3768
ENSG00000099260	16.1454	2.2774	9.0027	8.9533
ENSG00000099282	0	0	0	0
ENSG00000099284	176.869	119.5887	26.5781	52.4639
ENSG00000099290	661.2369	443.4487	712.0288	1133.1703
ENSG00000099308	120.0045	87.133	113.7138	188.8111
ENSG00000099326	112.2239	58.9154	100.1826	247.0032
ENSG00000099330	38.309	28.7063	11.7669	22.8792
ENSG00000099331	2119.511	1474.4962	1306.1775	2324.6615
ENSG00000099337	146.4079	67.8445	57.8875	115.2572
ENSG00000099338	4.9422	1.7938	4.7962	18.4753
ENSG00000099341	1224.8183	861.8864	1475.2248	2470.7924
ENSG00000099364	436.6243	248.0118	340.268	445.6589
ENSG00000099365	132.519	114.9401	20.3566	35.3639
ENSG00000099377	90.8953	58.5511	21.6074	53.9867
ENSG00000099381	365.964	182.8896	183.7485	370.4681
ENSG00000099385	439.8209	307.7293	280.2553	390.0933
ENSG00000099399	0	0	0	0
ENSG00000099617	0	0	0	0
ENSG00000099622	1159.1548	657.2654	298.1421	645.1667
ENSG00000099624	431.7589	372.8118	362.6649	515.9448
ENSG00000099625	146.9564	68.0221	189.3643	314.338
ENSG00000099715	1.7201	1.146	1.9893	5.1112
ENSG00000099721	0	0	0	0
ENSG00000099725	0	1.5031	2.2326	16.9793
ENSG00000099769	0	0	0	0
ENSG00000099783	2114.6617	1303.7821	839.1986	1374.3952
ENSG00000099785	174.2002	120.8889	132.4469	177.8039
ENSG00000099795	379.5022	291.689	281.6778	473.5841
ENSG00000099797	387.8984	220.4836	219.9848	347.7735
ENSG00000099800	316.4583	274.1282	268.6257	433.6756
ENSG00000099804	457.0374	339.1865	483.824	1001.0879
ENSG00000099810	422.9983	254.948	570.7357	975.0354
ENSG00000099812	0	0	0	0
ENSG00000099814	931.5204	647.9572	1147.8133	1927.2552
ENSG00000099817	1376.8307	1032.047	877.8001	1446.4182
ENSG00000099821	303.6407	253.4307	421.7775	748.72
ENSG00000099822	127.8268	86.0518	82.243	129.8402
ENSG00000099834	0	0	0	0
ENSG00000099840	7.0223	6.8395	1.921	8.5843
ENSG00000099849	84.1824	62.3679	15.6264	30.094
ENSG00000099860	311.6641	209.1919	91.6218	144.7758
ENSG00000099864	358.6309	255.0345	48.8909	105.8426
ENSG00000099866	8.7411	3.3551	5.8013	6.3453
ENSG00000099869	1.043	0.9899	0	1.9459
ENSG00000099875	360.1705	272.1422	527.5031	774.4447
ENSG00000099889	88.9841	49.3196	56.1597	100.4838
ENSG00000099899	249.9321	137.1224	172.0428	372.0892
ENSG00000099901	974.6749	598.7613	467.1457	731.33
ENSG00000099904	842.3613	604.8911	508.1187	1133.7607
ENSG00000099910	185.4568	135.7366	78.0293	195.228
ENSG00000099917	1140.2168	741.1364	787.3644	1300.1398
ENSG00000099937	0	0	24.5718	51.6644
ENSG00000099940	473.3503	307.3741	326.8785	449.4022
ENSG00000099942	757.7588	469.9264	709.5114	1011.0425
ENSG00000099949	714.194	485.3975	506.6475	1242.7881
ENSG00000099953	24.6128	12.7903	9.6209	9.9173
ENSG00000099954	1.4201	0.7183	0.6979	0.6975
ENSG00000099956	329.8827	208.3008	123.3548	318.4441
ENSG00000099957	5.798	4.7173	1.0026	6.8572
ENSG00000099958	2.7332	2.7424	0.9214	0.9046
ENSG00000099960	0	0	0	0
ENSG00000099968	779.9009	548.1639	400.4578	696.6362
ENSG00000099974	8.3972	3.6504	1.7694	7.6763
ENSG00000099977	126.5778	104.1799	108.493	151.4462
ENSG00000099984	10.8678	13.1206	14.2305	0
ENSG00000099985	0	0	0	0.9545
ENSG00000099991	767.2165	549.5716	355.7284	848.8789
ENSG00000099992	217.7005	122.2827	172.4038	293.8541
ENSG00000099994	11.0613	5.9816	2.9576	6.8839
ENSG00000099995	1145.7179	688.8776	689.5196	1465.4508
ENSG00000099998	21.1993	3.293	1.6465	1.0956
ENSG00000099999	131.6358	111.8821	138.1995	212.5441
ENSG00000100003	118.9102	55.758	134.0712	226.6006
ENSG00000100012	0	0	0	0
ENSG00000100014	1045.5517	594.3369	568.3414	973.0644
ENSG00000100023	398.8565	250.1391	208.525	374.7821
ENSG00000100024	0	0.8594	1.5004	2.5315
ENSG00000100027	10.6934	10.7413	2.6665	20.371
ENSG00000100028	609.0223	365.2822	516.3855	870.2422
ENSG00000100029	689.7737	513.0532	562.1034	1062.9648
ENSG00000100030	1669.4899	931.1887	1350.3253	2166.5399
ENSG00000100031	25.126	19.4676	37.959	105.661
ENSG00000100033	1.8157	0.9001	0	1.8374
ENSG00000100034	747.3027	472.6335	577.5126	1126.7426
ENSG00000100036	72.5094	81.7618	260.6728	348.784
ENSG00000100038	184.8129	144.7114	152.9511	235.4262
ENSG00000100053	0	0	0	0
ENSG00000100055	17.4113	4.0619	23.8033	25.7553
ENSG00000100056	154.7911	102.072	147.333	236.1881
ENSG00000100058	160.3704	88.5622	95.7263	175.238
ENSG00000100060	0	0	0	2.0363
ENSG00000100065	204.2981	149.9355	43.3708	50.6531
ENSG00000100068	18.3746	9.8394	12.8369	31.6086
ENSG00000100075	815.2211	609.4686	478.3434	828.4419
ENSG00000100077	52.356	26.5824	51.4642	70.742
ENSG00000100078	0	0.991	0	0.9763
ENSG00000100079	2.8736	4.7902	0.9423	3.6712
ENSG00000100083	432.4274	243.1277	394.6454	667.8581
ENSG00000100084	351.0215	247.9923	262.8761	382.743
ENSG00000100092	341.0544	208.469	191.7684	296.6963
ENSG00000100095	0	0	0	0
ENSG00000100097	8789.6116	5839.9543	4820.2721	7602.9041
ENSG00000100099	190.2105	105.8436	124.6072	252.4936
ENSG00000100100	260.1893	179.7248	81.8184	121.9293
ENSG00000100101	0	0	0	0
ENSG00000100104	168.635	90.3113	137.7733	326.8271
ENSG00000100105	162.1036	109.1451	28.3998	51.8118
ENSG00000100106	1091.1922	795.1889	588.4934	971.2404
ENSG00000100109	423.9677	230.9816	309.9045	412.4796
ENSG00000100116	124.6075	56.9582	48.1933	54.3972
ENSG00000100121	0	0	0	0
ENSG00000100122	1.0007	0	0	0
ENSG00000100124	198.2211	162.0606	132.1796	273.4592
ENSG00000100129	2013.2254	1396.6418	1217.0826	1851.0626
ENSG00000100138	794.4818	466.6697	568.1645	932.4456
ENSG00000100139	677.3855	444.8723	707.5467	876.8263
ENSG00000100142	238.9483	154.0981	311.0938	551.8076
ENSG00000100146	0	0	0	0
ENSG00000100147	30.6491	19.9906	24.438	22.9904
ENSG00000100150	94.9601	142.2977	28.7693	77.3166
ENSG00000100151	121.178	52.5255	65.6419	87.4837
ENSG00000100154	336.4864	216.6605	240.8301	200.3027
ENSG00000100156	0.6864	0.6813	0.6732	2.2508
ENSG00000100162	45.421	38.1682	4.8687	2.504
ENSG00000100167	5.2013	0.7335	6.5854	3.8253
ENSG00000100170	0.7637	0	0	0.7476
ENSG00000100181	3.1307	3.2518	3.0155	26.1225
ENSG00000100191	0	0	0	0
ENSG00000100196	1220.8477	772.8533	769.4094	1184.5514
ENSG00000100197	2.7886	0	0.2006	1.1001
ENSG00000100201	3769.109	2261.2551	1452.4028	2697.0296
ENSG00000100206	5.2128	1.5325	0.7832	2.0477
ENSG00000100207	49.5674	25.9128	32.037	60.0253
ENSG00000100209	63.4195	33.6462	67.3661	75.5626
ENSG00000100211	127.9138	82.0228	45.2829	86.187
ENSG00000100216	460.6386	324.2414	369.5843	538.2495
ENSG00000100218	0	0	0	0
ENSG00000100219	763.2438	515.6528	510.4528	900.8765
ENSG00000100220	898.6745	593.4299	662.8503	1088.2041
ENSG00000100221	500.8613	419.1862	466.7179	639.7301
ENSG00000100225	641.3493	402.016	497.2213	799.9047
ENSG00000100226	563.1269	264.5778	326.6251	616.5158
ENSG00000100227	656.6443	428.3503	480.4155	946.1925
ENSG00000100228	71.6808	59.4804	132.5039	177.669
ENSG00000100234	5111.0673	3451.4547	3457.9516	5639.837
ENSG00000100239	778.4905	566.3675	567.6252	953.339
ENSG00000100241	1372.7033	1014.13	975.2864	1768.8442
ENSG00000100242	863.9355	683.9417	311.0776	517.6917
ENSG00000100243	3590.2966	2637.6915	2061.0243	3152.6853
ENSG00000100246	58.4826	19.0859	64.2356	97.6159
ENSG00000100249	0	0	0	0
ENSG00000100253	0.9106	0	0	1.0241
ENSG00000100258	929.5061	730.8022	542.4143	898.5124
ENSG00000100263	102.1987	84.851	50.4709	96.0764
ENSG00000100266	820.4385	492.0291	469.2409	717.3928
ENSG00000100271	64.8532	43.8622	23.1346	53.546
ENSG00000100276	1.9207	1.9225	0.5518	1.8374
ENSG00000100280	1203.7288	810.3722	893.2419	1397.2249
ENSG00000100281	355.2947	233.7052	197.5092	291.7643
ENSG00000100284	332.3849	245.9456	344.9237	589.6273
ENSG00000100285	48.9301	38.6043	27.4108	63.4974
ENSG00000100288	119.2547	70.6064	47.2814	101.4604
ENSG00000100290	0	0	0	0.9702
ENSG00000100292	110.7044	92.6791	218.8889	378.4539
ENSG00000100294	95.2035	63.2935	109.1852	154.1123
ENSG00000100296	398.0129	284.6731	306.1209	496.4692
ENSG00000100297	429.2386	251.4375	61.9831	94.1229
ENSG00000100298	0	0	1.7436	6.0506
ENSG00000100299	156.8561	136.5197	89.7083	183.9109
ENSG00000100300	837.4558	593.4942	725.7692	1085.9763
ENSG00000100302	12.9825	8.9106	4.8954	8.7898
ENSG00000100304	311.225	228.9271	378.9265	677.7021
ENSG00000100307	54.1256	17.7936	17.5828	26.357
ENSG00000100311	2.2759	5.7324	16.3608	11.0455
ENSG00000100312	0	0	0	0
ENSG00000100314	2.0173	0	0.9835	1.9649
ENSG00000100316	8157.0061	5378.8605	3628.1855	5905.554
ENSG00000100319	107.6214	59.7402	94.047	117.8212
ENSG00000100320	2851.7752	1934.2986	1545.9283	2355.1436
ENSG00000100321	215.6298	118.7949	56.6538	75.1765
ENSG00000100324	213.8967	138.9409	111.3628	254.9302
ENSG00000100325	601.3548	431.6886	474.2363	927.1243
ENSG00000100330	495.0856	273.3706	308.621	550.8293
ENSG00000100335	509.823	506.6046	603.6798	1041.3081
ENSG00000100336	13.2719	9.2579	17.0491	17.3421
ENSG00000100341	2.2983	1.5879	0	1.8264
ENSG00000100342	23.1178	7.7189	2.8754	8.7451
ENSG00000100344	154.4161	121.6525	122.4075	251.9309
ENSG00000100345	24175.8227	16047.4078	10489.1927	17128.7424
ENSG00000100346	1.3581	0	0	0
ENSG00000100347	469.0588	315.0087	398.5975	808.7935
ENSG00000100348	522.3078	295.9286	423.0065	604.9298
ENSG00000100350	181.7809	102.7545	61.0354	95.135
ENSG00000100351	0	0	3.958	0.4289
ENSG00000100353	1465.7166	936.0244	1328.2851	2280.2374
ENSG00000100354	416.8361	348.7033	525.4741	659.9951
ENSG00000100359	574.3936	358.533	382.2707	736.5907
ENSG00000100360	158.7261	120.6254	107.8405	201.2308
ENSG00000100362	0	0	0.4518	0
ENSG00000100364	652.4241	552.5517	531.4854	853.7158
ENSG00000100365	0	0	0	0
ENSG00000100368	0	0	0.3955	1.9332
ENSG00000100372	189.884	85.7812	111.1034	215.4337
ENSG00000100373	0	0	0	0
ENSG00000100376	275.7908	160.9253	93.4394	277.6427
ENSG00000100379	218.4873	173.5158	194.8722	317.2187
ENSG00000100380	2401.9804	1791.4458	1911.9106	3365.0045
ENSG00000100385	0	0	1.8278	1.2163
ENSG00000100387	360.7069	226.9503	181.2649	287.3808
ENSG00000100393	1024.1671	832.526	699.1056	1338.7823
ENSG00000100395	287.8887	185.922	231.2583	351.7423
ENSG00000100399	2.5499	6.0561	2.9835	8.7842
ENSG00000100401	2344.8663	1681.9077	1207.0788	1996.6054
ENSG00000100403	2840.9088	2000.2953	1194.9457	1880.5029
ENSG00000100410	183.0561	122.8708	144.454	226.0817
ENSG00000100412	947.5478	643.464	698.5975	1042.5998
ENSG00000100413	498.2873	352.9631	632.6638	963.6607
ENSG00000100416	210.1544	141.0068	168.3758	320.2973
ENSG00000100417	349.2316	288.4667	208.8156	333.3234
ENSG00000100418	560.5243	447.7859	856.4029	1381.8889
ENSG00000100422	786.9817	551.9245	704.1312	998.4511
ENSG00000100425	291.711	174.5585	143.0273	261.2888
ENSG00000100426	346.399	233.4111	375.7287	507.5066
ENSG00000100427	0	1.2027	0	0
ENSG00000100429	251.6487	140.2667	75.0213	246.1604
ENSG00000100433	0	0	0	0.7848
ENSG00000100439	363.32	147.4483	98.8783	262.3746
ENSG00000100441	437.333	313.3097	521.7864	940.6755
ENSG00000100442	587.0437	357.8162	212.1487	351.8922
ENSG00000100445	65.7261	52.612	12.3393	55.6188
ENSG00000100448	0	0	0	0
ENSG00000100450	0	0	0	0
ENSG00000100453	0	0	0	0
ENSG00000100461	416.8989	234.4541	116.1773	269.9895
ENSG00000100462	715.5157	306.179	560.7186	911.1418
ENSG00000100473	1.9958	2.1533	0	2.6224
ENSG00000100478	99.9906	46.5482	14.3185	20.346
ENSG00000100479	38.7671	34.6725	0	0.7584
ENSG00000100483	47.8315	39.1233	43.104	53.4291
ENSG00000100485	366.8317	249.4359	218.6017	322.2643
ENSG00000100490	38.0484	30.2282	7.3454	12.3003
ENSG00000100503	1216.7209	797.5569	1214.6725	1771.8325
ENSG00000100504	548.4478	377.6214	303.5435	519.6176
ENSG00000100505	0	0	6.0113	9.2614
ENSG00000100519	645.9119	419.9577	426.0217	748.6953
ENSG00000100522	812.4613	390.1587	678.5869	1084.2944
ENSG00000100523	267.7605	155.206	356.5358	614.2871
ENSG00000100526	97.3473	59.5208	2.6556	7.3221
ENSG00000100528	845.2748	493.3465	1017.3766	1656.5166
ENSG00000100532	63.0022	39.4198	43.519	68.7277
ENSG00000100554	838.1095	474.0262	972.5674	1517.5607
ENSG00000100557	0	0	6.92	1.2804
ENSG00000100558	8.4017	16.3716	176.8448	261.4438
ENSG00000100564	36.6428	42.5975	34.4286	45.2131
ENSG00000100565	0	0	0	0
ENSG00000100567	513.2292	329.6028	432.5627	757.4784
ENSG00000100568	955.3981	670.396	634.7484	938.1325
ENSG00000100575	128.4509	87.1954	90.4115	112.8791
ENSG00000100577	49.4972	29.7645	30.1367	69.1434
ENSG00000100578	229.4917	225.7948	139.6544	289.9366
ENSG00000100580	135.3009	79.1132	157.6602	243.518
ENSG00000100583	3.4836	2.9799	8.5399	8.2666
ENSG00000100591	795.9778	372.8187	768.0911	1280.3664
ENSG00000100592	109.621	92.4059	99.5041	232.2123
ENSG00000100593	0	0	0	0
ENSG00000100596	851.8145	623.127	701.6963	1000.47
ENSG00000100599	365.1701	293.5483	255.1867	411.2093
ENSG00000100600	175.0948	102.0876	102.0051	192.4036
ENSG00000100601	123.8003	45.9704	79.8333	135.612
ENSG00000100603	490.1009	352.0528	360.4948	658.7727
ENSG00000100604	0	0	0.7733	0.7616
ENSG00000100605	119.3423	86.0825	111.5564	107.5842
ENSG00000100612	393.4472	305.3178	789.273	1388.4647
ENSG00000100614	439.4616	262.2715	343.8645	564.3447
ENSG00000100625	257.6262	185.9572	100.5201	220.0873
ENSG00000100626	17.6095	28.0964	6.027	11.4136
ENSG00000100628	6.3359	2.0393	22.2899	28.485
ENSG00000100629	79.7972	30.4555	11.7777	35.924
ENSG00000100632	652.0023	524.0609	598.8883	793.7104
ENSG00000100644	5202.0803	3210.917	5410.6393	8688.2312
ENSG00000100647	376.7426	272.4967	511.3934	904.0214
ENSG00000100650	1155.5231	698.7605	855.9168	1255.4868
ENSG00000100652	0	0	0	0
ENSG00000100664	2214.4348	1539.5732	1303.2066	2347.3982
ENSG00000100665	0	0	0	0
ENSG00000100678	0	1.279	3.4975	7.4999
ENSG00000100697	646.3258	460.6439	415.8221	600.3834
ENSG00000100711	282.6757	217.7949	179.2864	309.1156
ENSG00000100714	545.0948	364.3954	389.0316	594.1745
ENSG00000100721	0	0.9955	2.9437	1.9292
ENSG00000100722	646.5801	426.4269	387.061	582.4371
ENSG00000100726	375.9317	228.8294	129.0793	286.3143
ENSG00000100731	973.4192	618.4815	2023.287	2787.889
ENSG00000100739	472.1678	393.3913	493.4622	701.2159
ENSG00000100744	197.7184	116.3026	216.1084	296.0505
ENSG00000100749	137.469	67.6067	77.6711	79.4719
ENSG00000100764	996.3974	566.2299	655.1107	1180.4238
ENSG00000100767	25.9861	21.7694	17.6098	39.128
ENSG00000100784	50.3666	14.8661	6.1881	18.4737
ENSG00000100796	617.5914	440.4243	352.4398	573.3064
ENSG00000100802	29.9587	18.1175	15.5524	9.4562
ENSG00000100804	1182.6128	764.7185	1115.7878	1974.8609
ENSG00000100811	1065.9244	718.8146	829.5488	1300.6215
ENSG00000100813	1919.8241	1100.4143	946.8839	1976.2177
ENSG00000100814	157.0583	116.1938	63.1173	101.3105
ENSG00000100815	806.8822	479.4434	560.186	1130.6158
ENSG00000100823	1023.6195	602.7076	585.9491	871.8587
ENSG00000100836	1128.8517	746.7165	556.096	1128.5959
ENSG00000100842	439.0267	315.8075	57.388	99.2402
ENSG00000100852	943.486	512.4974	563.6228	890.6439
ENSG00000100865	329.3322	173.3461	167.8176	309.9289
ENSG00000100867	0.6483	3.5654	0.6332	0.8269
ENSG00000100883	834.4456	497.1385	788.8605	1197.7934
ENSG00000100884	0	0	0	0
ENSG00000100888	1006.1335	459.7008	626.192	941.2383
ENSG00000100889	100.4707	51.1477	62.6232	124.5664
ENSG00000100890	282.2367	190.038	232.9953	331.5142
ENSG00000100897	222.8352	197.2224	120.4771	152.9029
ENSG00000100902	838.9564	477.078	833.4433	1324.6322
ENSG00000100906	288.9636	199.2417	341.6515	591.9795
ENSG00000100908	48.8032	34.5399	21.9595	34.3103
ENSG00000100911	414.8471	237.5787	199.7774	320.5132
ENSG00000100916	125.31	59.8372	66.1166	94.73
ENSG00000100918	10.225	5.3596	6.346	8.9888
ENSG00000100926	568.2163	329.2103	435.4277	737.8425
ENSG00000100934	3521.7858	2137.2567	1655.5848	2485.0956
ENSG00000100938	368.8227	205.718	181.0823	319.4359
ENSG00000100941	824.0946	416.4123	436.0204	747.3234
