WT_1	WT_2	KO_1	KO_2
B3gnt3	5.59	5.16	14.43	14.02
B4galt5	45.24	43.8	65.34	71.83
Bcat1	10.92	9.5	17.51	16.42
Bcl3	14.99	10.97	20.09	28.21
Bmp1	124.47	126.58	272.65	289.54
C1qa	80.3	72.94	122.74	125.79
C1qc	84.26	89.05	130.58	121.16
C1qtnf3	0.15	0.13	2.6	3.24
C1qtnf5	39.29	33.64	78.22	64.74
C1qtnf6	41.11	47.1	57.51	64.68
C430002N11Rik	1.31	0.99	4.01	4.88
C4b	208.21	207.77	386.97	423.38
Cacna1s	0.25	0.15	0.85	0.98
Cadm3	2.6	2.56	8.94	10.71
Calca	2.31	2.33	7.18	7.66
Capg	126.2	115.46	192.54	163.06
Car12	0.19	0.22	3.57	4.62
Car4	17.34	13.49	39.1	55.86
Car6	1.17	1.15	5.26	10.46
Car9	1.98	0.9	7.13	6.53
Casp4	7.34	6.99	14.53	20.68
Casq1	1.56	1.11	10.37	9.26
Casq2	0.53	0.78	5.73	5.27
Cav3	0	0.28	4.33	2.38
Cbr2	86.34	81.11	151.29	101.04
Ccdc109b	5.26	5.15	13.15	13.23
Ccl12	2.02	4.53	22.02	33.92
Ccl7	12.57	21.99	36.6	45.23
Ccl8	19.52	23.71	53.24	53.79
Cd163	28.79	26.35	53.98	50.67
Cd38	7.72	7.67	10.96	15.32
Cd44	17.06	13.91	24.51	32.05
Cd55	8.76	9.14	11.6	20.38
Cda	11.12	7.05	28.4	19.34
Cdh1	0	0.02	0.9	1.13
Cdh13	8.91	7.6	13.45	19.9
Cdh3	0.53	0.4	1.56	2.32
Cebpd	80.25	70.71	154.7	120.31
Cemip	8.38	6.13	14.98	19.26
Cercam	45.77	38.66	71.49	59.32
Cfb	25.6	24.33	45.65	46.93
Cfh	16.14	18.24	22.45	32.1
Ch25h	2.28	1.4	9.06	12.61
Chl1	0.29	0.18	2.94	4.64
Chrna1	0.41	0.3	1.44	2.29
Chrng	0.06	0.16	2.15	1.82
Cic	28.34	23.27	34.89	38.42
Cilp	7.79	7.33	11.97	15.36
Cish	3.13	4.1	7.29	7.77
Ckap4	75.51	68.93	104.3	114.54
Cldn4	0	0	3.31	2.83
Clec10a	13.19	13.39	78.7	47.53
Clec4n	3.24	3.47	12.58	13.52
Clic5	1.49	1.43	3.25	4.02
Clu	5.93	5.69	16.57	14.59
Cmah	1.59	1.44	2.72	3.84
Cnn2	66.4	61.18	79.94	95.53
Col11a1	5.89	4.58	13.19	12.38
Col12a1	101.04	71.96	169.83	244.73
Col16a1	79.8	60.87	165.86	118.53
Col17a1	0.02	0.06	1.2	1.35
Col19a1	0.02	0.01	0.3	0.27
Col1a2	2419.53	2148.29	4613.9	3254.52
Col28a1	12.84	11.26	23.98	27.95
Col3a1	1852.36	1781.32	5297.16	4017.15
Col5a1	356.91	327.88	588.23	478.89
Col5a2	409.69	342.52	920.14	738.32
Col6a3	684.09	671.01	861.17	915.15
Col7a1	1.61	1.18	5.72	4.01
Col8a1	1.51	1.31	4.13	6.47
Cpne8	16.61	16.94	24.4	35.22
Cpxm1	16.77	20.75	41.82	46.11
Cpxm2	2.99	2.47	6.91	7.21
Crabp2	0.57	0.24	7.92	3.52
Crispld2	17.19	16.37	25.4	26.85
Crlf1	108.4	82	161	144.72
Crlf2	9.13	9.62	29.64	17.45
Csgalnact1	9.51	8.77	26.25	33.42
Cspg4	12.21	10.86	20.39	21.39
Ctgf	49.56	36.11	82.5	105.85
Cthrc1	91.94	82.71	135.17	201.13
Ctla2a	452.32	396.08	552.8	611.59
Ctps	30.58	27.6	58.28	52.31
Cxcl13	20.18	20.33	32.84	37.85
Cxcl14	7.13	6.65	39.09	40.09
Cyb561	48.22	39.93	77.85	64.16
Cyp7b1	19.04	22	48.06	63.81
D17H6S56E-5	11.49	10.78	21.21	22.54
Dchs1	0.59	0.73	1.46	1.49
Des	4.41	4.53	24.63	20.91
Desi1	29.89	27.74	37.18	45.2
Dlg2	0.52	0.43	1.28	1.57
Dmkn	11.01	9.43	21.38	30.17
Dok1	18.83	16.92	35.46	26.63
Dpp6	0.95	0.55	1.81	3.38
Dpysl3	1.99	2.35	4.59	4.98
Dram1	61.15	57.77	75.81	94.05
Dsc3	0.02	0.06	0.73	1.24
Dsg2	0	0	0.27	0.32
Dsg3	0	0	0.26	0.8
Dsp	0.02	0.01	1.2	1.65
Ecm1	123.95	118.1	178.53	168.52
Eef1g	549.42	527.14	720.2	707.99
Efemp2	377.62	324.26	560.36	627.06
Efhd2	34.42	33.77	47.3	50.4
Elfn1	2.64	2.62	5.2	7.8
Eln	18.68	17.6	37.95	21.07
Emilin1	52.98	48.39	99.07	96.19
Emp2	13.95	13.97	19.6	24.87
Enc1	63.76	64.66	86.51	95.48
Eng	11.77	11.73	16.32	21.91
Eno3	9.61	6.77	15.12	16.79
Enpp1	0.66	0.89	1.42	2.75
Epcam	0.06	0.05	2.27	1.91
Esyt1	91.2	85.21	136.03	118.1
Ets2	19.62	18.99	23.72	30.92
F13a1	55.34	55.84	74.27	95.87
Fam102b	31.4	28.16	38.4	56.8
Fam129b	141.57	121.16	184.65	169.22
Fam65c	1.63	1.08	3.62	3.48
Farp1	16.87	16.12	23.76	30.53
Fblim1	15.83	14.02	25.43	30.16
Fbln2	892.54	879.43	1461.08	1554.27
Fbn1	242.88	224.67	313.18	349.75
Fbn2	6.28	6.74	14.8	17.94
Fbxl5	77.4	69.49	103.28	111.64
Fcgr2b	7.37	9.21	13.24	19.84
Fem1b	23.13	21.42	27.29	33.05
Ffar2	9.43	11.5	19.87	16.33
Fgf11	2.42	1.88	5.35	5.08
Fgf18	2.95	1.97	8.21	8.48
Fgl1	3.35	2.48	7.86	10.16
Fgl2	7.59	9.65	43.12	48.58
Fibin	8.84	9.29	15.65	22.44
Fkbp10	56.34	61.43	83.1	90.22
Fkbp11	12.7	12.94	30.19	30.43
Flnc	23.45	21.53	31.59	36.79
Fmnl3	5.5	4.8	10.08	12.24
Fndc3b	62.47	64.78	73.86	97.3
Fstl1	376.72	347.66	579.56	659.18
Fstl3	18.52	13.85	34.61	42.38
Fxyd5	66.24	64.31	104.46	161.49
Fxyd6	0.82	0.75	7.72	6.64
Gadd45a	33.23	31.6	58.16	53.09
Galnt16	12.66	12.48	25.57	32.94
Gch1	3.91	3.52	8.15	6.45
Gcnt2	13.93	14.58	29.12	37.31
Gda	121.46	115.4	145.01	170.68
Gfpt2	50.53	40.84	77.65	107.1
Ggta1	6.55	7.12	9.49	14.31
Gipr	4.69	1.97	12.97	11.33
Gldc	6.48	5.99	11.77	14.41
Glipr2	38.49	35.85	46.69	65.99
Gm15772	1245.23	1229.86	1991.37	1522.35
Gm2083	97.93	114.87	126.36	196.1
Gm21992	0.9	0.7	3.68	2.95
Gm3893	6.81	4.35	9.82	15.18
Gm6093	0.5	0.14	3.68	6.16
Gm7334	0	0	14.53	13.99
Gpr137b-ps	2.99	3.08	6.16	8.39
Gpr153	6.5	5.78	14.57	14.23
Gpr35	5.53	4.07	9.65	14.03
Grem2	10.02	9.25	16.48	22.25
H19	30.75	28.8	86.27	90.37
H2-Ab1	13.67	8.55	30.43	24.2
H2-Q7	22.46	24.93	64.64	35
Hbegf	0.76	0.82	3	2.53
Hdac7	49.06	41.7	68.99	62.3
Heatr5a	13.4	13.81	18.11	21.66
Hfe	18.71	17.47	46.68	47.53
Hhipl1	12.87	12.28	24.67	22.15
Hist1h2ap	0	0	2.62	13.31
Hist2h2aa2	0	0	2.19	8.3
Hivep3	1.32	1.17	1.97	3.64
Hp	1417.71	1271.28	5157.1	3657.06
Hpse	14.21	12.12	22.22	25.3
Hs6st2	1.07	1.1	4.25	5
Hspb7	50.68	32.06	72.11	86.31
Hyou1	40.54	38.35	60.97	59.98
Ibtk	30.7	28.31	46.42	47.86
Icam1	10.23	11.56	19.59	19.93
Ier3	68.98	66.19	104.37	127.44
Ifnar2	69.76	73.7	88.97	110.51
Igf2	0.94	0.91	4.3	6.26
Igfbp4	91.23	80.86	223.56	158.53
Igfbp7	809.2	816.7	1431.4	1124.24
Igfn1	0.05	0	0.32	0.31
Il11ra1	102.17	88.11	175.12	115.38
Il13ra1	13.34	11.46	36.78	50.79
Il17ra	29.44	27.66	54.31	52.16
Il1r1	61.05	57.48	92.09	115.63
Il1rl2	21.6	19.49	29.93	44.62
Il33	1.23	1.05	9.63	14.83
Il3ra	57.25	47.02	96.2	66.64
Il4ra	54.04	55.54	117.12	120.72
Il6st	149.23	142.87	201.13	280.2
Inhba	12.76	8.15	29.54	31.61
Irf2bpl	20.13	20.52	30.22	29.57
Irf6	0	0.02	1.2	1.33
Isg20	43.78	31.03	57.69	64.1
Itga11	59.99	54.75	73.75	96.18
Itga5	78.16	72.48	116.77	138.3
Itgav	31.7	33.69	39.16	48.81
Itgb1bp2	0.19	0.16	3.05	2.57
Itgb4	0.27	0.15	1.28	0.99
Itgb6	0	0.02	0.45	0.74
Itih4	0.28	0.84	3.09	2.46
Itm2a	94.6	104.92	132.36	143.44
Itpripl2	32.51	30.81	41.45	43.47
Jak2	22.86	22.51	28.87	40.12
Jph2	0.53	0.29	1.97	1.75
Junb	140.14	126.24	233.19	225.71
Kcne4	47.42	47.12	67.92	68.76
Kcnj15	2.27	2.26	3.84	5.97
Kcnk1	0	0	0.87	0.8
Kctd11	28.76	22.83	43.21	46.57
Kdelr2	88.58	102.19	127.47	134.59
Kdelr3	43.75	41.41	57.02	74.49
Kif21b	4.17	3.41	6.28	8.02
Kif26b	0.73	0.42	1.75	2.44
Kng2	13.93	13.77	34.89	42.19
Krt14	0.15	0.31	51.27	40.12
Krt17	0	0.21	35.08	32.32
Krt18	0.18	0.15	2.33	2.45
Krt5	0	0	26.9	27.31
Krt6a	0	0	7.75	7.61
Krt7	1.16	0.72	14.8	13.91
Krt8	0.2	0.23	5.87	6.92
Krt80	2.95	0.94	6.66	6.98
Lama3	0.13	0.11	0.81	1.42
Lama4	231.69	220.63	255.47	363.01
Lamc2	15.01	13.74	26.42	28.47
Layn	87.32	67.67	101.55	125.83
Lbh	18.84	19.86	26.17	33
Lbp	92.82	100.55	135.4	183.08
Lcn2	30.14	33.63	118.98	131.74
Ldb3	1.96	1.37	3.26	5.47
Lgi2	17.84	18.39	23.19	37.14
Lgmn	215.28	223.08	387.32	370.84
Lhfp	45.96	50.52	74.34	78.8
Lmcd1	2.26	1.99	9.3	12.65
Lmod2	0.19	0.21	1.68	2.31
Loxl1	231.82	211.82	351.21	358.84
Loxl3	25.94	22.7	62.16	59.36
Loxl4	4.31	4.22	7.08	8.95
Lrg1	278.7	223.54	1087.96	667.25
Lrp1	361.98	319.41	472.64	487.98
Lrp2	2.81	1.78	6.49	7.52
Lrrc15	0.11	0.13	1.59	2.82
Lrrc32	30.3	25.74	38.31	58.01
Lsp1	15.05	15.06	24.68	29.15
Ltbp2	18.36	13.27	29.33	29.5
Lvrn	14.15	11.66	21.87	23.77
Lyst	14.57	13.53	17.02	24.36
Mark1	20.08	17.48	31.07	42.81
Mb	1.83	1.23	13.36	16.9
Mcam	32.99	33.58	47.79	44.2
Mcoln2	0.48	0.7	2.24	2.47
Medag	146.92	134.31	209.64	290.01
Mfap4	6.41	7.48	10.2	18.82
Mgam	0.27	0.22	1.12	1.61
Mgarp	10.87	11.29	20.53	19.16
Mrc1	43.63	47.01	59.71	78.72
Mrc2	103.98	93.15	127.63	138.16
Msln	0.06	0.34	3.29	3.56
Msn	127.02	124.23	173.73	182.17
Mt1	3473.15	2892.98	6026.91	6050.93
Mt2	3187.07	2680.75	7039.11	7232.48
Mthfd1l	10.99	8.63	21.73	18.52
Mybpc1	1.54	1.52	8.89	9.54
Mybph	1.38	0.93	5.75	9.17
Mycbp2	29.71	21.97	32.9	41.66
Myh1	2.93	2.31	14.05	17
Myh3	1.12	1.31	9.68	9.75
Myh7	0.1	0.02	0.64	0.62
Myh8	1.34	1.14	8.68	10.58
Myl1	11.37	12.86	50.9	57.96
Myl4	9.24	9.48	25.91	27.25
Mylpf	9.78	4.97	42.73	36.81
Myo7a	4.23	5.15	8.91	10.88
Myog	0.91	0.5	4.97	6.45
Myom2	0.69	0.27	2.75	2.78
Naglu	46.61	45.81	67.19	64.26
Ncam1	6.55	6.29	12.11	18.29
Ndrg1	66.48	50.3	142.56	130.54
Ndufa4l2	338.72	266.07	475.38	463.5
Neb	0.31	0.3	1.21	2.33
Nek6	34.5	36.31	44.12	58.62
Nes	1.35	1.7	4.16	3.99
Nfasc	0.2	0.17	0.66	0.76
Nfatc4	29.59	28.6	48.7	38.02
Nfkbiz	18.59	15.03	26.94	28.39
Nkd2	0.48	0.38	1.54	2.49
Nos2	0.6	0.2	6.19	8.4
Notch3	7.52	6.91	12.38	10.32
Nox4	5.4	5.45	7.43	14.1
Nup93	36.26	31.9	48.3	49.13
Obscn	0.05	0.03	0.21	0.31
Osmr	51.51	44.81	73.49	119.47
Osr1	13.69	13.94	21.27	24.73
P2rx7	1.71	1.56	3.85	4.25
P3h1	42.62	42.5	72.13	60.63
P3h3	48.87	50.38	80.48	74.71
P4ha2	287.83	250.61	452.89	437.65
P4ha3	17.82	14.98	30.55	33.66
P4hb	739.64	709.2	1150.06	1073.01
Papss2	11.83	10.14	15.75	19.08
Pcsk5	11.03	11.32	23.67	27.5
Pdia5	23.16	21.01	42.92	42.31
Pdlim3	0.54	0.07	2.53	3.35
Pdpn	44.69	38.96	98.1	122.23
Perp	0	0.22	7.65	7.97
Pgap1	0.68	0.75	1.28	1.91
Pgf	6.96	2.84	23.15	22.53
Phldb2	20.41	18.9	24.18	32.86
Pkp1	0	0	1.28	1.72
Pla2g4a	6.34	6.23	10.72	13.48
Plac8	331.46	306.74	712.68	495.92
Plec	29.85	27.12	44.21	41.76
Plek	9.65	10.57	13.76	17.99
Plekhg6	7.1	5.58	10.72	12.16
Plod3	131.17	127.55	180.34	192.51
Plvap	7.88	9.03	15.3	15.1
Pmaip1	2.63	2.51	5.9	5.38
Podn	22.78	18.67	42.8	41.98
Pold4	83.42	80.67	114.66	127.47
Porcn	16.31	15.1	23.2	28.13
Ppm1d	28.24	23.84	42.61	36.35
Ppp1r18	31	29.02	40.58	44.14
Prg4	53.22	54.98	99.26	184.57
Prkar1b	3.01	2.8	5.6	6.26
Prl2c2	8.13	7	16.11	21.21
Pros1	82.14	83	145.34	154.16
Ptgfrn	18.73	18.4	26.02	31.44
Ptgis	49.93	39.32	134.31	110.77
Ptgs1	10.83	9.99	17.36	16.07
Ptgs2	1.75	1.25	6.58	9.73
Ptk7	3.69	4.12	7.19	9.74
Ptprf	1.36	0.96	2.26	2.95
Ptrh1	20.28	18.8	41.82	30.23
Ptx3	137.83	101.61	611.06	523.01
Pvrl1	6.14	5.09	10.2	10.16
Pycr1	2.55	2.74	7.91	6.3
Rab3gap2	20.74	19.78	25.62	28.64
Rarg	13.13	11.54	18.68	19.63
Rbpj	27.57	26.06	31.64	43.63
Rcn1	54.58	58.45	83.55	90
Rcn3	187.09	159.36	291.33	250.19
Rftn1	3.94	4.45	9.08	8.61
Rgs16	8.37	5.68	28.12	31.68
Rgs4	2.2	1.91	5	5.62
Rin1	3.73	3.64	8.17	8.89
Ripk3	21.49	23.87	33.31	36.71
Rn45s	229.21	326.29	453.67	397.61
Rnf150	2.58	2.33	3.92	6.33
Rnf19b	29.51	27.96	52.56	55.68
Ror1	8.89	7.24	14.3	19.33
Rpl10a	1051.4	1065.85	1686.7	1332.37
Rpl12	1710.36	1654.74	2682.45	2184.18
Rpl13a	1635.93	1550.1	2605.36	2117.9
Rpl34-ps1	931.96	1003.91	1400.04	1288.59
Rpl4	1398.4	1301.82	1905.3	1733.91
Rps12	2198.83	1999.58	3730.25	2502.7
Rps20	1605.51	1579.63	3116.84	1888.31
Rps26	1450.62	1422.75	2458.13	1855.05
Rps3	731.23	676.7	1412.96	853.67
Rps3a1	2108.2	2012.88	3270.29	2487.65
Rps5	1322.42	1194.81	1787.2	1590.95
Rtn4rl2	74.95	53.03	179.77	163.02
Runx1	4.57	3.75	8.8	13.59
Ryr1	0.12	0.12	0.91	0.83
S100a14	0.95	0.1	7.4	3.73
Saa3	53.94	42.52	288.78	194.23
Sbno2	30.59	26.35	61.62	63.45
Sbsn	89.53	76.47	95.65	126.36
Sdc3	31.12	26.8	47.21	58.35
Sdc4	212.19	163.65	376.47	329.19
Sdk1	3.21	2.57	5	6.8
Sema4c	7.49	7.57	14.14	11.15
Sema6b	7.47	7.14	16.91	15.36
Serinc2	0.06	0.28	1.52	2.6
Serpina3c	10.49	9.75	35.11	41.69
Serpina3g	1.6	2.25	5.85	7.3
Serpina3h	0.99	1.25	3.32	4.98
Serpina3i	0.4	0.83	8.32	7.11
Serpina3k	0.25	0.21	2.17	2.51
Serpina3m	45.5	32.77	297.02	316.42
Serpina3n	1137.67	922.24	3469.62	4703.16
Serpinb2	0.62	0.79	3.63	6.43
Serpinb5	0	0	0.71	1.26
Serpine1	616.14	445	984.48	1479.64
Serping1	282.48	254.06	358.73	524.21
Serpinh1	637.79	624.45	978.78	1066.07
Sfn	2.2	1.23	9.25	7.56
Sfrp2	83.58	99.04	178.97	196.11
Skil	11.22	9.84	13.33	16.71
Slc10a6	27.92	21.53	54.05	55.41
Slc16a2	10.3	11.34	13.95	20.58
Slc16a3	61.62	57.7	97.15	113.01
Slc1a4	8.82	8.35	15.13	19.52
Slc2a1	98.13	86.49	176.75	158.53
Slc39a14	44.25	32.28	162.4	164.98
Slc39a6	54.22	47.29	68.71	71.82
Slc6a12	3.05	1.96	9.38	13.44
Slc7a1	9.56	9.28	13.95	15.99
Slc8a1	0.31	0.34	0.73	0.88
Slfn10-ps	2.43	3.04	4.74	6.27
Slfn4	0.09	0.34	1.09	1.33
Slit1	0.23	0.54	2.19	2.62
Slpi	0.15	0.62	7.39	2.79
Smad7	14.63	10.99	22.21	23.29
Smim3	3.48	3.33	10.13	8.49
Smpx	0.12	0.2	3.57	2.09
Smtnl2	3.89	1.76	9.05	7.64
Snai1	19.31	19.76	28.25	37.45
Sned1	52.69	49.24	62.08	79.32
Snx18	29.11	26.08	39.55	41.45
Soat1	26.82	26.07	33.82	39.71
Socs3	11.55	10.98	60.06	60.68
Sorcs2	1.41	1.48	3.26	3.94
Sparc	3232.52	3222.11	4865.18	4305.27
Sphk1	38.7	31.99	76.99	59.48
Sphkap	0.54	0.42	1.37	1.88
Spon1	62.3	67.84	103.75	105.71
Sptlc2	40.4	38.76	51.11	55.74
St5	22.09	20.11	29.19	29.08
Stab1	14.94	15.75	23.29	21.67
Stat3	97.2	85.47	122.48	126.55
Steap1	15.24	15.53	47.47	42.43
Steap2	13.44	12.29	17.5	27.09
Stk24	96.65	88.57	112.8	138.8
Sulf1	19.58	18.51	26	39.06
Svep1	107.63	96.13	168.89	188.67
Swap70	19.05	17.96	23.33	28.45
Synpo	8.16	7.52	10.87	14.5
Tagln	86.46	73.4	200.84	179.03
Tagln2	110.63	109.82	141.03	177.1
Tbc1d1	7.72	7.44	10.32	13.26
Tcap	0.67	0.57	4.45	4.35
Tes	7.3	6.73	13.29	13.14
Tgfbr2	136.26	153.41	200.13	243.3
Tgm1	0.39	0.59	2.41	2.46
Thbd	5.06	4.56	8.74	9.3
Thbs1	168.53	141.85	224.69	311.74
Thbs4	1.72	0.92	5.26	7.19
Thy1	80.37	74.79	129.27	152.13
Timeless	2.3	2.58	6.46	4.44
Timp1	215.38	197.62	451.78	522.46
Tln2	4.75	4.48	7.32	8.93
Tmed3	106.24	102.96	147.08	150.94
Tmem173	12.93	14.28	22.5	25.26
Tmem176a	102.02	90.26	189.41	160.89
Tmem176b	201.13	195.6	381.04	266.88
Tmem2	3.62	3.31	5.11	6.41
Tmem254c	2.75	2.09	5.92	11.39
Tmem38b	62.02	59.29	90.05	78.45
Tmem45a	64.8	59.3	83.2	106.95
Tmem8c	0.36	0.62	2.88	4.6
Tnc	21.33	18.32	82.04	106.86
Tnfaip2	92.27	84.05	175.66	149.19
Tnfrsf1b	13.03	11.84	19.04	21.14
Tnfrsf9	7.05	7	16.28	14.88
Tnfsf11	1.57	0.83	17.23	16.05
Tnnc1	8.91	8.08	45.98	27.94
Tnnc2	2.46	2.74	17.03	13.95
Tnni1	1.85	2.07	19.57	13.82
Tnni2	2.56	1.68	18.35	13.21
Tnnt1	1.14	0.76	8.99	8.78
Tnnt2	1.92	0.97	16.2	14.63
Tnnt3	3.24	3.71	19.99	22.78
Tpm1	121.99	111.61	169.34	166.26
Tpm2	41.28	35.57	72.83	60.92
Tpm4	310.58	271.01	396.43	537.39
Tpmt	6.19	6.79	9.31	14.49
Trim72	0.58	0.25	3.91	3.22
Triobp	38.39	33.95	47.54	45.35
Trp53i11	5.05	5.47	11.72	11.46
Tspan4	174.21	154.67	288.4	298.63
Ttn	0.06	0.04	0.21	0.36
Tubb3	4.11	2.96	8.2	8.89
Ugcg	62.77	53.67	99.42	139.84
Ugdh	127.05	118.71	156.88	172.48
Uhrf2	87.02	81.78	103.49	120.72
Unc13a	2.24	2.08	4.8	5.07
Unc5b	25.95	22.13	40.34	38.42
Upk1b	0	0	1.15	1.39
Vcan	64.33	60.93	78.28	109.5
Vkorc1	119.93	122.54	225.05	148.95
Wbp5	127.56	124.21	217.81	163.84
Wbscr17	11.67	9.33	23.47	25.3
Wfdc17	63.29	66.6	158.11	131.78
Wfdc21	26	23.27	101.59	68.28
Wisp1	4.58	3.64	10.87	14.5
Wnt16	11.08	11.14	21.44	18.7
Wsb1	29.81	27.88	41.13	44.17
Wt1	0.43	0.3	2.4	2.71
Xirp2	0.1	0.04	0.28	0.47
Znrf1	13.42	11.41	19.72	18.96
