Ctrl_1	Ctrl_2	SFN_1	SFN_2
FOLR1	3.12	3.44	0.3	1.08
LOC101928034	2.55	2.36	0.62	0.45
ATP6V1B1	11.38	9.51	1.91	2.66
CYP2B6	2.61	2.68	0.57	0.6
TRIM6-TRIM34	0.42	1.36	0.07	0.33
SOSTDC1	2.75	1.68	0.49	0.51
PINLYP	6.61	4.64	1.37	1.23
TP53INP1	1.91	1.45	0.39	0.36
PELI2	0.49	0.39	0.07	0.13
CYP24A1	3.78	3.62	1.03	0.62
DNAJC22	3.77	3.6	0.68	0.98
CXCL8	28.65	23.98	5.89	6.2
HOXC4	5.08	5.25	1.13	1.24
KRT1	9.31	8	1.96	2.02
SLC52A1	2.39	1.76	0.54	0.42
CDH19	0.61	0.43	0.16	0.08
FLRT2	6.91	7.8	1.42	1.94
CCDC74B	9.89	11.11	2.21	2.51
PAPLN	2.7	2.54	0.5	0.72
FAM196B	0.89	1.19	0.2	0.29
TTC28	3.16	3.31	0.69	0.86
RGS2	41.37	40.97	8.86	11.39
DOCK8	3.13	3.06	0.59	0.91
KLK11	7.33	6.35	1.55	1.79
SYT5	3.32	2.68	0.64	0.9
SYNPO	29.82	29	7.2	7.95
MAP2K6	12.79	10.72	2.79	3.33
ID3	936.17	751	207.68	238.95
PHYHIP	2.23	1.55	0.63	0.37
ROS1	0.32	0.19	0.08	0.05
RHOU	11.22	7.56	2.49	2.58
GRIK2	10.46	11.44	2.5	3.35
LRRC48	2.1	1.71	0.43	0.6
CA2	609.75	521.21	143.75	164.27
EGR3	1.46	1.35	0.41	0.35
AQP10	1.1	1.16	0.32	0.29
LOC100129434	34.29	42.15	9.88	10.78
DLK2	39.65	37.01	10.85	10.11
BST2	9.72	9.68	1.47	3.93
EXOC3L4	1.2	0.8	0.22	0.33
CYP26A1	5.76	6.1	1.92	1.37
PROC	21.46	16.92	4.91	5.78
IGFBP3	1641.34	1869.5	456.68	517.34
KIAA1456	0.37	0.42	0.09	0.14
LUZP2	16.47	18.18	3.99	5.61
SMAD6	49.34	47.71	12.95	14.06
PEG10	29.57	32.5	8.06	9.18
ARID5B	31.67	31.45	7.6	9.3
SLC22A3	13.38	16.28	3.73	4.55
TMC4	8.9	7.47	1.85	2.79
TNNI2	3.93	4.44	0.77	1.78
C10orf67	3.69	3.6	1.28	0.79
CCDC85A	19.07	21.48	5.29	6.17
CPQ	2.59	2.37	0.55	0.87
RAB26	6.47	7.71	1.92	2.14
RARA-AS1	2.3	1.69	0.65	0.5
KCNH3	10.18	11.63	3.24	2.96
MYO3B	0.4	0.4	0.09	0.14
SMAD9	0.69	0.73	0.18	0.24
MTUS2	15.2	14.29	3.53	4.96
KRT4	216.68	215.21	60.68	64.98
RBP3	1.24	0.86	0.32	0.29
CYP2B7P	1.07	0.94	0.3	0.29
SEMA5A	18.74	19.25	4.85	6.23
DDIT4	364.83	287.95	87.6	106.63
CCDC3	0.68	0.81	0.14	0.3
SEMA3D	59.52	79.5	19.99	20.67
HOGA1	4.55	3.48	1.42	1.02
KRT16P2	2.74	2.13	0.64	0.82
FBXO15	1.6	1.02	0.49	0.3
SYNPO2	0.57	0.96	0.15	0.3
SYT8	6.29	5.95	1.78	1.88
FTX	1	1	0.48	0.12
PALMD	4.18	5.83	0.96	2.02
EPHA4	9.87	10.55	2.27	3.83
ID1	1346.61	1240.67	343.42	456.13
S100A2	3071.19	2639.61	861.32	903.03
HAS2	1.2	1.72	0.45	0.43
MT1F	88.41	70.73	22.99	30.26
SNCA	14.44	11.94	4.01	4.05
LGALS7B	618.68	423.74	167.08	181.04
COX6B2	3.51	2.8	0.91	1.04
AASS	2.7	4.8	0.78	1.5
S100A3	17.81	18.94	5.41	6.34
FAT3	1.94	2.87	0.73	0.73
TIMP3	5.31	4.66	1.61	1.5
MYL9	5.38	6.67	1.98	1.81
HCAR2	132.1	110.95	35.89	40.95
FREM2	0.44	0.48	0.12	0.16
RNF152	11.56	11.24	3.31	3.91
HOXA13	2.48	3.15	0.63	1.14
SERPINF1	1.79	1.65	0.56	0.55
TP73	6.17	6.28	1.96	1.94
HSPA2	169.76	147.84	48.47	52.66
IGFBP2	3.37	1.95	1.03	0.7
TCONS_00029157	2.73	2.15	0.74	0.83
GDF6	2.14	2.01	0.54	0.79
FOXN1	3.14	2.06	1.06	0.63
MUC3A	0.52	0.64	0.12	0.26
SELENBP1	1.8	1.48	0.48	0.65
EFNB3	1.01	0.88	0.24	0.37
SDC2	1.15	2.22	0.27	0.82
C6orf165	2.92	2.63	0.91	0.92
HNRNPA1P10	245.32	199.65	95.08	53.01
ADORA1	0.88	0.66	0.27	0.26
CH17-360D5.1	6.97	4.82	2.05	1.92
ST6GALNAC1	7.07	4.66	1.83	2.08
EFCAB1	2.47	2.05	0.72	0.8
BTG2	90.1	71.93	24.45	30.14
GPR137C	1.38	1.47	0.54	0.43
PAQR8	0.8	0.49	0.23	0.22
NTRK2	6.85	9.95	2.25	3.46
KCTD12	54.3	52.49	17.93	18.47
GPER1	7.91	5.42	2.34	2.31
SERPINI1	26.4	25.05	7.75	9.98
RNF144B	25.81	28.41	8.36	10.37
BDH2	3.03	3.19	0.78	1.38
SPEF2	2.83	2.27	0.74	1.11
VTCN1	0.92	0.88	0.32	0.35
XKRX	1.49	1.45	0.36	0.67
RIBC1	5.27	3.44	1.13	1.87
MATN2	91.56	96.9	30.03	36.07
SPATA18	1.93	1.84	0.49	0.82
SCGB1A1	19.36	21.54	7.77	7.99
HCFC1R1	95.75	76.95	27.51	32.78
LFNG	74.42	74.43	25.34	26.53
ACKR3	48.09	47.26	16.82	17.01
MIR210HG	2.42	2.09	0.59	1
MXRA5	38.89	41.49	12.4	15.84
SEMA3B	1.95	1.6	0.9	0.57
ALDH3B1	27.71	23.21	8.64	9.41
C1QL4	1.36	1.12	0.36	0.53
PTPRZ1	2.42	2.6	0.84	0.92
HOXC13	143.18	135.59	48.6	50.55
STON1	20.6	18.74	5.76	8.2
LOC100130417	6.01	6.3	1.55	2.93
CNFN	9.8	7.6	4.36	2.36
PALM	10.04	8.79	2.39	4.4
TMC7	11.1	9.06	3.06	4.46
ATP9A	32.21	30.94	9.74	12.75
CDKN2B	41.5	46.35	13.74	17.6
EGR2	1.96	1.27	0.79	0.38
HES5	2.48	1.9	0.94	0.66
PBX1	17.41	16.63	5.53	6.68
ID2	106.49	94.49	31.94	41.76
FAM189A2	2.33	2.3	0.89	0.8
GSTA4	6.46	4.65	2.41	1.69
ROR2	5.03	4.96	1.89	1.73
PCDHGB2	0.9	1.18	0.28	0.56
PCSK4	1.4	1.06	0.32	0.58
MSLN	1.42	1.27	0.52	0.48
TCF7L1	9.42	8.06	3.13	3.31
MT1X	541.45	466.94	203.09	215.16
SLC7A8	54.27	34.96	18.48	15.73
RIPK4	99.38	87.24	32.48	36.97
C9orf116	18.33	13.95	7.39	5.17
GABRA3	28.28	23.87	10.81	8.7
SLC39A2	2.99	2.39	0.67	1.37
CTSH	741.1	656.94	250.54	279.91
NANOS1	7.23	6.15	2.51	2.51
TGM1	25.42	19.49	8.25	8.72
CDH8	16.13	17.02	6.11	6.31
PCDHGB1	1.59	1.04	0.48	0.65
EFR3B	0.8	0.87	0.31	0.32
PLCH2	7.28	7.19	2.82	2.65
DLX3	34.73	32.64	11.89	13.61
SPOCK2	1.63	2.01	0.52	0.96
GPNMB	1293.38	834.5	369.29	442.68
CCDC89	2.59	1.56	0.82	0.77
GPC2	2.11	1.38	0.68	0.66
PIK3IP1	12.89	11.48	3.68	5.64
SLC38A4	3.45	3.88	1.45	1.32
CNPY4	25.4	23.09	9.31	9.42
TWIST1	9.9	11.8	3.58	4.79
MDH1B	1.64	1.43	0.57	0.62
EN1	3.36	2.67	1.35	0.98
COL1A1	4.42	4.55	1.53	1.91
DLX5	12.95	9.94	4.07	4.88
KLHDC9	8.67	9.1	3.54	3.49
LGALS7	18.57	8.93	7.02	4.66
MT1E	2254.49	1831.82	910.4	803.79
HMCN1	0.46	0.73	0.22	0.24
OCEL1	5.6	5.21	2.65	1.65
KRT19	2370.49	2036.14	835.82	902.65
LBH	42.9	40.63	14.21	18.4
HECW2	2.17	2.47	0.8	0.99
FZD1	30.03	33.69	11.91	12.88
RPS6KA2	23.45	24.26	8.34	10.22
LOC728743	1.87	1.59	0.72	0.64
TINCR	26.32	24.35	9.97	9.85
GLI1	1.5	1.4	0.71	0.42
CIDEB	2.3	2.12	0.95	0.82
CCDC176	1.55	1.79	0.63	0.68
PLEKHG4	1.03	0.78	0.35	0.36
ADAMTSL4	4.59	3.13	1.51	1.61
ST6GALNAC2	77.55	62.52	24.74	30.98
FGFR3	26.99	25.91	9.54	11.29
NES	12.72	13.33	4.91	5.32
SH2D3C	2.47	1.17	0.58	0.78
PCOLCE	2.98	3.17	1.15	1.31
FABP3	4	3.41	1.5	1.49
PPFIBP2	15.42	11.02	4.48	5.84
PABPC4L	1.17	0.79	0.32	0.46
RHOBTB3	412.78	468.25	151.98	199.02
HPGD	5.81	4.81	1.77	2.47
JUNB	448.68	407.15	169.87	177.24
PRDM1	1.55	1.65	0.44	0.88
SMA5	3.3	3.39	1.23	1.49
COPZ2	110.18	89.83	43.29	40.02
SALL4	3.33	3.75	1.36	1.5
EGR1	257.41	191.14	104.86	77.24
WNT4	3.3	2.72	1.08	1.36
ALDOC	52.36	39.25	19.22	18.62
VSNL1	76.23	70.79	30.01	30.38
MMP1	16.91	12.63	5.36	6.79
EYA2	8.19	7.59	3.14	3.34
DUSP2	23.57	18.89	9.11	8.42
RASSF10	21.13	20.01	8.36	8.5
BHLHE40	47.78	42.43	18.22	18.75
FMN2	1.05	1.34	0.33	0.64
PRSS27	2.76	2.18	1.06	1
LOXL2	12.17	16.94	4.98	6.9
DLX2	9.82	9.06	4.12	3.69
ACAA2	6.96	5.65	2.51	2.74
LOC102723354	10.11	9.44	3.12	5.18
LOC100128239	1.93	1.78	0.67	0.88
CRIP2	293.48	265.46	109.94	125.83
SMAD7	35.08	34.96	14.38	14.93
INSIG1	144.89	123.18	56	55.75
ATP8A1	0.97	1.05	0.32	0.52
UNC5B	33.92	33.32	13.49	14.52
SLC6A2	10.38	9.94	3.49	4.89
LOC653602	11.85	10.77	3.92	5.62
LZTS1	1.18	1.36	0.51	0.55
EDA	1.42	1.28	0.4	0.54
BMP2	15.95	13.85	6.01	6.52
HRK	3.48	2.85	1.43	1.3
TMEM107	22.97	21.67	7.97	10.99
DAPK2	9.76	7.13	3.35	3.82
LMTK3	2.06	1.94	0.81	0.88
NRXN3	0.65	0.65	0.3	0.27
TNFSF10	39.16	28.15	12.61	16.26
LIN7B	12.55	9.87	5.91	3.93
CAMK2A	1.06	1.13	0.45	0.48
FAM84A	28.25	26.71	11.3	12.05
TP53I11	21.6	19.01	8.92	8.57
TCTN2	19.16	17.5	8	7.76
OLFML2A	15.8	17.15	6.61	7.49
SLC27A1	6.31	4.94	2.48	2.38
L1CAM	11.19	17.2	4.76	7.42
DLX4	5.52	3.64	1.56	2.58
SREBF1	122.73	111.55	51.53	49.6
TBX19	7.35	5.46	2.43	3.13
PEX11G	5.79	5.1	2.54	2.34
SEMA3C	52.08	56.36	21.92	24.94
DCBLD1	37.66	32.87	14.65	16.24
CCDC74A	20.24	22.68	9.56	9.49
FGGY	6.99	5.05	1.87	3.37
BMP8B	1.75	1.67	0.75	0.74
ARSI	21.14	19.83	9.11	8.87
PLXNB3	0.83	0.66	0.22	0.44
HSD17B8	29.23	23.69	12.87	10.98
LINC01116	4.18	3.92	1.84	1.8
JUND	99	84.81	41.52	39.96
PCDHB14	1.97	1.62	0.66	0.92
ANKRD65	10.33	8.39	3.97	4.14
CFAP57	2.27	2.06	1.01	0.89
ZNF488	94.27	98.19	39.75	45.51
BCAM	491.99	494.64	206.28	223.07
ZNF784	10.77	10.01	4.23	5.07
TNC	32.68	42.74	15.71	17.58
C1orf21	12.15	11.9	4.99	5.66
MPP2	15	14.53	6.09	7.04
SSBP2	5.37	5.11	2.18	2.5
ROGDI	63.61	58.5	27.49	27.6
WNT10A	155.92	151.26	67.68	70.39
LYPD1	39.92	44.94	15.49	21.24
LINC01124	2.25	2.17	1.11	0.89
ALG1L	47.28	40.14	20.3	20.33
CCL2	33.41	41.48	17.77	17.06
TMEM189-UBE2V1	4.27	3.43	1.62	1.86
AGAP11	20.52	20.22	8.53	9.83
PPP2R2B	72.68	74.77	32.21	34.49
STARD5	35.08	30.96	15.27	14.97
MARCKS	85.36	89.53	37.58	41.19
SP5	16.07	17.16	8.06	7.03
EHD2	80.92	76.49	33.89	37.23
SMARCD3	11.98	12.74	5.06	6.21
GAL3ST4	10.19	7.87	4.05	4.16
CALB1	3.4	4.12	1.82	1.58
PDPN	7	7.36	3.45	3.05
HOXC12	49.09	58.15	24.79	25.12
FBN1	1.16	2.12	0.61	0.86
SUSD4	22.82	19.59	8.29	10.57
VWA1	0.99	0.84	0.46	0.37
CKB	45.35	40.17	14.99	24.54
JAG2	127.65	131.88	57.57	59.65
SPC24	38.34	37.87	19.44	16.97
SYTL1	39.04	30.52	15.6	16.39
ZNF775	3.25	3.27	1.81	1.17
NUDT14	46.88	39.67	21.36	19.35
MXD3	35.71	37.06	15.76	17.54
PMEPA1	74.35	79.75	32.83	37.02
CYP27C1	3.85	3.92	1.61	1.93
RAPGEFL1	55.65	53.31	24.13	26.02
OTUD1	75.08	59.58	29.92	31.94
SC5D	68.46	55.88	26.67	30.32
SESN3	2.77	2.88	1.08	1.5
PIK3R3	9.11	11.2	4.52	4.71
NEBL	5.14	4.37	1.95	2.23
PLCD1	16.3	13.62	5.84	7.92
CLEC2B	18.42	16.68	7.62	8.62
RBMS3	1.36	1.68	0.47	0.59
SLC9A3	1.86	1.94	0.89	0.87
MNS1	10.12	9.75	4.65	4.56
CACFD1	7.26	5.62	2.96	3.01
MT2A	7892.13	6092.88	3816.25	3416.7
SCD	1480.5	1201.61	634.7	601.46
FRY	1.71	2.09	0.75	0.99
UCP2	2.83	2.87	1.38	1.28
DPYSL2	20.68	21.93	10.19	9.55
ARHGAP44	1.18	1.34	0.5	0.66
IFT22	27.39	28.36	12.6	13.42
TAGLN	39.25	43.96	19.59	19.2
SNHG18	24.24	19.98	9.22	11.65
PLA2R1	5.14	5.62	2.95	2.1
PCDHGB7	1.66	1.59	0.91	0.88
NICN1	4.07	3.41	1.55	1.95
ABHD14A	6.25	5.52	2.97	2.65
HTR7	14.04	15.81	7.06	6.88
PLLP	20.79	15.74	7.78	9.57
IVNS1ABP	129.06	113.19	55.21	58.23
MEIS2	28.43	29.95	13.73	14.29
VWA2	0.75	0.7	0.31	0.37
RHOB	81.66	66.25	35.48	34.24
LINC00673	18.99	16.63	7.4	9.39
PLTP	71.47	66.59	31.54	33.66
HNRNPA1P33	212.06	239.7	106.48	119.64
LOC727751	7.45	7.2	3.03	4.07
OSCP1	8.75	7.27	3.16	3.93
JMJD1C-AS1	10.89	9.89	4.68	5.26
TNFAIP2	30.28	29.25	14.09	13.93
WDPCP	3.24	3.02	1.34	1.6
GLUL	68.15	64.67	29.45	33.21
FBP1	132.46	119.81	63.82	56.54
OXTR	1.98	1.83	0.79	1.01
TLE2	7.2	5.51	3.09	2.85
KRT14	6699.47	5519.64	2975.16	2876.16
RAPGEF3	2.66	2.31	1.27	1.11
SUV420H2	32.64	28.45	13.94	15.18
S100A6	3872.17	2642.67	1669.89	1584.61
ZFP42	2.23	1.52	0.87	0.95
ANXA8	1200.81	1129.33	550.59	563.03
FSD1	10.6	10.44	5.83	4.25
PCSK5	28.9	31.9	12.93	14.51
FKBP1B	16.8	18.21	8.08	8.94
NEDD9	12.61	12.59	4.75	7.14
DHRS12	6.1	4.82	2.43	2.88
CCDC106	10.83	10.45	5.59	4.64
ANXA9	15.2	13.08	5.59	8.06
TOM1L2	98.2	100.73	45.17	49.83
PXN-AS1	10.1	9.26	5.34	4.35
VAV3	29.38	28.23	12.32	15.2
SCNN1A	14.3	13.01	6.22	7.09
ID4	11.27	10.52	4.59	5.87
DYRK1B	9.21	6.88	3.82	3.88
SNCG	442.72	390.34	193.94	220.73
SMA4	6.34	5.92	2.69	3.71
GAS1	1.73	1.84	0.92	0.8
UPK3BL	115.18	92.59	45.9	56.04
PPM1H	10.35	14.68	5.72	6.27
NFKBIZ	12.62	11.42	5.33	6.33
TSPAN1	256.45	218.63	116.58	115.97
KREMEN1	20.75	20.51	9.23	10.79
ST6GAL1	6.77	7.47	3.27	3.6
TUBA1A	6.29	5.05	2.65	2.43
TRIM22	25.08	29.81	11.35	15.22
C14orf132	0.99	0.83	0.4	0.48
CCBE1	4.47	5.46	2.04	2.74
ASIC2	1.11	1.83	0.81	0.61
COPG2	28.17	27.34	11.01	13.69
SDK1	0.96	0.82	0.5	0.46
RIMS3	1.1	1.08	0.56	0.5
TRAPPC6A	67.91	54.19	28.29	33.61
PLXDC2	13.66	15.12	6.44	7.52
EPB41L1	92.75	91.03	44	46.06
EVPLL	6.8	5.97	3.17	3.13
MAGED1	40.56	42.35	19.09	21.71
MGAT5B	2.14	1.83	0.98	0.97
BMF	4.74	2.53	1.51	2.14
THOC6	61.26	56.14	29.06	29.63
MKL1	28.33	29.12	13.59	14.52
SYT17	6.32	5.35	2.39	3.38
DGCR6	8.42	8.23	3.72	4.66
CYP4F12	16.14	14.98	5.73	9.78
FAM161A	4.37	5.62	2	2.85
COL5A3	1.81	1.28	0.81	0.72
KRT7	4957.7	4548.85	2367.85	2381.88
DAPK1	28.98	28.71	14.46	14.21
MEX3B	1.5	1.26	0.66	0.71
SYNGR1	8.86	10.33	5.12	5.95
SPTSSB	9.5	9.24	3.6	5.75
UPK3B	163.24	156.39	79.23	82.28
MAP3K12	6.1	4.31	2.68	2.51
FUZ	6.62	5.15	3.33	2.66
IGSF9	26.78	24.67	12.62	13
ZBED6CL	5.75	5.91	3.32	2.51
CA11	15.54	14.14	6.57	8.39
TESK2	5.45	4.58	2.14	2.88
H1F0	556.99	549.83	282.34	272.38
PTGS2	13.61	14.94	8.04	6.16
HES4	78.3	90.06	39.64	45.43
RDH10	27.87	37.17	14.64	17.75
NEURL1B	7.77	9.53	3.45	5.04
MIR205HG	134.75	120.46	64.93	66.9
MYO15B	0.64	0.5	0.23	0.34
ANXA8L1	522.82	480.36	258.03	248.76
KRT17	872.77	900.34	442.59	455.43
SNURF	30.88	32.43	12.92	17.87
TP53TG1	104.63	82.11	50.75	47.41
MAP1A	0.85	0.82	0.42	0.41
MAP4K2	8.48	8.22	3.87	4.53
MX2	4.01	7.03	2.68	2.83
ELF3	22.03	18.67	8.64	11.91
SNRNP35	31.72	32.41	16.03	16.87
KIAA1407	4.32	4.01	1.94	2.26
PCDHB13	3.65	3.61	1.72	1.93
GOLIM4	53.32	61.45	27.74	29.73
KANK1	24.7	23.91	12.09	12.08
PCBP4	11.74	11.86	5.83	6.11
TTC21A	1.17	1.14	0.55	0.6
TLR5	1.77	1.63	0.81	0.9
SKIDA1	1.88	2.38	0.81	1.33
PLCE1	6.4	7.03	2.93	3.74
CRIP1	1165.33	1028.47	537.67	672.36
PDLIM1	922.05	893.21	453.02	474.01
NUAK1	11.31	12.51	6.42	5.55
ATP7B	0.94	1.05	0.57	0.44
WDR34	319.84	329.77	164.23	166.81
MEF2C	5.96	8.51	2.88	4.37
ARHGEF19	21.4	20.38	10.95	10.26
HES2	13.1	10.56	5.94	6.1
EPB41L4A	6.59	7.87	3.53	3.79
SLC29A3	38.37	34.37	17.88	19.65
FRMD3	11.24	14.51	5.45	7.86
CTSB	312.42	273.61	141.97	157.66
ADAMTSL3	2.8	3.22	1.39	1.67
DAB2IP	73.27	79.32	36.38	40.75
KMO	0.97	1.23	0.45	0.66
ZNF34	2.57	2.58	1.28	1.35
SNAI2	64.19	60.32	32.47	31.64
BAIAP2-AS1	7.11	7.3	3.34	4.02
PLA2G6	2.8	2.2	1.34	1.21
SCARB1	68.47	67.15	34.95	34.97
TRIM29	665.66	568.52	313.25	324.26
HYKK	6.11	7.81	2.98	4.51
RNF128	7.84	8.62	4	4.48
ADAM22	0.89	1.01	0.6	0.54
ZFP36L2	80.71	72.94	39.06	40.24
TMCC2	8.16	8.03	3.87	4.56
FLRT3	1.65	2.52	0.92	1.19
ZNF624	2.39	2.22	1.07	1.31
LPAR6	6.48	6.44	3.04	3.65
LINC01503	107.9	99.28	54.03	57.04
MPND	17.72	16.55	8.81	9.09
PBXIP1	40.86	30.19	17.47	19.48
FANK1	10.23	7.4	4.69	4.62
KRT5	8450.57	7204.7	4199.2	3958.9
NAT6	4.59	4.84	2.67	2.21
SORCS2	9.75	9.88	4.97	5.18
REEP6	10.79	9.65	4.94	5.84
IFT140	14.12	11.09	6.86	6.25
GABRE	28.79	26.17	13.54	15.12
TMEM134	69.56	59.23	32.86	35.52
C6orf226	17.01	12.56	7.18	9.34
ANKRD2	24.94	26.81	14.73	12.52
ENKD1	23.09	19.1	10.97	11.35
SNRPN	15.72	15.1	7.37	8.95
DLC1	3.47	3.81	1.83	2.01
ZBTB22	8.67	9.26	4.2	5.19
RAB11B-AS1	6.84	7.09	3.93	3.51
FBXO4	13.56	12.97	6.1	7.75
ARHGAP5-AS1	11.47	10.7	6.13	5.67
JAG1	51.65	53.77	26.06	29.01
ARHGEF9	1.55	2.13	0.72	1.2
PHLDB1	55.02	58.5	29.91	29.45
PPT2-EGFL8	2.76	3.3	1.29	1.89
FAM212A	25.53	23.72	14.3	12.21
NGFR	7.1	6.53	3.59	3.59
FGFR2	32.06	32.61	17.54	16.38
LPCAT3	78.1	86.39	41.48	45.33
CFD	10.69	7.58	4.83	5.02
METRN	76.84	70.24	36.63	42.54
PLEKHO1	3.65	5.39	2.06	2.7
CROCC	8.31	7.72	4.8	3.63
PDCD4	76.88	69.28	35.79	41.51
PITX2	4.33	3.36	1.74	2.42
PAFAH1B3	77.94	74.31	41.49	40.57
DMBX1	4.62	5.27	2.36	2.87
DHRS3	123.38	117.67	58.29	70.38
MAPK8IP1	7.77	8.51	3.58	5.02
DLX6	4.85	5.49	2.82	2.68
PLD1	11.17	10.57	5.37	6.1
ORAI3	27.7	21.52	13.36	12.9
DALRD3	19	17.31	9.95	9.52
LRRC23	7.86	7.48	4.31	4.15
LRP1	16.52	17.04	8.15	9.57
KLF13	21.78	20.75	11.18	11.3
GSN	138.85	103.37	61.41	68.29
COL4A5	20.17	20.24	10.44	10.95
PPAP2A	35.35	36.22	17.46	20.91
C20orf96	4.44	5.2	2.43	2.74
PTPRS	27.86	34.87	15.48	17.6
DDAH2	22.98	17.51	9.26	12.36
CRABP2	127.8	121.65	62.25	73.45
TRDMT1	0.67	0.83	0.31	0.48
EPHX2	21.5	18.33	9.97	11.37
CERS4	9.38	8.16	4.48	4.95
THSD1	12.27	11.02	6.26	6.07
TRIM45	3.77	4.03	1.82	2.33
RNASE4	5.18	3.94	2.2	2.67
LYPD6	8.82	9.69	4.68	5.17
ERMAP	6.3	5.61	2.99	3.37
PKIG	17.56	17.99	10.97	8.23
OPLAH	5.49	5.33	2.5	3.28
PDK2	20.44	16.91	10.54	9.61
LHPP	26.87	23.04	13.58	13.51
