WT_1	WT_2	KO_1	KO_2
1110037F02Rik	33.39	27.07	32.69	30.61
1110038B12Rik	194.66	209.77	155.56	160.81
1110038F14Rik	48.55	46.97	34.67	39.64
1110046J04Rik	15.42	19.26	18.83	20.1
1110051M20Rik	13.35	15.63	13.28	13.81
1110058D11Rik	0	0.37	0.2	0.21
1110059E24Rik	36.15	37.2	39.97	37.59
1110059G10Rik	6.07	6.85	6.91	7.37
1110065P20Rik	54	47.57	41.38	46.29
1190002F15Rik	27.26	31.31	18.45	19.66
1190002N15Rik	28.46	23.92	27.65	28.87
1190003K10Rik	0	0	0	0
1190005I06Rik	0	0.21	0	0
1190007I07Rik	4.46	4.66	7.3	5.06
1200014J11Rik	16.68	14.4	16.94	14.76
1300002E11Rik	14	13.89	8.55	11.46
1300017J02Rik	0.15	0.1	0	0
1500004A13Rik	2.18	1.75	2.24	2.08
1500009C09Rik	0	0	0	0
1500009L16Rik	1.72	2.71	1.46	1.96
1500011B03Rik	15	14.71	10.72	11.57
1500011K16Rik	32.62	26.46	23.68	23.3
1500012F01Rik	164.41	158.56	114.68	119.56
1500012K07Rik	0	0	0	0
1500015A07Rik	2.64	2.54	2.36	2.72
1500015L24Rik	0	0	0	0.17
1500015O10Rik	1.19	1.6	1.15	0.15
1500017E21Rik	0.11	0	0.54	0.13
1500026H17Rik	0.04	0	0.04	0.08
1600002D24Rik	0	0	0	0
1600002H07Rik	10.32	10.94	10.7	10.12
1600002K03Rik	30.14	32.86	24.97	23.85
1600010M07Rik	0.59	0.4	1.08	0.22
1600012H06Rik	36.46	34.27	40.66	35.62
1600014C10Rik	20.55	19.12	17.01	18.42
1600014C23Rik	0	0	0.26	0.55
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600019K03Rik	0.27	0	0	0
1600020E01Rik	7.01	7.54	5.29	4.79
1600023N17Rik	0.34	0	0.25	0.26
1600025M17Rik	0	0	0	0
1600027J07Rik	0.26	0.52	0	0
1600029I14Rik	0	0	0	0
1600029O15Rik	0.06	0	0	0
1700001C02Rik	0	0	0	0.19
1700001C19Rik	0	0.09	0.09	0.08
1700001D01Rik	0	0	0	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0	0
1700001G11Rik	1.4	0.31	0.34	0.53
1700001G17Rik	0.13	0.13	0.43	0.6
1700001J03Rik	0	0	0	0
1700001J11Rik	0.09	0	0	0
1700001K19Rik	0.61	0.49	0.53	0.14
1700001K23Rik	0	0	0	0
1700001L05Rik	0.67	0.68	0.99	0.76
1700001L19Rik	0.06	0.06	0	0.14
1700001O22Rik	0.63	0.56	0.43	0.28
1700001P01Rik	0	0.2	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	0	0	0	0
1700003E16Rik	0.81	1.43	0.47	0.92
1700003E24Rik	0	0.25	0	0
1700003F12Rik	7.49	10.68	6.93	4.62
1700003G13Rik	0	0	0	0
1700003G18Rik	0	0	0	0
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	0	0.07	0	0
1700003M07Rik	0.31	0.36	0.25	0.06
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006E09Rik	0	0	0	0
1700006F04Rik	0	0	0	0
1700006H21Rik	0	0	0	0
1700007B14Rik	0.05	0	0.06	0.06
1700007F19Rik	0	0	0	0
1700007G11Rik	0	0.28	0	0
1700007J10Rik	0.42	0.21	0.35	0.49
1700007K09Rik	0.36	0.18	0.39	0.61
1700007K13Rik	0.74	1.48	0.64	0.17
1700007L15Rik	2.39	3.54	1.57	2.53
1700007P06Rik	0	0	0	0.16
1700008C04Rik	0	0	0	0
1700008J07Rik	1.57	2.28	2.13	1.17
1700008K24Rik	0	0	0	0
1700008O03Rik	0.26	0.78	0.28	0.29
1700008P02Rik	0	0	0	0
1700009C05Rik	0	0	0	0
1700009J07Rik	0.13	0	0	0
1700009N14Rik	2.53	2.64	3.45	3.18
1700010B08Rik	0	0	0	0.15
1700010D01Rik	0	0	0	0
1700010I02Rik	0	0	0	0
1700010I14Rik	1.37	1.74	2.79	2.3
1700010J16Rik	0	0	0	0
1700010K23Rik	0	0.27	0	0
1700011A15Rik	0.13	0.26	0.28	0.15
1700011B04Rik	0	0	0	0
1700011C11Rik	0	0	0	0
1700011E24Rik	0	0	0.15	0
1700011H14Rik	0	0	0	0
1700011I03Rik	0	0	0	0
1700011L22Rik	0	0	0	0
1700011M02Rik	0	0	0	0
1700012A03Rik	0	0	0	0
1700012B07Rik	0	0.13	0.14	0
1700012B09Rik	0.18	0	0	0
1700012C14Rik	0	0	0	0
1700012D01Rik	1.9	1.57	1.32	1.37
1700012D14Rik	0.39	0.39	0.63	0.22
1700012D16Rik	0	0	0	0
1700012H19Rik	0	0	0	0
1700012I11Rik	0	0	0	0
1700012L04Rik	0	0	0	0
1700012P22Rik	0	0	0	0
1700013D24Rik	0	0	0	0
1700013F07Rik	0	0.21	0	0
1700013G24Rik	0	0	0	0
1700013H16Rik	0	0	0	0
1700015E13Rik	0	0	0	0
1700015F17Rik	0.34	0	0	0.19
1700015G11Rik	0	0	0	0
1700016C15Rik	0	0	0	0
1700016D06Rik	0	0	0	0
1700016G22Rik	0.21	0	0	0
1700016H13Rik	0	0	0	0.17
1700016K19Rik	0.25	0	0	0.14
1700016L04Rik	0.13	0	0	0
1700016L21Rik	0	0	0	0
1700016P04Rik	0	0	0	0
1700017B05Rik	25.5	26.65	38.68	37.46
1700017D01Rik	0	0	0.1	0
1700017G19Rik	0.05	0	0	0
1700017J07Rik	0	0	0	0
1700017L05Rik	0	0	0.48	0
1700017N19Rik	0.07	0	0.07	0
1700018A04Rik	0	0	0	0.19
1700018B08Rik	0	0	0	0
1700018B24Rik	0	0	0	0
1700018C11Rik	0	0	0	0
1700018F24Rik	0	0	0	0
1700018G05Rik	0	0	0	0
1700018L02Rik	2.58	3.16	2.06	1.23
1700019A02Rik	0	0	0	0
1700019B03Rik	0	0	0	0
1700019B21Rik	0	0	0	0
1700019C18Rik	0	0	0	0
1700019D03Rik	1.13	2.14	2.77	4.01
1700019E08Rik	0	0	0	0
1700019G17Rik	0.82	0.9	0.82	0.69
1700019G24Rik	0	0	0	0
1700019L03Rik	1.85	1.86	1.95	1.64
1700019M22Rik	0	0	0	0
1700019N19Rik	0	0.13	0	0
1700019O17Rik	0	0	0	0
1700020A23Rik	0.71	0.48	0.26	0.27
1700020D05Rik	0.8	1.38	0.62	0.39
1700020D14Rik	0	0	0	0
1700020G17Rik	0	0	0	0
1700020I14Rik	54.87	46.52	50.5	44.18
1700020L24Rik	8.14	8.59	6.97	8.81
1700020M21Rik	0	0	0	0
1700020N01Rik	0	0	0	0
1700020N15Rik	0	0	0	0
1700020N18Rik	0	0	0	0
1700021F05Rik	34.13	46.14	33.69	35.03
1700021F07Rik	0	0	0	0
1700021K19Rik	18.59	17.33	19.53	19.14
1700021N21Rik	0	0	0	0
1700022A21Rik	0	0	0	0
1700022A22Rik	0	0	0	0
1700022E09Rik	0	0	0	0
1700022H01Rik	0.18	0	0.19	0
1700022H16Rik	0	0	0	0
1700022I11Rik	0	0.06	0.03	0
1700023C21Rik	0	0	0	0
1700023F02Rik	0	0	0	0
1700023F06Rik	0	0	0	0
1700024B18Rik	0	0	0	0
1700024F13Rik	0	0.18	0	0
1700024G13Rik	0	0	0	0
1700024I08Rik	0	0	0	0
1700024N05Rik	0	0	0	0
1700024P04Rik	0	0	0	0
1700024P16Rik	5.34	4.33	4.85	3.9
1700025B11Rik	0	0	0	0
1700025C18Rik	0	0	0	0
1700025F22Rik	0	0	0	0
1700025F24Rik	0	0	0	0
1700025G04Rik	5.37	4.41	5.08	3.84
1700025J12Rik	0	0	0	0
1700025K24Rik	0	0	0	0
1700025M24Rik	0	0	0	0
1700025N23Rik	0	0	0	0
1700026D08Rik	0	0.18	0	0
1700026D11Rik	0	0	0	0
1700026F02Rik	0	0	0	0
1700026J14Rik	0	0	0	0
1700026L06Rik	0.36	0.18	0	0.41
1700027A15Rik	0	0	0	0
1700027F06Rik	0	0	0	0
1700027F09Rik	0	0	0	0
1700027H10Rik	0	0	0	0
1700027I24Rik	0	0	0	0
1700027J07Rik	0	0	0	0
1700028B04Rik	0	0	0	0
1700028D13Rik	0	0	0	0
1700028E10Rik	0.11	0	0.13	0
1700028I16Rik	0.11	0.11	0.72	0.37
1700028J19Rik	0.19	0.29	1.05	0.88
1700028K03Rik	0.55	0.37	0.24	0.62
1700028M03Rik	0	0	0	0
1700028P14Rik	0	0	0	0
1700028P15Rik	0	0	0	0
1700029B22Rik	0	0	0	0
1700029F12Rik	0	0	0	0
1700029H14Rik	0.34	0.34	0	0
1700029I15Rik	0.37	0	0.81	1.68
1700029J03Rik	0	0	0	0
1700029J07Rik	0.72	0.97	0.62	0.37
1700029M20Rik	0	0	0	0
1700029N11Rik	0	0	0	0
1700029P11Rik	0	0	0	0
1700030A11Rik	0	0	0	0
1700030C10Rik	3.71	4.48	4.14	4.48
1700030F04Rik	0	0	0	0
1700030F18Rik	0	0.2	0.21	0
1700030J22Rik	0.3	0.37	0.69	0.8
1700030K09Rik	6.84	6.03	6.77	6.62
1700030L20Rik	0	0	0	0
1700030M09Rik	0	0	0	0
1700030N03Rik	0	0	0	0
1700030O20Rik	0	0	0	0
1700031A10Rik	0	0.19	0	0
1700031F05Rik	0	0	0	0
1700031M16Rik	0	0	0	0
1700031P21Rik	0	0	0	0
1700034E13Rik	0.8	0	0.58	0
1700034G24Rik	0	0	0	0
1700034H15Rik	0.06	0.11	0	0.03
1700034I23Rik	0	0	0.1	0.16
1700034J05Rik	0	0	0	0
1700034K08Rik	0	0	0	0
1700034O15Rik	0	0	0	0
1700034P13Rik	1.87	1.98	1.11	1.18
1700036G14Rik	0	0	0	0
1700037C18Rik	2.83	3.18	2.06	2.38
1700037H04Rik	50.77	48.73	40.75	44.04
1700039E15Rik	0	0	0	0
1700039E22Rik	0	0	0	0
1700040L02Rik	0	0	0.2	0
1700041A01Rik	0	0	0	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042G07Rik	0	0	0	0
1700042G15Rik	0	0	0	0
1700042O10Rik	0.11	0.11	0.23	0.12
1700044C05Rik	0	0	0	0
1700044K03Rik	0	0	0	0
1700045H11Rik	0.21	0	0	0
1700046C09Rik	0	0	0	0
1700047A11Rik	0.2	0	0	0
1700047E10Rik	0	0	0	0
1700047G03Rik	0.28	0	0	0
1700047I17Rik2	15.67	17.41	20.11	21.37
1700047L14Rik	0.24	0	0	0
1700047M11Rik	0	0	0	0
1700048M11Rik	0	0	0	0
1700048O20Rik	2.18	1.89	2.64	2.27
1700049E15Rik	0	0	0	0
1700049E22Rik	0	0	0	0
1700049G17Rik	2.84	2.37	2.71	2.37
1700049L16Rik	0	0	0	0
1700051A21Rik	0.08	0	0	0
1700052I22Rik	0	0	0	0
1700052K11Rik	6.07	5.16	5.84	5.24
1700054A03Rik	0	0	0	0
1700054K19Rik	0	0	0	0
1700054M17Rik	0.29	0.29	0.32	0
1700055C04Rik	0	0	0	0
1700056E22Rik	1.8	1.58	1.31	1.23
1700057G04Rik	0	0.11	0	0
1700057H15Rik	0	0	0	0
1700057H21Rik	0	0.5	0.27	0
1700060C16Rik	0	0	0	0
1700060C20Rik	0	0	0	0
1700061F12Rik	0	0	0	0
1700061G19Rik	0.32	0.32	0.44	0.31
1700061I17Rik	0	0	0	0.06
1700061J23Rik	0	0	0	0
1700063A18Rik	0	0	0	0
1700063D05Rik	0	0	0	0
1700063O14Rik	0	0	0	0
1700064J06Rik	0	0	0	0
1700064M15Rik	0	0.19	0	0
1700065D16Rik	0	0	0	0
1700065I16Rik	0	0	0	0
1700065J11Rik	0	0	0	0
1700065J18Rik	0	0	0	0
1700065L07Rik	0	0	0	0
1700065O20Rik	0	0	0	0
1700066B17Rik	0	0	0	0
1700066B19Rik	0.13	0.13	0	0.05
1700066J03Rik	0	0	0	0
1700066M21Rik	7.54	7.31	9.62	8.84
1700066N21Rik	0	0	0	0
1700066O22Rik	0	0	0	0
1700067G17Rik	0	0	0	0
1700067K01Rik	0.32	0.43	0.12	0.48
1700067P10Rik	0	0	0	0
1700069L16Rik	0	0	0	0
1700069P05Rik	0	0	0	0
1700071K01Rik	0	0	0	0
1700071M16Rik	0.05	0	0.15	0
1700072B07Rik	0	0	0	0
1700072I22Rik	0	0	0	0
1700072O05Rik	0	0	0	0
1700073E17Rik	0	0	0	0
1700074H08Rik	0	0	0	0
1700074P13Rik	0	0.07	0	0
1700080E11Rik	0	0	0	0
1700080N15Rik	0	0	0	0
1700080O16Rik	0	0	0	0
1700081H04Rik	0.1	0	0	0
1700084C01Rik	0.08	0.08	0	0
1700084D21Rik	0	0	0	0
1700084E18Rik	0.89	0.3	1.63	0.68
1700084F23Rik	0	0	0	0
1700084J12Rik	0	0	0.18	0
1700084M14Rik	0	0	0	0
1700085C21Rik	0	0	0	0
1700086L19Rik	1.15	0.75	0.94	0.49
1700086O06Rik	2.69	3.32	2.36	2.47
1700088E04Rik	1.09	1.85	1.4	1.2
1700091H14Rik	0	0	0	0
1700092C02Rik	0	0	0	0
1700092C10Rik	0	0	0	0
1700092E19Rik	0	0	0	0
1700092K14Rik	0.33	0	0	0
1700092M07Rik	0.7	1.06	1.91	0.8
1700093K21Rik	0	0	0.13	0
1700094D03Rik	1.14	1.18	1.51	1.17
1700094J05Rik	0	0	0	0
1700094M24Rik	0	0	0	0
1700095A21Rik	0	0	0	0
1700095B10Rik	0	0	0	0
1700095J12Rik	0	0	0	0
1700096J18Rik	0	0	0	0
1700096K18Rik	1.25	1.81	2.04	1.68
1700096P03Rik	0	0	0	0
1700097N02Rik	0	0	0	0.32
1700099I09Rik	0	0.18	0.42	0.21
1700100I10Rik	0.14	0	0	0
1700100L14Rik	0	0	0	0
1700101E01Rik	0.13	0.13	0.14	0.14
1700101I11Rik	0.44	0.3	0.8	0.67
1700101O22Rik	0	0	0	0
1700102H20Rik	0	0	0	0
1700102P08Rik	0.73	0.85	0.8	0.24
1700104L18Rik	0	0	0	0
1700105P06Rik	0.89	0.68	0	0
1700106J16Rik	0	0	0	0
1700108F19Rik	0	0.14	0.3	0
1700108J01Rik	0	0	0	0
1700109G14Rik	0	0	0	0
1700109G15Rik	0	0	0	0
1700109H08Rik	1.03	0.35	0.58	0.2
1700109I08Rik	0	0	0	0
1700109K24Rik	2.01	1.6	3.34	2.04
1700110C19Rik	0	0	0	0
1700110I01Rik	0	0	0.07	0
1700110I07Rik	0	0	0	0
1700110K17Rik	0	0	0.19	0.19
1700111N16Rik	0	0	0	0
1700112E06Rik	10.13	9.19	9.24	6.4
1700112H15Rik	0	0	0	0
1700112J05Rik	0.15	0	0	0
1700112J16Rik	0.37	0.38	0.52	0.11
1700113A16Rik	10.51	7.27	7.73	9.91
1700113B09Rik	0	0	0	0
1700113H08Rik	0	0	0	0
1700116B05Rik	0	0	0	0
1700119H24Rik	0	0.21	0	0
1700120C14Rik	1.44	1.5	0.79	2.48
1700120E14Rik	0	0	0	0
1700120G07Rik	0	0	0	0
1700120K04Rik	1.37	0.92	0.75	1.3
1700121L16Rik	0	0	0	0
1700121N20Rik	0	0	0	0
1700122C19Rik	0	0	0	0
1700122O11Rik	0	0	0	0
1700123I01Rik	0	0	0.15	0
1700123J17Rik	0	0	0	0
1700123K08Rik	0	0	0	0
1700123L14Rik	0	0	0	0
1700123M08Rik	1.51	1.75	1.42	0.49
1700123O12Rik	0	0	0	0
1700123O20Rik	30.16	30.98	34.18	37.86
1700123O21Rik	0	0	0	0
1700124L16Rik	0.39	0	0.43	0
1700125G02Rik	0	0	0	0.27
1700125G22Rik	0	0	0	0
1700125H03Rik	1.57	2.01	2.01	1.93
1700125H20Rik	0.12	0.12	0.26	0
1700126H18Rik	0	0	0	0
1700128A07Rik	0	0	0	0
1700128F08Rik	0	0	0	0
1700129C05Rik	0	0	0	0
1810006J02Rik	0	0	0.07	0
1810007C17Rik	0	0	0	0
1810007D17Rik	0.16	0	0	0
1810008I18Rik	0	0	0	0.39
1810009A15Rik	66.73	82.33	104.08	122.73
1810009J06Rik	0	0	0	0
1810010D01Rik	0.5	0.75	0.14	0.28
1810010H24Rik	0.52	1.59	0.8	1.07
1810011H11Rik	0.61	0.93	0.25	0.7
1810011O10Rik	4.53	5.34	6.34	7.46
1810012K16Rik	0	0.46	0	0
1810013A23Rik	0	0	0	0
1810013L24Rik	32.28	29.38	37.07	33.67
1810014B01Rik	1.67	1.82	1.44	1.34
1810018F18Rik	0	0	0	0
1810019D21Rik	0.52	0.75	0.27	0.25
1810020O05Rik	0	0	0	0.13
1810021B22Rik	1.11	2.05	1.41	0.84
1810022K09Rik	84.72	105.05	146.21	150.51
1810024B03Rik	0.27	0.18	0	0.2
1810026B05Rik	4.73	4.18	3.1	3.05
1810026J23Rik	32.75	29.9	30.87	30.14
1810030O07Rik	31.79	30	37.7	35.1
1810032O08Rik	26.76	30.36	19.92	24.19
1810034E14Rik	2.3	2.51	2.51	2.33
1810037I17Rik	128.04	117.68	92.73	88.7
1810041H14Rik	0.48	0.48	0.52	0.54
1810041L15Rik	0.09	0.09	0.2	0.17
1810043G02Rik	11.71	13.35	11.41	10.59
1810043H04Rik	54.19	56.24	37.94	37.12
1810044D09Rik	2.35	2.89	2.56	2.37
1810046K07Rik	0	0	0	0
1810053B23Rik	0	0	0	0
1810055G02Rik	30.16	32.47	63.62	66.27
1810058I24Rik	95.87	112.65	79.99	79.02
1810062G17Rik	1.54	1.04	1.54	1.31
1810062O18Rik	1.22	0.35	0	0.54
1810063I02Rik	0	0	0	0
1810064F22Rik	0	0	0	0.16
1810065E05Rik	0	0.13	0	0
2010001A14Rik	3.42	3.45	2.72	3.35
2010001E11Rik	0.05	0	0.11	0.11
2010003K11Rik	0.1	0.1	0	0
2010005H15Rik	0.24	0.24	0.36	0.27
2010009K17Rik	0	0	0.24	0
2010010A06Rik	0	0	0	0
2010012O05Rik	8.83	10.3	9.7	8.11
2010016I18Rik	0	0.13	0.08	0.18
2010106C02Rik	0	0	0	0
2010106E10Rik	0	0	0.1	0
2010107E04Rik	378.97	356.39	250.5	238.23
2010107G12Rik	0.05	0.16	0.06	0.06
2010107G23Rik	0.13	0.26	0.64	0.15
2010109A12Rik	0	0	0	0.51
2010109I03Rik	0.18	0.06	0	0.13
2010111I01Rik	20.47	22	23.11	20.75
2010204K13Rik	4.07	4.11	5.43	2.82
2010300C02Rik	0.13	0.05	0.27	0.11
2010308F09Rik	0.54	0	0	0
2010310C07Rik	0	0.14	0.3	0.47
2010315B03Rik	8.25	8.46	8.36	8.33
2010320M18Rik	14.4	13.56	9.95	11.8
2200002D01Rik	11.9	13.26	10.28	14.07
2200002J24Rik	0	0	0	0
2210010C04Rik	0	0	0	0
2210011C24Rik	0.13	0.13	0.14	0.15
2210013O21Rik	61.08	58.18	48.24	49.84
2210015D19Rik	6.94	7.64	5.95	6.6
2210016F16Rik	42.1	40.12	31.84	34.78
2210016L21Rik	46	47.98	46.44	42.71
2210018M11Rik	11.63	12.37	19	15.58
2210019I11Rik	0	0	0	0
2210039B01Rik	0.67	0.45	0.36	0.38
2210404E10Rik	0	0	0	0
2210404O09Rik	3.5	4.81	5.07	3.99
2210406O10Rik	0.11	0.46	0.12	0.26
2210407C18Rik	0	0	0	0
2210408F21Rik	8.81	8.66	7.11	7.81
2210408I21Rik	2.83	2.99	5.71	3.91
2210409D07Rik	0	0	0.31	0
2210409E12Rik	0	0	0	0
2210414B05Rik	0	0	0	0
2210416O15Rik	0.31	0.23	0.17	0
2210417A02Rik	0	0	0	0
2210420H20Rik	0	0	0	0
2300002M23Rik	0	0	0	0
2300003K06Rik	0	0	0	0
2300005B03Rik	0	0.28	0	0
2300009A05Rik	7.78	7.03	7.6	8.37
2310001H17Rik	3.31	4.68	5.79	3.57
2310001K24Rik	1.15	0.88	0.91	0.33
2310002D06Rik	0	0	0	0
2310002F09Rik	0.04	0	0.14	0
2310002L09Rik	0	0	0	0
2310003N18Rik	0	0	0	0
2310005A03Rik	0	0	0	0
2310005E17Rik	0	0	0	0
2310007B03Rik	0.24	0.15	0.32	0.33
2310008N11Rik	0.44	0	0	0
2310009A05Rik	25.68	27.73	26.07	28.56
2310009B15Rik	22.9	18.96	17.92	16.91
2310010G23Rik	0.89	1.01	1.94	0.63
2310010J17Rik	2.11	3.55	2.31	2
2310011J03Rik	45.57	47.08	37.76	43.56
2310015A10Rik	1.66	1.95	2.11	1.45
2310015D24Rik	0	0	0	0
2310016D03Rik	0	0	0	0
2310020H05Rik	0	0	0	0
2310022A10Rik	11.4	13.05	14.58	15.21
2310022B05Rik	188.81	166.99	149.51	139.5
2310030A07Rik	0	0	0.22	0
2310030G06Rik	1.1	1.21	2.81	1.46
2310033P09Rik	21.71	29.14	18.97	21.08
2310034C09Rik	0	0	0	0
2310034G01Rik	1.8	1.67	0.49	0.17
2310034O05Rik	0	0	0	0
2310035C23Rik	16.87	13.86	17.02	14.93
2310036O22Rik	258.63	280.2	212.09	236.87
2310039H08Rik	18.73	20.46	16.76	18.47
2310039L15Rik	0	0	0	0
2310040G24Rik	0.77	0.77	1.23	1.28
2310043L19Rik	0.34	0	0.38	0
2310043O21Rik	0	0	0	0
2310045N01Rik	22.48	26.26	27.65	25.44
2310045n01rik-mef2b	0	0	0	0
2310047M10Rik	23.23	25.45	18.57	15.79
2310050C09Rik	0	0	0	0
2310057J18Rik	0	0	0	0
2310057M21Rik	9.63	10.63	13.19	10.41
2310057N15Rik	0	0	0	0
2310061I04Rik	19.24	18.3	19.89	23.5
2310061N02Rik	0	0	0	0
2310065F04Rik	0	0	0	0
2310067B10Rik	13.1	12.81	13.64	11.6
2310068J16Rik	1	1.34	0.62	1.4
2310069B03Rik	0	0.06	0.27	0.55
2310069G16Rik	0	0.14	0	0
2310075C17Rik	0	0	0	0
2310079G19Rik	0	0	0	0
2310081J21Rik	0.69	2.55	0.5	0
2400006E01Rik	0	0	0	0
2410002F23Rik	35.44	33.66	43.89	43.33
2410003L11Rik	0	0.2	0	0.23
2410004B18Rik	41.1	37.39	34.71	38.66
2410004I01Rik	0	0	0	0
2410004P03Rik	0.13	0.39	0.14	0
2410006H16Rik	275.48	318.33	269.47	285.18
2410012E07Rik	0	0	0	0
2410015M20Rik	128.94	127.41	103.91	125.9
2410016O06Rik	16.44	14.97	14.54	13.67
2410017I17Rik	0.07	0	0	0.08
2410018L13Rik	4.16	2.96	3.46	2.48
2410021H03Rik	0.47	0.63	1.19	0.18
2410089E03Rik	13.76	11.54	13.82	11.21
2410124H12Rik	0	0	0	0
2410127L17Rik	40.17	34.53	46.27	41.53
2410131K14Rik	14.63	13.43	12.99	12.76
2410137M14Rik	0.14	0	0	0
2410141K09Rik	0	0	0	0
2500002B13Rik	1.32	1.93	2.1	1.5
2500004C02Rik	1.47	1.43	1.67	1.74
2510002D24Rik	14.46	13.38	9.51	10.31
2510003B16Rik	0.94	0.26	1.1	0
2510009E07Rik	19.08	17.98	18.52	16.96
2510039O18Rik	67.82	56.9	56.87	60.77
2610001J05Rik	32.77	35.83	39.09	35.92
2610002M06Rik	7.56	7.7	9.89	8.7
2610005L07Rik	25.6	21.81	27.02	26.28
2610008E11Rik	16.97	16.86	14.01	13.8
2610015P09Rik	4.06	4.73	4.4	3.72
2610016A17Rik	1.07	1.9	0.29	1.22
2610020C07Rik	1.65	1.24	1.48	1.55
2610020H08Rik	6.17	5.3	5.17	4.36
2610027K06Rik	0.05	0.05	0.06	0.11
2610028E06Rik	0.06	0	0	0
2610028H24Rik	0	0	0	0
2610035D17Rik	3.75	3.48	3.43	2.75
2610035F20Rik	0	0	0	0
2610037D02Rik	0	0.03	0	0
2610042L04Rik	0.11	0.3	0.17	0.31
2610044O15Rik8	8.89	8.02	6.4	6.08
2610100L16Rik	0	0	0	0
2610203C22Rik	0.64	0.37	1.1	0.83
2610206C17Rik	0	0	0.14	0.22
2610301B20Rik	16.43	16.37	17.02	16.68
2610305D13Rik	3.12	3.93	4.22	4.11
2610306M01Rik	6.04	4.85	4.15	4.44
2610307P16Rik	0.23	0.49	0.39	0.25
2610316D01Rik	0.25	0.13	0	0.14
2610318N02Rik	0.18	0.36	0.2	0.51
2610507B11Rik	69.2	58.31	72.59	66.33
2610507I01Rik	4.66	5.55	4.14	4.52
2610524H06Rik	31.18	32.21	27.57	24.89
2610528A11Rik	0.63	0	0.34	0.18
2610528J11Rik	0	0	0	0
2700029M09Rik	40.26	39.26	40.35	45.57
2700038G22Rik	3.19	3.65	4.68	4.29
2700046A07Rik	0	0	0	0.06
2700046G09Rik	1.58	2.28	1.57	1.79
2700049A03Rik	4.98	4.04	5.69	4.65
2700054A10Rik	0.26	0.18	0.17	0.32
2700060E02Rik	148.31	172.6	170.04	175.58
2700062C07Rik	19.72	22.73	20.18	18.05
2700069I18Rik	3.79	3.52	3.31	1.89
2700070H01Rik	0.58	0.45	0.07	0.73
2700081O15Rik	22.16	22.25	23.02	21.88
2700089I24Rik	0.18	0.25	0.8	0.21
2700094K13Rik	158.37	171.53	119.36	140.32
2700097O09Rik	7.18	6.07	7.24	5.65
2700099C18Rik	11.94	10.84	10.99	8
2810001G20Rik	20.64	17.55	11.19	12.22
2810002D19Rik	7.32	5.85	7.4	7.26
2810004N23Rik	52.6	54.9	64.21	70.94
2810006K23Rik	10.67	11.51	9.99	10.46
2810013P06Rik	5.82	4.38	6.71	6.54
2810021J22Rik	3.39	2.47	2.63	2.88
2810025M15Rik	28.76	27.46	25.14	29.87
2810029C07Rik	0.86	0.75	0.44	0.58
2810032G03Rik	2.18	2.74	2.28	2.88
2810047C21Rik1	3.39	2.99	3.28	4.23
2810049E08Rik	0	0	0	0
