	Cont_1	Cont_2	SFN_1	SFN_2	NRF2KO-SFN_1	NRF2KO-SFN_2
ACSS3	50	61	67	38	33	50
ACTA1	1	0	0	5	3	3
ACTA2	167	172	278	248.96	170	161
ACTA2-AS1	0	0	0	3.04	0	0
ACTB	73820	72669	99306	77151	79976	72825
ACTBL2	78	83	41	28	24	14
ACTC1	4	7	3	5	2	1
ACTG1	101653	99667	136971	109816	97895	92937
ACTG1P17	0	5	2	2	4	1
ACTG1P20	77	56	66	57	48	51
ACTG1P4	4	17	13	18	12	5
ACTG2	253	276	333	219	120	104
ACTL10	14	23	43	27	25	23
ACTL6A	2091	1916	2407	1980	1837	1817
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	2	0	0	0
ACTL7B	0	0	1	0	0	0
ACTL8	0	0	1	0	0	0
ACTL9	0	0	0	0	0	0
ACTN1	27645	26192	42115	34593	29521	28803
ACTN1-AS1	0	0	0	0	0	0
ACTN2	0	2	2	0	0	0
ACTN3	0	0	0	0	2	0
ACTN4	25530.35	23735.46	33846.66	27737.67	25145.69	25122.78
ACTR10	2446	2332	2909	2226	1671	1700
ACTR1A	3801	3841	5160	3984	3815	3665
ACTR1B	566	492	402	264	363	364
ACTR2	14521	13759	16740	14390	12256	12080
ACTR3	9311	9476	11739	9547	7167	6861
ACTR3B	144.98	99.9	147.92	103	117.86	120.97
ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0
ACTR3C	2.02	6.1	7.08	2	3.14	1.03
ACTR5	366	338	338	234	274	243
ACTR6	616	499	635	547	395	438
ACTR8	395	393	421	288	316	329
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	125	65	128	105	64	73
ACVR1	592	573	1131	846	603	530
ACVR1B	542	476	693	629	461	509
ACVR1C	76	85	57	41	64	65
ACVR2A	92.39	125.72	166.36	131	146.88	119.94
ACVR2B	52	40	30	26	34	47
ACVR2B-AS1	0	0	4	0	3	0
ACVRL1	1	8	4	2	0	0
ACY1	287	252.13	363.77	284	316	264
ACY3	0	0	0	0	0	0
ACYP1	288	284	253	188	172	183
ACYP2	82	60	131	83	80	71
ADA	353	368	297	212	225	228
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	291.43	303.45	191	165	161.97	173.33
ADAM10	2077	2156	2298	1810	1815	1780
ADAM11	19	32	29	25	38	33
ADAM12	424	381	445	422	259	294
ADAM15	2487	2328	3278	2534	2018	1962
ADAM17	1424	1260	2324	1889	1426	1382
ADAM18	0	0	0	0	0	0
ADAM19	2178	2027	2949	2415	2577	2422
ADAM1A	96	95	123	87	75	104
ADAM2	0	0	0	0	0	0
ADAM20	5	0	1	3	4	1
ADAM20P1	6	8	15	18	10	7
ADAM21	20	40	68	29	30	34
ADAM21P1	0	0	0	0	0	0
ADAM22	181	185	102	59	123	126
ADAM23	10	10	26	23	11	4
ADAM28	0	0	4	0	0	0
ADAM29	1	0	0	0	0	0
ADAM30	0	1	0	0	0	0
ADAM32	43	23	27	32	13	15
ADAM33	0	0	0	0	0	1
ADAM3A	0	0	0	0	0	0
ADAM5	4	0	0	1	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	396	417	384	307	197	195
ADAM9	17712	17009	21762	18024	15452	14950
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	14250	14122	15575	12849	6882	6220
ADAMTS10	0	0	0	0	0	0
ADAMTS12	703	629	727	613	569	480
ADAMTS13	36	31	70	41	33	49
ADAMTS14	13	4	8	9	3	8
ADAMTS15	21	28	4	4	13	8
ADAMTS16	190	214	176	164	135	137
ADAMTS17	16	8	8	4	3	3
ADAMTS18	0	3	3	1	0	0
ADAMTS19	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	0	0	0	0	0	0
ADAMTS20	0	0	0	0	0	0
ADAMTS3	137	201	151	86	114	80
ADAMTS4	0	0	2	1	1	1
ADAMTS5	587	594	325	292	495	379
ADAMTS6	1181	1089	1021	809	721	688
ADAMTS7	230	272	269	220	174	175
ADAMTS7P1	0	0	1	0	0	0
ADAMTS8	0	0	5	3	2	0
ADAMTS9	0	0	0	0	0	0
ADAMTS9-AS1	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0
ADAMTSL1	1702	1587	2126	1629	1445	1463
ADAMTSL2	0	0	0	1	1	0
ADAMTSL3	192	182	167	135	153	155
ADAMTSL4	252	217	284	262	266	312
ADAMTSL4-AS1	2	1	1	0	7	5
ADAMTSL5	155	107	163	138	117	108
ADAP1	8	0	12	3	1	2
ADAP2	3	3	8	9	5	3
ADAR	5442	5522	6032	4750	4974	5010
ADARB1	254	306	268	190	189	192
ADARB2	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0
ADAT1	574	602	466	371	395	362
ADAT2	327	324	316	302	239	242
ADAT3	203	237	266	235	281	232
ADCK1	115	172	198	151	152	166
ADCK2	659	624	736	559	594	529
ADCK3	461	428	375	281	276	280
ADCK4	271	300	230	171	197	225
ADCK5	244	322	277	216	225	227
ADCY1	17	28	23	23	26	11
ADCY10	2	4	2	4	1	2
ADCY10P1	12	23	28	20	8	15
ADCY2	0	0	0	0	0	0
ADCY3	970.1	1031.64	1087.61	856.91	910.7	933.34
ADCY4	0	3	0	0	2	0
ADCY5	7	13	17	13	7	6
ADCY6	1136	1259	1374	1159	965	1055
ADCY7	573	576	615	523	394	332
ADCY8	0	0	4	1	0	0
ADCY9	891	692	774	597	624	608
ADCYAP1	0	0	1	0	0	0
ADCYAP1R1	0	0	1	0	4	0
ADD1	5724	5980	8293	6596	6272	6132
ADD2	0	0	0	0	0	1
ADD3	631	672	503	381	363	348
ADD3-AS1	0	0	0	2	1	0
ADGB	0	0	0	0	0	1
ADGRA1	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	9	17	15	15	8	13
ADGRA3	766	882	733	589	754	735
ADGRB1	42	19	27	30	16	19
ADGRB2	101	53	54	46	56	40
ADGRB3	46	83	73	64	45	38
ADGRD1	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0
ADGRE2	0	0	0	0	0	0
ADGRE3	0	0	0	0	0	0
ADGRE4P	0	0	0	4	2	0
ADGRE5	2040	1994	1999	1533	1379	1249
ADGRF1	15	41	29	20	7	6
ADGRF2	0	2	0	1	0	0
ADGRF3	2	13	10	7	5	5
ADGRF4	38	33	13	22	8	9
ADGRF5	0	3	0	0	1	1
ADGRG1	1220	1285	1322	951	1366	1365
ADGRG2	2	3	4	1	3	1
ADGRG3	0	1	0	1	0	0
ADGRG4	6	0	4	2	1	0
ADGRG5	0	1	0	1	0	0
ADGRG6	4591	4534	5707	4755	4165	4065
ADGRG7	0	0	0	0	0	0
ADGRL1	515	476	438	407	505	478
ADGRL2	2156	2036	2615	2061	1633	1717
ADGRL3	1	4	5	7	3	5
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	70	52	70	57	14	20
ADGRV1	7	6	7	5	7	5
ADH1A	0	1	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	1	0	0	1
ADH4	0	0	0	0	1	0
ADH5	3542	3572	4108	3017	2727	2618
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	10	6	8	7	9	7
ADI1	2262	1950	2540	2310	2185	2244
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	1363	1389	2146	1731	1326	1301
ADIPOR2	2027	1952	2507	1994	1863	1918
ADIRF	157	153	176	137	88	98
ADK	2878	2907	3296	2518	2135	2019
ADM	399	447	811	700	386	415
ADM2	47	41	223	122	51	58
ADM5	56	77	141	99	99	108
ADNP	2167	2095	2174	1575	1830	1699
ADNP-AS1	19	14	24	21	19	20
ADNP2	715	734	935	757	675	651
ADO	735	754	934	805	778	741
ADORA1	289	268	205	173	332	381
ADORA2A	41.24	29.59	42	56.06	40	55
ADORA2A-AS1	4	1	6	4	10	3
ADORA2B	989	747	877	665	658	636
ADORA3	0	0	0	0	0	0
ADPGK	1185.85	1141	1548.55	1132.55	1004.4	886.46
ADPGK-AS1	9.15	0	5.45	17.45	7.6	3.54
ADPRH	85	71	61	54	46	56
ADPRHL1	22	19	29	21	10	20
ADPRHL2	876	769	1065	751	736	666
ADPRM	125	89	86	94	57	80
ADRA1A	0	0	0	0	0	0
ADRA1B	16	39	19	13	18	8
ADRA1D	0	3	0	0	0	4
ADRA2A	0	0	0	2	1	0
ADRA2B	0	0	0	0	0	1
ADRA2C	21	3	10	7	8	9
ADRB1	6	2	2	5	7	6
ADRB2	148	187	201	148	106	100
ADRB3	0	0	0	0	0	0
ADRBK1	923	1004	1507	1126	1220	1234
ADRBK2	2	3	4	4	4	3
ADRM1	3934	3872	5959	4678	3913	3920
ADSL	1838	1767	1618	1334	1285	1260
ADSS	1877	1691	1830	1468	1280	1203
ADSSL1	13	7	16	6	11	6
ADTRP	126	102	124	65	31	38
AEBP1	7	12	0	4	8	8
AEBP2	961	906	990	809	834	778
AEN	2169	2110	3105	2332	2020	2032
AES	7597	6905	10247	7516	7913	7544
AFAP1	4346.97	4432.88	4736.99	3942.97	4603.97	4327.97
AFAP1-AS1	46.01	58	57	39.03	68	53.01
AFAP1L1	309	323	202	171	124	129
AFAP1L2	105	74	39	27	29	38
AFF1	1814	1805	2203	2028	1479	1469
AFF2	0	0	0	0	0	0
AFF3	223	255	180	167	195	200
AFF4	5988	6038	7910	6584	5463	5278
AFG3L1P	403	386	430	328	327	367
AFG3L2	959.59	853.18	1014.92	704.07	773.4	712.64
AFM	0	0	0	0	0	0
AFMID	229	243	221	177	208	193
AFP	15	1	14	18	5	3
AFTPH	623	656	793	689	541	516
AGA	351	325	365	292	232	230
AGAP1	747	748	843	687	842	794
AGAP1-IT1	8	6	0	4	3	0
AGAP11	20	23.02	16.05	32.07	14.06	15.01
AGAP2	2	3	2	2.08	4.07	5
AGAP2-AS1	368	296	343	222.92	224.93	195
AGAP3	1036	1068	1176	939	1108	1135
AGAP4	322.53	292.87	400.12	277.22	263.7	268.78
AGAP5	121	89.36	102.25	115.58	115.24	106.93
AGAP6	456.96	497.4	762.24	584.86	540.28	508.55
AGAP7P	34.85	17.36	22.5	19.31	16.88	24.8
AGAP9	183.64	215.3	255.27	190.98	149.67	195.12
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	17	12	14	6	6	8
AGBL3	1	9	3	0	5	0
AGBL4	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	768	733	899	671	691	657
AGBL5-AS1	0	0	0	0	0	1
AGER	68	62	69	71	63	74
AGFG1	1876	2091	2293	1792	1822	1768
AGFG2	491	586	423	320	333	326
AGGF1	1061	1011	1126	840	794	783
AGK	833	830	926	773	757	644
AGL	630	606	458	341	368	421
AGMAT	2	1	3	2	4	8
AGMO	0	0	0	0	0	0
AGO1	1028	987	865	786	906	890
AGO2	1265	1274	1950	1926	1809	1615
AGO3	321	371	482	450	418	376
AGO4	292	236	305	312	265	296
AGPAT1	1355	1455	2142	1547	1408	1404
AGPAT2	1058	958	1433	1111	1049	1053
AGPAT3	1893	1860	2487	1829	2025	1927
AGPAT4	452	379	490	378	418	424
AGPAT4-IT1	58	43	93	59	49	65
AGPAT5	2071	2239	2189	1772	1729	1640
AGPAT6	3509	3046	4371	3521	2875	2996
AGPAT9	303	343	627	527	156	189
AGPS	2065	2080	1969	1414	1404	1426
AGR2	0	0	2	0	0	2
AGR3	0	0	0	0	0	0
AGRN	13617	13387	17425	13644	15104	14708
AGRP	0	0	0	0	0	0
AGT	0	0	0	0	1	0
AGTPBP1	704	714	524	474	371	351
AGTR1	0	0	2	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	457	443	685	488	350	410
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	3265.29	3347.95	4112.56	3626.17	2954.01	2848.45
AHCTF1P1	19.71	33.05	35.44	21.83	11.99	18.55
AHCY	7964	8040	10245	8056	7358	7075
AHCYL1	2916	2862	2950	2463	2269	2307
AHCYL2	372	359	416	361	273	270
AHDC1	670	572	801	631	640	591
AHI1	672	639	551	541	433	493
AHNAK	34499	35197	40509	35085	37023	36019
AHNAK2	2247	2501	2362	1722	1606	1602
AHR	1029	1254	1380	1090	973	844
AHRR	514	553	608	466	519	475
AHSA1	6415	5855	13748	11007	7178	7058
AHSA2	934	715	756	580	538	599
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	2740	2798	3769	3164	2478	2273
AIF1	0	3	0	0	0	0
AIF1L	30	29	17	23	26	24
AIFM1	1109	1134	1457	1096	970	910
AIFM2	171	179	250	165	100	114
AIFM3	6	0	4	1	2	3
AIG1	251	200	305	246	199	192
AIM1	637	710	416	353	451	478
AIM1L	5	5	2	0	2	1
AIM2	0	0	0	0	0	0
AIMP1	1059.69	1078.58	1408.3	1140.06	946.17	941.59
AIMP2	623.3	602.54	855.62	629.83	545.93	588.81
AIP	983	933	1147	964	905	832
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
AIRN	0	2	7	2	0	1
AJAP1	0	0	0	0	0	0
AJUBA	4554	4641	4561	3496	3542	3518
AK1	1089	953	1227	943	858	862
AK2	3983	3676	4276	3419	3312	3289
AK3	819	685	825	741	615	606
AK4	995	1039	1123	867	737	719
AK5	941	945	1020	747	429	373
AK6	854.04	702.99	1070.1	876.35	664.68	630.96
AK7	0	1	0	0	0	0
AK8	12	7	9	3	7	16
AK9	99	67	83	71	59	63
AKAP1	1590	1559	1240	936	1061	1082
AKAP10	672	648	966	811	711	700
AKAP11	2477	2759	2479	2258	1885	1876
AKAP12	4740	4912	6643	5465	4336	3895
AKAP13	2106	2314	2620	2133	2100	2080
AKAP14	0	0	0	0	0	0
AKAP17A	695	619	1112	846	668	772
AKAP2	9813.36	9628	13757	11553	9056.15	8606.9
AKAP3	0	20	16	23	13	9
AKAP4	0	0	0	0	0	0
AKAP5	156	133	66	54	57	76
AKAP6	69	75	82	72	44	43
AKAP7	68	62	47	48	36	36
AKAP8	1488	1267	1909	1686	1476	1581
AKAP8L	1455	1349	2964	2249	1954	2018
AKAP9	1431	1629	1813	1523	1509	1416
AKIP1	580	569	574	506	486	471
AKIRIN1	2180	2246	3197	2561	1933	1859
AKIRIN2	850	967	1475	1343	945	945
AKNA	272	252	208	168	230	231
AKNAD1	12	6	7	4	3	2
AKR1A1	1026	968	1061	860	691	658
AKR1B1	3091	2860	3848	3309	1630	1540
AKR1B10	17	18	22	11	6	4
AKR1B15	0	5	0	0	0	0
AKR1C1	1	3	2.88	1	0	1
AKR1C2	6	0	1.12	0	0	1
AKR1C3	0	0	1	0	1	0
AKR1C4	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
AKR1C8P	0	0	0	2	0	0
AKR1D1	3	0	0	0	0	0
AKR1E2	0	3	0	2	3	0
AKR7A2	969	878	1029	710	885	773
AKR7A2P1	6	3	9	7	3	9
AKR7A3	13	4	9	9	9	7
AKR7L	12	8	10	11	0	5
AKT1	2072	1928	2572	2240	2237	2247
AKT1S1	2175	2107	3489	2887	2610	2518
AKT2	3088	2991	3860	3270	3308	3171
AKT3	1451.74	1547.44	1945.44	1627.53	1563.83	1504.26
AKTIP	400.48	374.04	383.56	319.36	238.26	213.04
ALAD	602	589	636	491	512	512
ALAS1	861	888	980	711	640	569
ALAS2	0	0	0	0	0	0
ALB	8	1	12	11	8	5
ALCAM	12033	12309	12935	10694	9748	9553
ALDH16A1	811	844	872	768	732	789
ALDH18A1	1962	2169	2264	1729	1598	1514
ALDH1A1	0	0	0	0	0	0
ALDH1A2	0	0	0	0	0	0
ALDH1A3	13475	12607	11898	10099	8311	7750
ALDH1B1	2873	2802	2685	2217	1899	1882
ALDH1L1	4	12	11	9	14	9
ALDH1L1-AS1	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	1	1
ALDH1L2	28	24	12	24	26	25
ALDH2	33	16	17	20	13	15
ALDH3A1	0	0	0	2	0	2
ALDH3A2	818	771	1135	795	403	432
ALDH3B1	300	254	294	240	317	273
ALDH3B2	3	0	0	0	0	0
ALDH4A1	508	547	633	481	545	459
ALDH5A1	23	31	18	17	12	20
ALDH6A1	231	309.65	454	359	382	382
ALDH7A1	1532	1394	1513	1181	991	1008
ALDH8A1	4	8	15	8	3	4
ALDH9A1	1625	1503	1911	1620	1228	1113
ALDOA	20087	19584	30534	24668	20965	20574
ALDOB	0	0	2	1	3	0
ALDOC	168	147	200	145	146	164
ALG1	743.98	811.65	970.42	713.58	780.26	791.96
ALG10	286	249	252	222	191	211
ALG10B	556	654	593	471	452	506
ALG11	296.3	336.69	426.56	411.09	313.41	307.88
ALG12	377	455	662	538	473	459
ALG13	616	577	661	542	485	468
ALG14	164	167	235	213	169	179
ALG1L	1	0	0	0	0	0
ALG1L2	0	0	0	0	0	0
ALG1L9P	5	11	3	5	1	7
ALG2	908	983	1063	880	671	684
ALG3	989	832	1428	1164	896	876
ALG5	772	662	934	713	652	585
ALG6	289	259	265	222	181	165
ALG8	809	790	1009	704	617	566
ALG9	362	456	442	310	303	337
ALK	7	3	1	2	3	4
ALKBH1	797	759	1058	881	646	619
ALKBH2	417	437	376	303	286	289
ALKBH3	414	377	451	386	347	369
ALKBH3-AS1	3	2	2	0	3	1
ALKBH4	225.63	239.94	285.88	209.53	212.52	218.35
ALKBH5	2487	2508	3255	2650	2649	2492
ALKBH6	237	342	347	264	230	197
ALKBH7	646	532	733	548	682	643
ALKBH8	394	387	364	315	276	270
ALLC	0	0	0	0	1	0
ALMS1	692	760	532	483	577	545
ALMS1-IT1	7	8	11	3	9	6
ALMS1P	0	0	0	0	0	0
ALOX12	2	3	1	0	2	2
ALOX12-AS1	5	3	3	3	3	3
ALOX12B	1	1	3	3	2	0
ALOX12P2	0	0	0	0	0	0
ALOX15	0	0	3	1	0	0
ALOX15B	0	1	0	0	0	0
ALOX15P1	0	0	0	0	0	0
ALOX5	0	5	1	0	0	1
ALOX5AP	8	1	1	1	4	5
ALOXE3	7	14	17	9	5	3
ALPI	0	0	0	0	2	0
ALPK1	278	236	337	287	246	257
ALPK2	182	190	128	135	106	114
ALPK3	1168	1146	1109	835	845	844
ALPL	5	15	32	15	6	8
ALPP	4	15	2	0	7	5
ALPPL2	0	0	1	1	0	0
ALS2	2756	2653	3628	2930	2600	2714
ALS2CL	105	99	100	102	41	37
ALS2CR11	5	3	11	7	3	6
ALS2CR12	5	4	0	1	0	4
ALX1	64	43	23	25	16	16
ALX3	7	12	16	10	12	9
ALX4	0	0	2	2	1	2
ALYREF	3146	2786	3744	3038	4080	4018
AMACR	266	285	289	223	224.92	196
AMBN	0	0	0	0	0	0
AMBP	0	0	0	2	0	0
AMBRA1	717	679	1003	753	777	816
AMD1	4892	4988	4826	4161	3458	3234
AMDHD1	11	2	3	7	6	4
AMDHD2	411.25	352	450.01	339.65	257.27	336.63
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
