"Cont_1"	"Cont_2"	"SFN_1"	"SFN_2"
"ADAT1"	14.55	16.21	9.17	9.31
"ADAT2"	4.19	4.31	3.11	3.77
"ADAT3"	12.55	15.54	12.91	14.53
"ADCK1"	4.89	7.94	6.59	6.41
"ADCK2"	26.26	26.36	22.84	22.13
"ADCK3"	14.47	14.24	9.14	8.74
"ADCK4"	10.75	12.56	7.47	6.92
"ADCK5"	11.87	16.61	10.53	10.47
"ADCY1"	0.41	0.57	0.33	0.41
"ADCY10"	0.04	0.07	0.03	0.07
"ADCY10P1"	0.23	0.47	0.42	0.38
"ADCY2"	0	0	0	0
"ADCY3"	19.55	22.02	16.93	17.05
"ADCY4"	0	0.08	0	0
"ADCY5"	0.12	0.24	0.22	0.22
"ADCY6"	16.18	18.98	15.14	16.33
"ADCY7"	8.11	8.63	7.07	7.29
"ADCY8"	0	0	0.07	0.02
"ADCY9"	9.92	8.15	6.63	6.54
"ADCYAP1"	0	0	0.02	0
"ADCYAP1R1"	0	0	0.01	0
"ADD1"	128.45	142.02	143.86	146.09
"ADD2"	0	0	0	0
"ADD3"	12.87	14.49	7.92	7.67
"ADD3-AS1"	0	0	0	0.17
"ADGB"	0	0	0	0
"ADGRA1"	0	0	0	0
"ADGRA1-AS1"	0	0	0	0
"ADGRA2"	0.13	0.26	0.17	0.21
"ADGRA3"	14.82	18.07	10.95	11.24
"ADGRB1"	0.66	0.32	0.33	0.47
"ADGRB2"	1.65	0.92	0.68	0.74
"ADGRB3"	0.71	1.36	0.87	0.98
"ADGRD1"	0	0	0	0
"ADGRE1"	0	0	0	0
"ADGRE2"	0	0	0	0
"ADGRE3"	0	0	0	0
"ADGRE4P"	0	0	0	0.13
"ADGRE5"	57.29	58.89	43.55	42.57
"ADGRF1"	0.24	0.69	0.42	0.37
"ADGRF2"	0	0.04	0	0.02
"ADGRF3"	0.06	0.3	0.17	0.15
"ADGRF4"	1.09	1.01	0.29	0.63
"ADGRF5"	0	0.05	0	0
"ADGRG1"	26.21	29.07	22.3	20.6
"ADGRG2"	0.04	0.06	0.06	0.02
"ADGRG3"	0	0.04	0	0.04
"ADGRG4"	0.05	0	0.03	0.02
"ADGRG5"	0	0.03	0	0.03
"ADGRG6"	57.54	60.11	55.08	58.67
"ADGRG7"	0	0	0	0
"ADGRL1"	5.64	5.52	3.7	4.39
"ADGRL2"	31.31	31.28	29.26	29.48
"ADGRL3"	0.01	0.06	0.05	0.1
"ADGRL3-AS1"	0	0	0	0
"ADGRL4"	1.74	1.37	1.35	1.4
"ADGRV1"	0.03	0.03	0.02	0.02
"ADH1A"	0	0.07	0	0
"ADH1B"	0	0	0	0
"ADH1C"	0	0	0.04	0
"ADH4"	0	0	0	0
"ADH5"	124.03	132.56	111.79	104.8
"ADH6"	0	0	0	0
"ADH7"	0	0	0	0
"ADHFE1"	0.51	0.33	0.32	0.36
"ADI1"	131.76	120.53	115.01	133.2
"ADIG"	0	0	0	0
"ADIPOQ"	0	0	0	0
"ADIPOQ-AS1"	0	0	0	0
"ADIPOR1"	59.67	64.52	73.1	75.53
"ADIPOR2"	45.63	46.54	43.64	44.34
"ADIRF"	33.67	35.03	31.59	30.97
"ADK"	122.6	132.32	110.29	107.74
"ADM"	25.34	30.12	40.48	44.51
"ADM2"	0.98	0.9	3.73	2.5
"ADM5"	2.54	3.7	4.99	4.47
"ADNP"	30.66	31.77	24	22.06
"ADNP-AS1"	2.47	1.66	2.32	2.53
"ADNP2"	11.61	12.62	11.71	12.12
"ADO"	17.71	19.24	17.41	19.17
"ADORA1"	9.39	9.35	5.21	5.67
"ADORA2A"	1.6	1.28	1.27	2.28
"ADORA2A-AS1"	0.15	0.06	0.17	0.16
"ADORA2B"	51.22	41.03	35.54	34.35
"ADORA3"	0	0	0	0
"ADPGK"	44	44.95	44.87	42.09
"ADPGK-AS1"	0.31	0	0.14	0.59
"ADPRH"	2.08	1.88	1.17	1.31
"ADPRHL1"	1.04	0.95	1.07	0.99
"ADPRHL2"	51.63	48.08	49.25	44.26
"ADPRM"	8.4	6.35	4.55	6.33
"ADRA1A"	0	0	0	0
"ADRA1B"	0.67	1.74	0.62	0.54
"ADRA1D"	0	0.11	0	0
"ADRA2A"	0	0	0	0.05
"ADRA2B"	0	0	0	0
"ADRA2C"	1.04	0.16	0.39	0.35
"ADRB1"	0.19	0.07	0.05	0.16
"ADRB2"	6.98	9.35	7.4	6.95
"ADRB3"	0	0	0	0
"ADRBK1"	24.21	27.89	30.61	29.21
"ADRBK2"	0.02	0.03	0.03	0.04
"ADRM1"	276.39	288.73	330.35	329.74
"ADSL"	120.07	122.74	84.14	88.72
"ADSS"	62.28	59.45	47.15	48.29
"ADSSL1"	0.73	0.42	0.71	0.34
"ADTRP"	6.64	5.9	5.11	3.49
"AEBP1"	0.15	0.28	0	0.09
"AEBP2"	15.35	15.2	12.27	12.65
"AEN"	63.47	65.42	70.45	67.57
"AES"	452.31	435.99	478.59	447.39
"AFAP1"	49.78	53.71	41.76	44.4
"AFAP1-AS1"	0.59	0.78	0.56	0.49
"AFAP1L1"	6.52	7.22	3.29	3.56
"AFAP1L2"	2.35	1.74	0.67	0.6
"AFF1"	16.64	17.53	15.55	18.31
"AFF2"	0	0	0	0
"AFF3"	2.36	2.85	1.46	1.74
"AFF4"	53.36	56.96	54.21	57.7
"AFG3L1P"	12.84	12.84	10.6	10.15
"AFG3L2"	27.19	25.61	22.29	19.74
"AFM"	0	0	0	0
"AFMID"	14.95	16.14	12.99	11.74
"AFP"	0.71	0.05	0.52	0.85
"AFTPH"	13.72	15.3	13.53	15
"AGA"	16.06	15.73	13	13.27
"AGAP1"	5.93	6.26	5.13	6.77
"AGAP1-IT1"	1.75	1.4	0	0.92
"AGAP11"	0.58	0.7	0.36	0.92
"AGAP2"	0.04	0.06	0.03	0.04
"AGAP2-AS1"	24.48	20.89	17.96	14.86
"AGAP3"	32.76	34.82	30.56	30.25
"AGAP4"	11.61	11.38	11.42	9.93
"AGAP5"	4.68	3.67	3.08	4.44
"AGAP6"	15.22	17.56	19.72	19.32
"AGAP7P"	1.36	0.72	0.68	0.75
"AGAP9"	7.24	9	7.83	7.48
"AGBL1"	0	0	0	0
"AGBL1-AS1"	0	0	0	0
"AGBL2"	0.43	0.32	0.27	0.15
"AGBL3"	0.03	0.24	0.06	0
"AGBL4"	0	0	0	0
"AGBL4-IT1"	0	0	0	0
"AGBL5"	28.04	29.37	26.02	24.81
"AGBL5-AS1"	0	0	0	0
"AGER"	4.1	4.49	3.39	4.55
"AGFG1"	18.54	21.88	17.44	17.43
"AGFG2"	8.99	11.36	5.98	5.78
"AGGF1"	20.81	21	17.06	16.26
"AGK"	26.14	27.6	22.55	24.03
"AGL"	7.36	7.5	4.12	3.92
"AGMAT"	0.06	0.03	0.07	0.06
"AGMO"	0	0	0	0
"AGO1"	11.84	12.03	7.67	8.91
"AGO2"	32.6	34.79	38.95	49.11
"AGO3"	7.91	9.69	9.22	10.97
"AGO4"	3.57	3.05	2.87	3.76
"AGPAT1"	56.93	66.34	70.14	64.63
"AGPAT2"	69.58	67.04	74.24	73.48
"AGPAT3"	25.09	26.02	25.34	23.8
"AGPAT4"	4.93	4.38	4.11	4.06
"AGPAT4-IT1"	3.07	2.41	3.85	3.12
"AGPAT5"	32.78	37.52	26.72	27.64
"AGPAT6"	48.24	44.34	46.31	47.68
"AGPAT9"	10.44	12.58	16.77	17.88
"AGPS"	23.18	24.72	17.01	15.62
"AGR2"	0	0	0.19	0
"AGR3"	0	0	0	0
"AGRN"	160.19	166.73	157.83	158.01
"AGRP"	0	0	0	0
"AGT"	0	0	0	0
"AGTPBP1"	14.02	15.07	8.06	9.31
"AGTR1"	0	0	0.07	0
"AGTR2"	0	0	0	0
"AGTRAP"	41.98	43.09	50	45.48
"AGXT"	0	0	0	0
"AGXT2"	0	0	0	0
"AHCTF1"	32.41	35.18	31.4	35.41
"AHCTF1P1"	0.19	0.34	0.26	0.21
"AHCY"	343.33	367.38	344.34	345.41
"AHCYL1"	66.01	68.62	51.63	55.08
"AHCYL2"	6.45	6.59	5.57	6.17
"AHDC1"	9.14	8.26	8.42	8.48
"AHI1"	11.45	10.88	6.69	8.66
"AHNAK"	156.11	167.92	141.28	157.51
"AHNAK2"	10.32	12.16	8.33	7.77
"AHR"	14.3	18.45	14.78	14.92
"AHRR"	8	9.12	7.3	7.15
"AHSA1"	476.85	461.99	806.85	822.28
"AHSA2"	28.18	22.86	17.69	17.33
"AHSG"	0	0	0	0
"AHSP"	0	0	0	0
"AICDA"	0	0	0	0
"AIDA"	83.43	90.26	89.02	95.42
"AIF1"	0	0.22	0	0
"AIF1L"	0.79	0.81	0.35	0.6
"AIFM1"	46.31	50.25	47.48	45.54
"AIFM2"	4.78	5.3	5.42	4.57
"AIFM3"	0.24	0	0.13	0.04
"AIG1"	14.08	11.85	12.38	12.62
"AIM1"	7.27	8.58	3.66	3.97
"AIM1L"	0.08	0.09	0.03	0
"AIM2"	0	0	0	0
"AIMP1"	38.02	41.13	39.39	40.55
"AIMP2"	55.32	56.8	60.31	56.45
"AIP"	85.51	86.19	79.2	84.65
"AIPL1"	0	0	0	0
"AIRE"	0	0	0	0
"AIRN"	0	0.04	0.11	0.04
"AJAP1"	0	0	0	0
"AJUBA"	99.25	103.93	74.32	73.63
"AK1"	45.55	42.25	39.99	39.21
"AK2"	106.18	104.23	87.08	88.78
"AK3"	16.85	14.91	13.12	15.03
"AK4"	12.49	13.79	10.86	10.71
"AK5"	25.45	27.17	21.51	20.01
"AK6"	104.34	90.63	104.51	108.08
"AK7"	0	0.03	0	0
"AK8"	0.55	0.34	0.32	0.14
"AK9"	2.99	2.36	1.72	2.07
"AKAP1"	35.76	37.1	21.52	20.77
"AKAP10"	15.23	15.55	16.93	18.15
"AKAP11"	21.29	25.11	16.39	19.09
"AKAP12"	49.32	54.12	53.19	55.98
"AKAP13"	13.79	16.32	13.94	14.62
"AKAP14"	0	0	0	0
"AKAP17A"	19.6	18.53	24.25	23.59
"AKAP2"	121.89	126.49	131.61	141.18
"AKAP3"	0	0.58	0.34	0.62
"AKAP4"	0	0	0	0
"AKAP5"	2.08	1.88	0.68	0.71
"AKAP6"	0.57	0.65	0.52	0.58
"AKAP7"	2.13	2.05	1.14	1.49
"AKAP8"	37.84	34.13	37.58	42.39
"AKAP8L"	62.4	61.34	99.24	96.06
"AKAP9"	9.73	11.73	9.48	10.18
"AKIP1"	46.01	48.06	36.24	40.59
"AKIRIN1"	73.99	80.93	84.53	86.34
"AKIRIN2"	42.76	51.59	58.02	67.37
"AKNA"	3.17	3.11	1.87	1.93
"AKNAD1"	0.36	0.2	0.16	0.12
"AKR1A1"	72.9	72.8	59.45	61.49
"AKR1B1"	230.18	226.08	226.25	247.66
"AKR1B10"	1.07	1.21	1.09	0.7
"AKR1B15"	0	0.33	0	0
"AKR1C1"	0.08	0.24	0.17	0.08
"AKR1C2"	0.15	0	0.02	0
"AKR1C3"	0	0	0.07	0
"AKR1C4"	0	0	0	0
"AKR1C6P"	0	0	0	0
"AKR1C8P"	0	0	0	0.09
"AKR1D1"	0.11	0	0	0
"AKR1E2"	0	0.2	0	0.12
"AKR7A2"	34.4	33.03	28.39	25
"AKR7A2P1"	0.48	0.25	0.57	0.56
"AKR7A3"	1.13	0.37	0.62	0.79
"AKR7L"	0.49	0.35	0.32	0.45
"AKT1"	67.53	67.34	65.33	73.28
"AKT1S1"	101.88	105.36	125.98	131.76
"AKT2"	51.24	52.53	49.43	53.43
"AKT3"	20.08	27.87	23.44	24.04
"AKTIP"	15.11	14.94	11.26	11.96
"ALAD"	17.21	17.84	14.09	13.89
"ALAS1"	35.54	38.85	31.02	28.9
"ALAS2"	0	0	0	0
"ALB"	0.34	0.04	0.39	0.46
"ALCAM"	217.14	236.02	180.24	190.89
"ALDH16A1"	24.06	26.34	19.86	22.41
"ALDH18A1"	51.16	59.91	45.71	44.59
"ALDH1A1"	0	0	0	0
"ALDH1A2"	0	0	0	0
"ALDH1A3"	336.47	333.74	230.14	249.53
"ALDH1B1"	85.46	88.31	61.94	65.31
"ALDH1L1"	0.11	0.36	0.24	0.25
"ALDH1L1-AS1"	0	0	0	0
"ALDH1L1-AS2"	0	0	0	0
"ALDH1L2"	0.32	0.29	0.11	0.27
"ALDH2"	1.54	0.81	0.62	0.93
"ALDH3A1"	0	0	0	0.11
"ALDH3A2"	19.78	19.75	21.25	19.02
"ALDH3B1"	9.82	8.79	7.53	7.86
"ALDH3B2"	0.11	0	0	0
"ALDH4A1"	13.68	15.5	13.11	12.72
"ALDH5A1"	0.39	0.56	0.24	0.28
"ALDH6A1"	4.35	6.18	6.6	6.67
"ALDH7A1"	27.31	26.3	20.8	20.75
"ALDH8A1"	0.16	0.33	0.46	0.31
"ALDH9A1"	60.78	59.59	55.6	60.16
"ALDOA"	1226.86	1276.52	1485.74	1526.66
"ALDOB"	0	0	0.06	0.04
"ALDOC"	10.19	9.46	9.53	8.8
"ALG1"	16.89	19.52	17.04	16
"ALG10"	8.34	7.69	5.7	6.41
"ALG10B"	4.91	6	4.06	4.01
"ALG11"	11.06	13.4	12.26	15.47
"ALG12"	14.96	19.14	20.45	21.21
"ALG13"	15.44	15.35	12.8	13.24
