	Ctrl_1	Ctrl_2	SFN_1	SFN_2	NRF2KO-Cont_1	NRF2KO-Cont_2	NRF2KO-SFN_1	NRF2KO-SFN_2
ABCB7	16.08	13.29	10.29	11.93	13.2	15.21	11.92	12.16
ABCB8	12.84	14.43	13.95	14.08	16.65	17.03	14.67	15.83
ABCB9	4.91	4.92	3.29	3.49	5.55	6.14	4.53	4.04
ABCC1	23.54	25.62	21.9	23.22	30.98	31.02	25.35	27.33
ABCC10	9.46	9.72	6.98	6.71	9.42	10.19	8.13	7.8
ABCC11	0	0	0.09	0	0.02	0.07	0.02	0.09
ABCC12	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0
ABCC2	0.51	1.02	0.61	0.74	0.47	0.81	0.54	0.78
ABCC3	1.2	1.43	1.41	1.43	1.7	1.72	0.9	1.8
ABCC4	15.11	15.76	12.2	12.62	15.84	15.21	15.26	13.95
ABCC5	24.52	25.23	17.22	18.8	21.87	20.67	17.49	18.84
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0.02	0.89	0.04	0	0	0	0	0
ABCC6P1	0	0	0.03	0	0	0	0.04	0.04
ABCC6P2	0	0.21	0	0.21	0.22	0	0	0.23
ABCC8	0	0	0	0	0	0	0	0
ABCC9	0.45	0.56	0.43	0.62	0.21	0.17	0.17	0.16
ABCD1	14.17	13.37	15.44	15.78	14.81	16.04	16.58	15.85
ABCD2	0.18	0.05	0.01	0	0.06	0.1	0.02	0.06
ABCD3	56.92	53.63	38.77	39.11	50.07	44	42.1	43.91
ABCD4	14.76	15.8	12.57	14.7	15.91	17.67	13.02	13.86
ABCE1	114.02	117.66	93.92	97.67	83.64	88.62	87.34	90.21
ABCF1	87.38	86.45	77.03	75.47	85.68	90.32	74.92	79.41
ABCF2	47.87	52.9	45.78	46.33	50.33	50.86	48.44	51.43
ABCF3	44.49	44.84	35.94	37.46	43.84	46.07	38.38	39.76
ABCG1	0	0	0	0	0.04	0	0	0
ABCG2	6.13	5.16	3.03	2.5	2.68	2.87	1.83	1.93
ABCG4	0.14	0.05	0.19	0.15	0.08	0.06	0.03	0.06
ABCG5	0	0	0	0.03	0	0	0	0
ABCG8	0	0	0	0	0.04	0	0	0
ABHD1	0	0	0	0	0	0	0	0
ABHD10	30.94	27.53	18.97	17	24.65	25.09	18.59	18.41
ABHD11	24.22	25.32	26.12	24.05	23.48	21.35	25.57	22.38
ABHD11-AS1	3.53	0	0.82	0	1	1.04	1.01	1.02
ABHD12	84.43	94.75	100.75	99.95	98.95	94.2	101.65	103.48
ABHD12B	0.56	0.15	0.22	0.21	0.63	0.25	0.24	0.65
ABHD13	11.24	11.22	10.8	12.14	11.29	9.78	11.63	11.02
ABHD14A	9.07	4.44	5.17	7.35	8.45	8.52	6.04	7.02
ABHD14A-ACY1	0	1.4	0.24	0	0	0	0	0
ABHD14B	14.35	18.32	14.23	15.67	17.7	20.11	16.89	17.97
ABHD15	8.28	8.26	7.19	9.08	11.43	10.62	9.14	10.67
ABHD16A	22.08	21.54	16.9	16.16	21.25	21.7	14.79	16.29
ABHD16B	12.23	13.74	20.82	20.76	15.01	15.2	22.36	21.77
ABHD17A	109.79	119.42	121.16	125.19	156.35	155.6	136.85	151.03
ABHD17B	15.22	16.69	17	17.07	16.25	16.2	15.92	20.05
ABHD17C	6.75	5.63	2.55	3.41	6.21	5.63	3.56	3.48
ABHD2	25.2	27.92	22.38	23.37	26.24	25.74	26.27	27.98
ABHD3	12.67	11.61	16.01	17.65	8.19	9.86	10.34	10.98
ABHD4	27.53	31.47	41.35	42.01	25.41	28.63	19.27	24.04
ABHD5	4.41	4.1	4.95	5.37	4.29	3.42	3.89	3.99
ABHD6	2.24	2.67	2.17	1.99	2.14	3.1	2.26	2.1
ABHD8	29.1	32.61	37.16	38.02	43.35	48.98	41.9	41.25
ABI1	34.88	35.16	35.91	36.78	30.93	30.02	31.89	33.04
ABI2	39.29	41.96	25.68	26.08	38.93	40.15	32.68	31.43
ABI3	0	0	0.11	0.05	0	0.05	0	0.05
ABI3BP	3.58	3.14	2.69	2.89	1.41	1.7	1.12	1.24
ABL1	50.42	55.48	67.54	68.14	54.32	60.5	65.19	63.99
ABL2	39.63	47.28	45.1	51.94	37.54	36.97	44.84	41.08
ABLIM1	8.43	8.89	5.76	6.09	7.39	7.21	6.44	5.77
ABLIM2	0	0.24	0.2	0	0.26	0.43	0.18	0.23
ABLIM3	10.48	8.13	6.49	6.97	8.1	8.47	4.64	5.53
ABO	0	0	0	0	0	0	0.29	0
ABR	39.71	41.38	34.46	34.41	52.28	53.25	44.1	45.01
ABRA	0	0	0	0	0	0	0	0
ABRACL	109.75	114.65	110.78	106.83	70.99	76.46	75.49	72.74
ABT1	29.62	30.46	32.84	30.49	35.09	37.84	35.54	37.35
ABTB1	7.68	7.06	9.37	6.28	8.5	8.16	7.38	9.25
ABTB2	3.89	4.31	2.99	2.83	2.28	2.66	2.45	2.42
ACAA1	14.54	13.5	15.47	15.5	15.99	11.97	12.76	13.7
ACAA2	29.04	32.13	33.12	34.42	36.67	37.88	35.03	37.5
ACACA	13.26	13.2	11.41	12.42	17.56	18.27	13.78	15.24
ACACB	1.52	1.65	0.48	0.65	1.56	1.59	0.71	0.73
ACAD10	3.33	4.07	3.1	3.06	4.83	4.81	3.89	5.09
ACAD11	14.75	13.9	10.42	10.2	11.56	12.55	8.31	9.42
ACAD8	20.97	20.68	15.51	14.62	23.36	21.6	17.73	18.6
ACAD9	29.32	32.86	29.62	28.81	34.5	34.36	30.86	30.61
ACADL	0	0	0	0	0	0	0.04	0
ACADM	45.53	45.59	35.01	35.23	41.36	42.13	38.2	34.56
ACADS	6.83	7.98	4.91	5.32	11.77	11.91	6.48	8.92
ACADSB	8.44	8.65	6.53	5.89	9.18	9.08	8.48	8.14
ACADVL	233.13	231.58	219	215.81	287.09	286.44	256.38	270.27
ACAN	0	0	0	0.01	0	0.01	0	0
ACAP1	0.11	0.08	0	0	0	0.31	0.13	0
ACAP2	20.25	21.78	22.06	22.97	16.76	17.33	19.87	20.16
ACAP3	20.87	18.57	13.56	12.66	23.09	20.99	14.24	16.86
ACAT1	67.35	68.56	54.89	52.62	65.61	69.39	58.63	61.26
ACAT2	86.38	81.79	66.17	63.27	89.36	88.06	72.34	73.8
ACBD3	36.52	36.82	40.84	43.48	32.17	30.84	36.56	32.45
ACBD4	5.8	5.05	2.47	2.31	6.37	8	3.86	3.35
ACBD5	25.12	27.16	24.98	25.13	24.28	24.04	24.23	24.29
ACBD6	74.09	72.8	59.97	55.47	67.4	71.14	66.71	66.5
ACBD7	5.96	6.69	4.18	3.32	7.13	6.87	5.49	5.71
ACCS	0.1	0	0	0.04	0	0	0	0
ACCSL	0	0	0	0	0	0	0	0
ACD	36.16	33	26.82	27.29	43.35	43.64	28.7	32.4
ACE	0.17	0	0.07	0.07	0	0.03	0.04	0.02
ACE2	0.1	0.05	0	0.03	0.03	0.03	0.06	0
ACER1	0	0.22	0	0.42	0	0	0.23	0.24
ACER2	1.48	1.44	2.08	1.6	1.36	1.62	1.53	1.61
ACER3	7.86	8.04	7.96	9.52	7.93	7.21	10.18	8.62
ACHE	0.25	0.41	0.23	0.44	0.25	0.26	0.33	0.13
ACIN1	163.89	171.51	146.67	147.48	195.3	186.61	158.75	163.26
ACKR1	0	0	0	0	0	0	0	0
ACKR2	0	0	0	0	0.04	0	0.03	0
ACKR3	0	0	0	0	0	0	0.05	0
ACKR4	0.37	0.44	0.17	0.7	0.32	0.27	0.34	0.52
ACLY	162.88	163.59	148.6	160.23	191.83	204.43	171.1	177.12
ACMSD	0	0	0	0	0	0	0	0
ACO1	149.49	157.68	151.67	162.44	144.29	146.52	152.58	149.93
ACO2	54.75	60.76	61.65	60.77	58.94	62.02	60.69	60.49
ACOT1	7.04	7.35	6.23	9.21	9.12	13.23	10.05	8.79
ACOT11	0.29	0.33	0.2	0.13	0.17	0.27	0.49	0.43
ACOT12	0	0	0	0	0	0	0	0
ACOT13	11.43	10.58	10.56	11.06	10.78	10.42	10.84	11.9
ACOT2	49.39	55.7	53.05	48.31	56.03	59.12	60.58	63.7
ACOT4	0.31	0.13	0.1	0.06	0.35	0.51	0.56	0.29
ACOT6	0	0	0	0	0	0	0	0
ACOT7	110.4	110.85	143.54	137.58	125.03	129.51	146.13	143.3
ACOT8	27.51	27.48	28.16	28.07	29.71	32.61	28.07	24.57
ACOT9	81.79	81.42	65.54	66.22	77.34	77.39	68.51	66.31
ACOX1	13.08	12.81	12.76	12.94	10.42	11.87	13.11	13.21
ACOX2	0.04	0	0.06	0.08	0.14	0.05	0.05	0.05
ACOX3	7.23	8.44	5.41	4.06	7.95	7.65	7.31	6.02
ACOXL	0.04	0	0	0	0	0.05	0.04	0.05
ACP1	145.02	144.93	144.09	158.19	143.65	131.85	142.92	147.47
ACP2	24.57	27.5	26.6	26.54	28.89	30.05	26.5	28.6
ACP5	0.07	0.15	0.27	0.28	0.08	0	0	0.08
ACP6	12.46	10.04	6.65	7.77	12.29	11.83	7.26	7.59
ACPP	0	0	0	0	0	0	0	0
ACPT	0	0	0	0	0	0	0	0
ACR	0	0	0	0	0	0	0.09	0
ACRBP	0	0	0.08	0.1	0.06	0.12	0	0.06
ACRC	0.89	0.7	2.02	1.45	0.94	1.13	1.55	1.7
ACRV1	0.19	0.26	0.07	0.1	0.64	0.47	0.23	0.22
ACSBG1	0.06	0.1	0.22	0.12	0.25	0.22	0.1	0.25
ACSBG2	0.26	0.12	0	0.07	0.21	0.04	0.04	0.04
ACSF2	22.98	21.33	18.05	15.73	22.76	22.94	18.09	21.3
ACSF3	8.68	8.5	7.37	7.1	12.84	11.93	8.74	9.97
ACSL1	29.61	29.27	25.26	26.21	26.68	28.47	23.77	24.18
ACSL3	27.32	26.24	23.75	28.06	37.03	40.49	29.37	32.11
ACSL4	62.57	71.97	73.13	77.05	54.85	55.57	66.62	68.34
ACSL5	2.35	1.68	2.07	2.75	1.55	1.61	1.28	1.38
ACSL6	0	0.03	0	0	0	0	0	0.03
ACSM1	0	0	0	0	0	0	0	0.05
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	1.22	0.82	0.31	0.32	0.51	0.77	0.43	0.15
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0.16	0.04	0	0.04	0	0	0.09	0.05
ACSM6	0	0	0	0	0	0	0	0
ACSS1	0.04	0.11	0.06	0.11	0.06	0.18	0.06	0.04
ACSS2	13.35	13.46	11.62	11.67	12.64	12.54	10.8	11.58
ACSS3	1.51	1.95	1.57	1.13	1.57	1.77	1.12	1.75
ACTA1	0.07	0	0	0.34	0.08	0.16	0.23	0.24
ACTA2	10.18	11.53	12.49	14.46	8.65	9.59	11.16	10.91
ACTA2-AS1	0	0	0	0.14	0	0	0	0
ACTB	4006	4182.56	4220.44	4179.68	4484.08	4414.5	4904.31	4593.45
ACTBL2	2.58	2.9	1.05	0.92	1.39	1.58	0.9	0.54
ACTC1	0.1	0.18	0.06	0.12	0.08	0.17	0.05	0.03
ACTG1	4946.87	5146.24	5210.55	5326.96	5212.05	5166.46	5385.02	5258.83
ACTG1P17	0	0.32	0.1	0.12	0.07	0.36	0.27	0.07
ACTG1P20	2.7	2.08	1.8	1.98	1.39	2.13	1.9	2.08
ACTG1P4	0.2	0.88	0.5	0.88	0.22	0.17	0.66	0.28
ACTG2	20.47	23.77	21.34	17.84	12.65	8.69	10.92	9.65
ACTL10	0.67	1.16	1.6	1.28	0.81	1.65	1.34	1.27
ACTL6A	108.41	105.56	98.04	102.72	117.09	115.89	107.65	109.51
ACTL6B	0	0	0	0	0	0	0	0
ACTL7A	0	0	0.1	0	0	0	0	0
ACTL7B	0	0	0.06	0	0	0	0	0
ACTL8	0	0	0.04	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0
ACTN1	665.82	668.21	784.81	823.51	690.22	732.47	802.85	806.59
ACTN1-AS1	0	0	0	0	0	0	0	0
ACTN2	0	0.04	0.03	0	0.04	0.06	0	0
ACTN3	0	0	0	0	0	0	0.07	0
ACTN4	576.43	567.64	590.95	618.71	625.86	652.4	641.06	659.53
ACTR10	94	94.99	86.99	84.95	71.49	71.65	72.53	75.95
ACTR1A	121.68	130.29	128.22	126.39	134.1	135.1	137.93	136.4
ACTR1B	23.77	21.9	13.16	11.02	25.31	26.8	17.22	17.77
ACTR2	330.75	331.95	294.87	323.83	288.24	296.12	315.2	319.92
ACTR3	142.44	153.5	138.48	143.95	112.49	110.25	123.78	122.05
ACTR3B	6.59	4.67	5.03	4.46	6.23	5.9	5.85	6.15
ACTR3BP2	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0
ACTR3C	0.17	0.54	0.47	0.17	1.08	0.2	0.3	0.11
ACTR5	13.82	13.53	9.93	8.77	15.82	14.44	11.69	10.67
ACTR6	29.62	25.37	23.13	26.64	24.93	24.66	22.15	24.35
ACTR8	9.79	10.32	8.07	7.06	9	9.81	8.84	9.48
ACTRT1	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0
ACTRT3	6.03	3.32	4.82	5.05	4	3.75	3.49	4.09
ACVR1	19.02	19.5	28.18	26.91	16.92	15.63	21.88	19.79
ACVR1B	10.49	9.75	10.36	12.02	10.74	11.46	10.08	11.44
ACVR1C	0.74	0.87	0.42	0.39	0.77	0.59	0.7	0.73
ACVR2A	1.54	2.22	2.14	2.15	1.99	2.26	2.76	2.33
ACVR2B	0.39	0.32	0.17	0.19	0.45	0.44	0.29	0.41
ACVR2B-AS1	0	0	0.12	0	0.13	0.22	0.13	0
ACVRL1	0.02	0.18	0.07	0.04	0.02	0	0	0
ACY1	17.23	15.91	17.14	16.9	20.07	24.01	21.32	18.29
ACY3	0	0	0	0	0	0	0	0
ACYP1	68.25	73.29	50.08	46.81	66.22	60.18	45.66	49.82
ACYP2	7.25	5.64	9.2	7.41	6.52	9.5	8	7.3
ADA	23.46	25.95	15.53	14.12	25.71	28.48	16.9	17.61
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0
ADAL	7.66	8.37	3.84	4.01	7.95	8.49	5.1	5.31
ADAM10	36.23	39.83	30.93	31.14	38.74	35.81	35.74	36.1
ADAM11	0.38	0.68	0.45	0.5	0.82	0.84	0.86	0.77
ADAM12	4.96	4.8	4.42	5.17	5.09	4.95	3.84	4.51
ADAM15	80.37	79.77	82.28	81.29	76.76	80.29	73.67	74.24
ADAM17	36.1	33.84	45.61	47.35	35.57	37.23	40.82	40.73
ADAM18	0	0	0	0	0	0	0	0
ADAM19	28.89	28.47	30.14	31.55	28.8	29.11	38.59	37.36
ADAM1A	3.11	3.26	3.1	2.8	3.17	3.49	2.75	3.92
ADAM2	0	0	0	0	0	0	0	0
ADAM20	0.17	0	0.03	0.1	0.04	0.2	0.15	0.04
ADAM20P1	0.18	0.26	0.35	0.54	0.14	0.11	0.34	0.25
ADAM21	0.7	1.48	1.84	1	0.91	1.29	1.18	1.38
ADAM21P1	0	0	0	0	0	0	0	0
ADAM22	2.63	2.09	1.29	0.79	3.14	2.99	1.74	1.9
ADAM23	0.14	0.15	0.28	0.32	0.25	0.22	0.17	0.06
ADAM28	0	0	0.04	0	0	0	0	0
ADAM29	0.03	0	0	0	0.04	0	0	0
ADAM30	0	0.03	0	0	0	0	0	0
ADAM32	1.46	0.83	0.71	1.08	0.73	1.3	0.5	0.59
ADAM33	0	0	0	0	0	0	0	0.03
ADAM3A	0	0	0	0	0	0	0	0
ADAM5	0.23	0	0	0.06	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0
ADAM8	10.88	12.13	8.19	8.34	8	8.44	6.11	6.25
ADAM9	384.96	391.49	365.58	386.84	375.67	387.85	379.14	377.71
ADAMDEC1	0	0	0	0	0	0	0	0
ADAMTS1	270.37	283.76	228.19	240.56	180.27	181.75	147.42	137.22
ADAMTS10	0	0	0	0	0	0	0	0
ADAMTS12	12.47	11.82	9.95	10.73	11.54	10.93	11.4	9.9
ADAMTS13	0.73	0.58	1.07	0.87	0.97	1.44	0.75	1.18
ADAMTS14	0.22	0.07	0.1	0.15	0.19	0.18	0.06	0.15
ADAMTS15	0.32	0.46	0.05	0.06	0.79	0.53	0.23	0.14
ADAMTS16	3.36	4	2.4	2.86	3.47	3.4	2.69	2.81
ADAMTS17	0.22	0.12	0.08	0.05	0.3	0.07	0.05	0.05
ADAMTS18	0	0.05	0.03	0.01	0.05	0.02	0	0
ADAMTS19	0	0	0	0	0.02	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0
ADAMTS2	0	0	0	0	0	0	0	0
ADAMTS20	0	0	0	0	0	0	0	0
ADAMTS3	2.05	3.18	1.74	1.27	1.97	2.9	1.93	1.39
ADAMTS4	0	0	0.03	0.02	0.02	0	0.02	0.02
ADAMTS5	5.18	5.55	2.21	2.54	6.33	6.81	4.93	3.89
ADAMTS6	14.01	13.68	9.33	9.45	14.52	14.04	9.65	9.49
ADAMTS7	3.66	4.58	3.3	3.45	3.61	4.07	3.13	3.24
ADAMTS7P1	0	0	0.01	0	0.02	0	0	0
ADAMTS8	0	0	0.09	0.07	0.03	0	0.06	0
ADAMTS9	0	0	0	0	0	0	0	0
ADAMTS9-AS1	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0
ADAMTSL1	29.48	27.9	24.65	24.83	26.39	26.01	22.63	24.69
ADAMTSL2	0	0	0	0.02	0	0.03	0.03	0
ADAMTSL3	2.26	2.27	1.52	1.57	2.59	2.89	2.03	2.12
ADAMTSL4	5.41	4.83	4.58	5.44	7.13	7.69	6.4	7.85
ADAMTSL4-AS1	0.22	0.12	0.09	0	0.13	0.39	0.87	0.64
ADAMTSL5	4.99	3.65	4.08	4.41	4.83	3.7	4.26	4.04
ADAP1	0.4	0	0.47	0.15	0.4	0.12	0.06	0.12
ADAP2	0.1	0.11	0.21	0.3	0.15	0.16	0.19	0.12
ADAR	71.6	76.9	61.24	61.68	87.48	82.36	73.83	76.65
ADARB1	3.61	5.01	3.39	3.36	4.59	5.3	3.04	3.54
ADARB2	0	0	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0	0	0
ADAT1	14.55	16.21	9.17	9.31	14.63	15.3	11.33	10.69
ADAT2	4.19	4.31	3.11	3.77	3.54	3.65	3.42	3.64
ADAT3	12.55	15.54	12.91	14.53	21.88	22.58	19.63	16.66
ADCK1	4.89	7.94	6.59	6.41	6.3	7.99	7.53	8.26
ADCK2	26.26	26.36	22.84	22.13	28.23	26.91	26.74	24.51
ADCK3	14.47	14.24	9.14	8.74	15.18	16.36	9.79	10.22
ADCK4	10.75	12.56	7.47	6.92	15.65	14.33	9.16	10.84
ADCK5	11.87	16.61	10.53	10.47	17.23	17.67	12.37	12.84
ADCY1	0.41	0.57	0.33	0.41	0.85	0.56	0.45	0.09
ADCY10	0.04	0.07	0.03	0.07	0	0	0.02	0.04
ADCY10P1	0.23	0.47	0.42	0.38	0.37	0.25	0.17	0.34
ADCY2	0	0	0	0	0	0	0	0
ADCY3	19.55	22.02	16.93	17.05	26.28	26.65	20.72	21.87
ADCY4	0	0.08	0	0	0	0	0.06	0
ADCY5	0.12	0.24	0.22	0.22	0.17	0.14	0.14	0.12
ADCY6	16.18	18.98	15.14	16.33	20.15	22.56	15.6	17.47
ADCY7	8.11	8.63	7.07	7.29	7.22	6.66	6.85	5.46
ADCY8	0	0	0.07	0.02	0.07	0.05	0	0
ADCY9	9.92	8.15	6.63	6.54	10.6	9.7	7.84	7.87
ADCYAP1	0	0	0.02	0	0	0	0	0
ADCYAP1R1	0	0	0.01	0	0	0	0.06	0
ADD1	128.45	142.02	143.86	146.09	156.88	157.4	158.51	160.12
ADD2	0	0	0	0	0.03	0	0	0.03
ADD3	12.87	14.49	7.92	7.67	11.88	12.21	8.34	8.25
ADD3-AS1	0	0	0	0.17	0.09	0	0.09	0
ADGB	0	0	0	0	0	0	0	0.02
ADGRA1	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0
ADGRA2	0.13	0.26	0.17	0.21	0.21	0.16	0.13	0.22
ADGRA3	14.82	18.07	10.95	11.24	19.79	20.55	16.47	16.53
ADGRB1	0.66	0.32	0.33	0.47	0.45	0.42	0.29	0.35
ADGRB2	1.65	0.92	0.68	0.74	1.41	1.22	1.02	0.75
ADGRB3	0.71	1.36	0.87	0.98	0.63	0.54	0.79	0.68
ADGRD1	0	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	0
ADGRE2	0	0	0	0	0	0	0	0
ADGRE3	0	0	0	0	0	0	0	0
ADGRE4P	0	0	0	0.13	0	0.08	0.08	0
ADGRE5	57.29	58.89	43.55	42.57	46.48	48.32	43.56	40.74
ADGRF1	0.24	0.69	0.42	0.37	0.22	0.25	0.13	0.11
ADGRF2	0	0.04	0	0.02	0.02	0.02	0	0
ADGRF3	0.06	0.3	0.17	0.15	0.2	0.18	0.12	0.13
ADGRF4	1.09	1.01	0.29	0.63	0.46	0.69	0.26	0.3
ADGRF5	0	0.05	0	0	0.02	0.02	0.02	0.02
ADGRG1	26.21	29.07	22.3	20.6	36.46	38.18	33.2	34.29
ADGRG2	0.04	0.06	0.06	0.02	0.11	0.04	0.06	0.02
ADGRG3	0	0.04	0	0.04	0	0	0	0
ADGRG4	0.05	0	0.03	0.02	0.01	0.02	0.01	0
ADGRG5	0	0.03	0	0.03	0.03	0.03	0	0
ADGRG6	57.54	60.11	55.08	58.67	60.76	62.99	58.92	59.22
ADGRG7	0	0	0	0	0	0	0	0
ADGRL1	5.64	5.52	3.7	4.39	9.23	8.85	6.25	6.09
ADGRL2	31.31	31.28	29.26	29.48	29.59	30.54	26.78	29.02
ADGRL3	0.01	0.06	0.05	0.1	0.11	0.07	0.05	0.08
ADGRL3-AS1	0	0	0	0	0	0	0	0
ADGRL4	1.74	1.37	1.35	1.4	0.56	0.98	0.39	0.58
ADGRV1	0.03	0.03	0.02	0.02	0.03	0.02	0.03	0.03
ADH1A	0	0.07	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0
ADH1C	0	0	0.04	0	0	0	0	0.07
ADH4	0	0	0	0	0.05	0	0.05	0
ADH5	124.03	132.56	111.79	104.8	108.04	107.7	107.85	106.58
ADH6	0	0	0	0	0.08	0	0	0
ADH7	0	0	0	0	0	0	0	0
ADHFE1	0.51	0.33	0.32	0.36	0.82	0.92	0.52	0.42
ADI1	131.76	120.53	115.01	133.2	134.58	139.1	143.27	150.39
ADIG	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0
ADIPOR1	59.67	64.52	73.1	75.53	58.4	61.41	65.41	66
ADIPOR2	45.63	46.54	43.64	44.34	52.19	53.28	47.35	50.2
ADIRF	33.67	35.03	31.59	30.97	26.46	28.99	21.41	24.38
ADK	122.6	132.32	110.29	107.74	106.6	100.87	103.38	100.93
ADM	25.34	30.12	40.48	44.51	23.06	25.4	27.71	30.63
ADM2	0.98	0.9	3.73	2.5	0.78	0.89	1.2	1.4
ADM5	2.54	3.7	4.99	4.47	3.55	4.01	5.07	5.69
ADNP	30.66	31.77	24	22.06	34.71	34.53	29.42	28.1
ADNP-AS1	2.47	1.66	2.32	2.53	1.32	1.6	2.79	2.71
ADNP2	11.61	12.62	11.71	12.12	13.96	14.98	12.37	12.29
