"Cont_1"	"Cont_2"	"SFN_1"	"SFN_2"
"ABCA12"	0.98	0.97	1.23	1.36
"ABCA13"	0.14	0.2	0.06	0.17
"ABCA17P"	0.05	0.11	0.04	0.16
"ABCA2"	23.75	27.58	21.95	23.02
"ABCA3"	1.04	1.08	0.69	0.84
"ABCA4"	0.15	0.17	0.08	0.07
"ABCA5"	4	3.81	2.43	2.63
"ABCA6"	0.01	0	0	0.04
"ABCA7"	8.52	10.08	7.79	8.62
"ABCA8"	0.01	0	0	0
"ABCA9"	0	0	0.01	0
"ABCA9-AS1"	0	0	0	0
"ABCB1"	0	0.08	0.02	0.06
"ABCB10"	30.09	32.96	28	27.01
"ABCB11"	0.09	0.01	0.02	0.01
"ABCB4"	0.03	0.01	0	0
"ABCB5"	0.01	0.01	0	0
"ABCB6"	30.67	31.95	45.63	42.6
"ABCB7"	20.91	21.04	24.15	24.19
"ABCB8"	17.49	18.65	13.72	13.97
"ABCB9"	4.07	4.37	3.13	3.61
"ABCC1"	37.2	40.14	40.03	39.63
"ABCC10"	9.83	10.21	7.1	7.83
"ABCC11"	0.01	0.02	0.02	0.08
"ABCC12"	0	0	0	0
"ABCC13"	0	0	0	0
"ABCC2"	1.14	1.26	4.29	3.75
"ABCC3"	60.41	65.58	93.2	93.22
"ABCC4"	12.04	14.48	15.47	16.03
"ABCC5"	54.31	52.07	40.11	47.24
"ABCC5-AS1"	0	0	0	0
"ABCC6"	0.11	0.01	0.01	0.27
"ABCC6P1"	0	0.04	0	0.03
"ABCC6P2"	0	0	0	0
"ABCC8"	0	0	0	0.01
"ABCC9"	0.19	0.15	0.01	0.06
"ABCD1"	2.1	1.96	2.01	2.84
"ABCD2"	0	0	0	0
"ABCD3"	46.8	54.21	50.85	52.05
"ABCD4"	13.4	11.74	9.28	10.38
"ABCE1"	43.16	52.98	69.72	66.02
"ABCF1"	39.91	45.49	50.61	48.46
"ABCF2"	68.39	83.23	85.61	87.01
"ABCF3"	65.73	67.7	70.25	67.67
"ABCG1"	1.06	1.04	1.4	1.47
"ABCG2"	6.49	6.46	15.93	16.96
"ABCG4"	0.03	0.01	0.02	0.02
"ABCG5"	0	0	0	0
"ABCG8"	0	0	0.03	0
"ABHD1"	0.16	0	0.12	0.11
"ABHD10"	29.51	32.26	34.13	32.59
"ABHD11"	43.34	48.14	59.87	61.57
"ABHD11-AS1"	0.36	0	0.59	0.26
"ABHD12"	80.9	82.92	61.49	71.37
"ABHD12B"	0.7	0.39	0.35	0
"ABHD13"	5.36	5.82	6.3	8.01
"ABHD14A"	6.25	5.52	2.97	2.65
"ABHD14A-ACY1"	0	0	0	0.28
"ABHD14B"	20.14	19.35	15.65	15
"ABHD15"	20.52	23.96	18.7	20.59
"ABHD16A"	29.93	30.07	25.08	25.43
"ABHD16B"	5.31	5.61	8.44	8.6
"ABHD17A"	71.73	73.28	63.81	58.8
"ABHD17B"	38.94	37.57	26.03	27.65
"ABHD17C"	34.62	36.33	37.05	36.07
"ABHD2"	17.19	19.95	25.32	28.48
"ABHD3"	79.93	75.92	105.54	116.24
"ABHD4"	71.56	68.92	187.89	179.62
"ABHD5"	6.72	7.86	6.76	7.53
"ABHD6"	9.21	10.81	11.43	10.75
"ABHD8"	6.41	6.63	8.14	8.34
"ABI1"	55.09	57.44	61.45	61.9
"ABI2"	14.5	15.61	13.12	13.34
"ABI3"	0	0	0	0
"ABI3BP"	0.05	0.05	0.05	0.02
"ABL1"	30.89	36.17	32.42	35.68
"ABL2"	7.12	8.24	22.4	22.52
"ABLIM1"	44.21	50.22	54.96	58.81
"ABLIM2"	1.9	1.72	1.16	1.15
"ABLIM3"	1.43	1.64	2.31	2.51
"ABO"	13.84	15.34	8.65	12.3
"ABR"	28.91	29.71	37.7	36.66
"ABRA"	0	0	0	0
"ABRACL"	190.49	178.2	175.48	180.31
"ABT1"	26.86	26.72	31.73	28.77
"ABTB1"	16.18	11.82	11.14	11.52
"ABTB2"	10.48	11.36	15.56	16.64
"ACAA1"	50.74	52.52	46.95	48.94
"ACAA2"	6.96	5.65	2.51	2.74
"ACACA"	31.29	35.87	26.78	26.07
"ACACB"	3.76	3.74	1.85	2.15
"ACAD10"	12.87	12.24	9.83	11.86
"ACAD11"	6.94	7.96	4.6	5.9
"ACAD8"	14.58	15.37	17.39	19.24
"ACAD9"	52.97	57.09	42.71	41.45
"ACADL"	0.02	0	0	0.03
"ACADM"	37.29	39.46	36.25	35.54
"ACADS"	13.13	11.92	6.75	8.35
"ACADSB"	5.37	5.76	4.95	6.28
"ACADVL"	287.79	290.83	238.41	241.08
"ACAN"	0	0	0	0
"ACAP1"	0.28	0.28	0.1	0.17
"ACAP2"	13.75	15.4	17.58	18.91
"ACAP3"	34.29	40.16	28.9	31.66
"ACAT1"	100.94	108.94	108.29	104.43
"ACAT2"	190.67	168.33	183.14	160.98
"ACBD3"	38.57	42.14	50.58	53.17
"ACBD4"	10.3	9.86	6.59	6.6
"ACBD5"	19.15	21.09	21.88	21.55
"ACBD6"	74.98	79.18	79.77	75.7
"ACBD7"	0.24	0.41	0.25	0.33
"ACCS"	10.61	10.82	8.7	9.06
"ACCSL"	0	0	0	0
"ACD"	53.11	54.02	66.09	61.95
"ACE"	0.08	0.08	0.08	0.11
"ACE2"	2.22	2.13	1.84	2.5
"ACER1"	0	0.06	0	0
"ACER2"	4.03	3.95	2.24	3.22
"ACER3"	7.31	8.11	11.19	12.36
"ACHE"	3.03	4.41	0.67	0.85
"ACIN1"	84.22	88.88	86.65	87.78
"ACKR1"	0	0	0	0
"ACKR2"	0.05	0.09	0.03	0.1
"ACKR3"	48.09	47.26	16.82	17.01
"ACKR4"	0.05	0.05	0.1	0.03
"ACLY"	204.55	191.78	165.87	161.05
"ACMSD"	0	0	0	0
"ACO1"	10.27	10.5	6.84	7.95
"ACO2"	104.95	99.9	94.51	92.23
"ACOT1"	12.03	13.13	11.26	11.44
"ACOT11"	29.76	27.83	17.09	16.81
"ACOT12"	0	0	0	0
"ACOT13"	10.3	10.31	9.2	9.57
"ACOT2"	28.54	26.69	34.13	32.63
"ACOT4"	2.58	2.51	2.58	2.87
"ACOT6"	0	0	0.09	0.08
"ACOT7"	155.84	156.53	185.25	166.08
"ACOT8"	53.95	51.35	50.74	44.01
"ACOT9"	77.43	76.77	85.44	77.11
"ACOX1"	6.53	7.23	7.88	8.27
"ACOX2"	0.02	0.02	0.1	0.12
"ACOX3"	4.93	5.16	4.89	5.06
"ACOXL"	0.96	0.85	2.33	2.3
"ACP1"	144.55	145.38	162.53	175.65
"ACP2"	22.32	23.02	22.91	22.5
"ACP5"	0.23	0.04	0	0
"ACP6"	38.05	38.26	36.19	37.12
"ACPP"	6.48	5.22	3.49	4.31
"ACPT"	0	0	0	0.06
"ACR"	0.09	0	0.25	0
"ACRBP"	0.18	0.06	0.39	0.04
"ACRC"	0.72	0.79	1.62	1.79
"ACRV1"	0.31	0.21	0.09	0.14
"ACSBG1"	0.22	0.23	0.21	0.31
"ACSBG2"	0.06	0.11	0	0.06
"ACSF2"	24.2	20.9	28.08	30.14
"ACSF3"	13.37	14.1	13.04	13
"ACSL1"	35.08	28.06	25.49	26.91
"ACSL3"	119.72	122.65	105.9	105.62
"ACSL4"	17.9	20.77	26.45	27.52
"ACSL5"	0.36	0.44	0.88	1.54
"ACSL6"	0	0	0.01	0
"ACSM1"	0.27	0.24	0.08	0.14
"ACSM2A"	0	0	0	0
"ACSM2B"	0	0	0	0
"ACSM3"	0.76	0.64	0.54	0.75
"ACSM4"	0	0	0	0
"ACSM5"	0	0	0	0
"ACSM6"	0	0	0.15	0.13
"ACSS1"	5.46	6.03	5.77	7.02
"ACSS2"	42.42	34.64	34.05	33.87
"ACSS3"	0	0.02	0	0.02
"ACTA1"	0.19	0.08	0.17	0.05
"ACTA2"	4.32	4.61	3.84	5.01
"ACTA2-AS1"	0	0.06	0	0.04
"ACTB"	3728.49	4175.83	5136.1	4772.64
"ACTBL2"	0.58	0.62	0.2	0.3
"ACTC1"	0.13	0.16	0.06	0.04
"ACTG1"	2242.6	2486.67	3171.36	3152.04
"ACTG1P17"	0.31	0.41	0.41	0.36
"ACTG1P20"	0.71	0.94	0.63	0.86
"ACTG1P4"	0.03	0	0.04	0
"ACTG2"	0.05	0.1	0	0
"ACTL10"	6.68	7.02	5.44	5.2
"ACTL6A"	142.14	146.64	150.75	151.49
"ACTL6B"	0	0	0	0
"ACTL7A"	0	0	0	0
"ACTL7B"	0.04	0	0.12	0
"ACTL8"	0.09	0.03	0.13	0.04
"ACTL9"	0	0	0	0
"ACTN1"	150.93	168.48	234.3	231.23
"ACTN1-AS1"	0	0.13	0	0
"ACTN2"	0.01	0.01	0	0.06
"ACTN3"	0	0.04	0.13	0.19
"ACTN4"	245.48	263.81	261.15	264.75
"ACTR10"	31.28	28.31	34.91	31.19
"ACTR1A"	102.12	103	91.57	94.91
"ACTR1B"	58.68	53.08	39.95	38.13
"ACTR2"	164.06	196.12	188.61	205.95
"ACTR3"	81.45	84.94	102.55	105.76
"ACTR3B"	7.65	7.74	7.28	9.23
"ACTR3BP2"	0	0	0	0
"ACTR3BP5"	0	0	0	0
"ACTR3C"	11.12	11.87	6.29	6.51
"ACTR5"	13.16	13.58	13.41	11.87
"ACTR6"	23.71	23.77	25.97	27.4
"ACTR8"	8.14	9.19	10.94	10.08
"ACTRT1"	0	0	0	0
"ACTRT2"	0	0	0	0
"ACTRT3"	3.46	3.38	4.29	5.01
"ACVR1"	16.11	16.12	16.37	18.6
"ACVR1B"	16.78	15.61	15.93	17.38
"ACVR1C"	0.01	0.01	0.04	0.05
"ACVR2A"	2.24	2.42	2.92	3.29
"ACVR2B"	0.55	0.54	0.41	0.46
"ACVR2B-AS1"	0.19	0.19	0.19	0.4
"ACVRL1"	0	0	0.04	0.07
"ACY1"	37.71	35.3	22.23	19.81
"ACY3"	0	0	0	0
"ACYP1"	39.37	40.56	36.53	38.58
"ACYP2"	10.87	10.15	9.13	11.68
"ADA"	3.48	3.79	2.5	1.99
"ADAD1"	0	0	0	0
"ADAD2"	0.38	0.31	0.14	0
"ADAL"	6.96	7.86	6.62	5.92
"ADAM10"	63.42	73.73	66.13	72.88
"ADAM11"	0.65	0.71	1.42	1.64
"ADAM12"	0.03	0.04	0.14	0.07
"ADAM15"	175.16	189.06	196.97	202.13
"ADAM17"	22.23	24.65	38.81	43.97
"ADAM18"	0	0	0	0
"ADAM19"	4.02	6.82	9.33	10.15
"ADAM1A"	1.1	1.28	1.22	1.02
"ADAM2"	0	0	0	0
"ADAM20"	0	0.02	0	0
"ADAM20P1"	0.02	0.02	0.05	0
"ADAM21"	0.02	0	0.21	0.05
"ADAM21P1"	0	0	0.04	0.04
"ADAM22"	0.89	1.01	0.6	0.54
"ADAM23"	24.45	23.39	15.3	17.02
"ADAM28"	0	0.01	0.01	0.01
"ADAM29"	0	0	0	0
"ADAM30"	0	0	0	0
"ADAM32"	0	0.02	0.12	0.1
"ADAM33"	0	0	0	0.02
"ADAM3A"	0.02	0.02	0	0
"ADAM5"	0.03	0	0.05	0
"ADAM6"	0	0	0	0
"ADAM7"	0	0	0	0
"ADAM8"	21.9	22.72	83.17	77.98
"ADAM9"	84.72	101.69	118.99	125.36
"ADAMDEC1"	0	0	0	0
"ADAMTS1"	34.46	36.04	26.73	23.86
"ADAMTS10"	0	0	0	0
"ADAMTS12"	0.01	0.06	0.06	0.03
"ADAMTS13"	0.67	0.93	0.61	0.75
"ADAMTS14"	0.87	0.83	0.65	0.67
"ADAMTS15"	2.55	3.41	1.76	1.79
"ADAMTS16"	0.02	0.02	0.03	0.03
"ADAMTS17"	0	0.02	0.01	0.02
"ADAMTS18"	0.07	0.02	0.04	0.01
"ADAMTS19"	0	0.01	0	0
"ADAMTS19-AS1"	0	0	0	0
"ADAMTS2"	0.02	0.03	0.04	0.15
"ADAMTS20"	0	0	0	0
"ADAMTS3"	0.03	0.02	0.01	0.05
"ADAMTS4"	0	0	0.07	0.03
"ADAMTS5"	0.42	0.79	0.02	0.03
"ADAMTS6"	0.61	0.89	1.35	0.95
"ADAMTS7"	0.42	0.49	0.21	0.31
"ADAMTS7P1"	0.01	0.01	0.02	0
"ADAMTS8"	0.06	0	0.02	0
"ADAMTS9"	0.01	0.01	0.03	0.06
"ADAMTS9-AS1"	0	0	0	0
"ADAMTS9-AS2"	0	0	0	0
"ADAMTSL1"	0	0	0	0
"ADAMTSL2"	0	0	0	0
"ADAMTSL3"	2.8	3.22	1.39	1.67
"ADAMTSL4"	4.59	3.13	1.51	1.61
"ADAMTSL4-AS1"	0	0.06	0	0.08
"ADAMTSL5"	4.68	3.85	4.8	4.65
"ADAP1"	99.92	103.6	104.24	100.52
"ADAP2"	0.1	0.08	0.06	0.23
"ADAR"	79.4	99.44	88.36	94.89
"ADARB1"	1.31	1.66	2.2	2.33
"ADARB2"	0	0	0	0
"ADARB2-AS1"	0	0	0	0
"ADAT1"	21.01	21.99	21.97	23.02
"ADAT2"	1.83	2.42	2.47	2.14
"ADAT3"	6.26	5.12	7.73	6.13
"ADCK1"	6.43	6.22	6.99	9.33
"ADCK2"	41.59	47.75	35.42	38.34
"ADCK3"	16.87	15.86	16.33	16.59
"ADCK4"	15.52	14.49	10.73	9.85
"ADCK5"	12.91	12.49	8.37	9.16
"ADCY1"	3.42	4.64	3.78	4.04
"ADCY10"	0.04	0.03	0.05	0.04
"ADCY10P1"	0.17	0.32	0.18	0.12
"ADCY2"	0	0	0	0
"ADCY3"	38.56	47.72	50.61	53.44
"ADCY4"	0.23	0.06	0.16	0.1
"ADCY5"	0.56	0.71	0.81	0.76
"ADCY6"	16.33	17.29	15.03	16.97
"ADCY7"	25.25	27.11	27.2	28.13
"ADCY8"	0	0	0	0
"ADCY9"	14.5	15.51	11.97	11.83
"ADCYAP1"	0.08	0.26	0	0
"ADCYAP1R1"	0	0	0	0
"ADD1"	55.47	56.65	45.53	47.34
"ADD2"	0.19	0.37	0.34	0.28
"ADD3"	12.29	12.14	11.01	11.45
"ADD3-AS1"	0	0.14	0	0.06
"ADGB"	0	0	0	0
"ADGRA1"	0	0	0	0
"ADGRA1-AS1"	0	0	0	0
"ADGRA2"	0.25	0.37	0.11	0.13
"ADGRA3"	23.27	25.66	23.38	22.79
"ADGRB1"	0.1	0.1	0.08	0.1
"ADGRB2"	2.94	3.3	1.83	2.15
"ADGRB3"	0	0	0	0
"ADGRD1"	0	0	0.01	0
"ADGRE1"	0	0	0	0
"ADGRE2"	0.4	0.49	0.79	0.97
"ADGRE3"	0	0	0	0
"ADGRE4P"	0	0	0	0.03
"ADGRE5"	15.54	17.99	30.55	34.91
"ADGRF1"	7.81	9.42	18.97	19
"ADGRF2"	0	0	0.01	0
"ADGRF3"	0.56	0.44	0.65	0.41
"ADGRF4"	4.92	4.23	9.12	10.17
"ADGRF5"	0	0	0	0
"ADGRG1"	103.54	100.27	85.77	86.02
"ADGRG2"	0.09	0.08	0.03	0
"ADGRG3"	0	0	0.03	0
"ADGRG4"	0	0	0	0.01
"ADGRG5"	0.01	0	0	0
"ADGRG6"	23.02	30.4	23.61	25.07
"ADGRG7"	0.02	0.02	0.07	0.03
"ADGRL1"	2.84	3.56	2.16	2.27
"ADGRL2"	7.65	9.87	13.94	14.82
"ADGRL3"	0.24	0.21	0.05	0.03
"ADGRL3-AS1"	0	0	0	0
"ADGRL4"	0	0	0	0
"ADGRV1"	0.15	0.2	0.16	0.15
"ADH1A"	0	0	0	0
"ADH1B"	0	0	0	0
"ADH1C"	0	0	0	0
"ADH4"	0	0	0	0
"ADH5"	97.74	96.74	84.16	79.26
"ADH6"	0	0	0	0
"ADH7"	0.1	0.13	0.04	0.07
"ADHFE1"	0.76	0.65	1.65	1.44
"ADI1"	162.17	172.54	175.75	181.91
"ADIG"	0	0	0	0
"ADIPOQ"	0	0	0	0
"ADIPOQ-AS1"	0	0	0	0
"ADIPOR1"	134.69	131.06	144.95	151.55
"ADIPOR2"	62.81	68.73	64.86	73.87
"ADIRF"	1493.01	1307.64	795.94	822.16
"ADK"	141.44	149.61	137.11	141.59
"ADM"	190.77	149.03	106.6	94.73
"ADM2"	0.48	0.36	1.49	1.73
"ADM5"	1.23	1.36	1.5	1.21
"ADNP"	33.11	37.9	34.18	35.27
"ADNP-AS1"	2.1	1.76	1.27	1.62
"ADNP2"	16.19	17.44	17.46	18.09
"ADO"	20.94	22.05	22.66	24.07
"ADORA1"	0.88	0.66	0.27	0.26
"ADORA2A"	0.61	1.69	4.18	4.27
"ADORA2A-AS1"	0.04	0.08	0.34	0.35
"ADORA2B"	25.95	30.04	40.59	34.97
"ADORA3"	0	0	0	0
"ADPGK"	59.53	66.11	71.25	73.39
"ADPGK-AS1"	0.05	0.05	0.14	0.09
"ADPRH"	0.17	0.16	0.25	0.35
"ADPRHL1"	8.6	9.47	7.76	8.62
"ADPRHL2"	44.67	45.8	48.16	48.92
"ADPRM"	6.62	5.5	6.64	6.69
"ADRA1A"	0	0	0	0
"ADRA1B"	0.83	1.22	1	0.87
"ADRA1D"	0.57	0.67	0.39	0.21
"ADRA2A"	0.01	0	0	0
"ADRA2B"	0.06	0.16	0.02	0.04
"ADRA2C"	1.08	1.05	0.5	0.56
"ADRB1"	1.03	0.92	0.5	1.01
"ADRB2"	34.2	30.88	25.6	24.25
"ADRB3"	0	0	0	0
"ADRBK1"	89.3	96.14	89.43	87.42
"ADRBK2"	0.11	0.21	0.16	0.22
"ADRM1"	223.96	248.19	307.88	281.82
"ADSL"	61.41	71.86	73.38	70.59
"ADSS"	79.58	77.94	78.08	74.79
"ADSSL1"	2.37	2.63	1.24	2.03
"ADTRP"	0.91	1.09	1.43	1.81
"AEBP1"	0.06	0.04	0.09	0.02
"AEBP2"	15.52	16.78	13.92	15.53
"AEN"	12.01	15.87	32.32	32.51
"AES"	389.55	381.09	362.27	362.73
"AFAP1"	12.42	13.11	8.63	9.09
"AFAP1-AS1"	0	0.02	0.06	0.03
"AFAP1L1"	0.71	0.56	1.6	1.75
"AFAP1L2"	92.32	101.52	62.51	69.46
"AFF1"	2.71	3.2	3.63	4.54
"AFF2"	0	0	0	0
"AFF3"	0	0	0	0.01
"AFF4"	16.01	18.67	22.02	22.98
"AFG3L1P"	14.47	15.07	14.14	14.51
"AFG3L2"	39.29	45.75	51.19	53.09
"AFM"	0	0	0.04	0
"AFMID"	19.49	17.15	15.77	15.81
"AFP"	0	0	0	0
"AFTPH"	19.93	21.91	22.4	26.48
"AGA"	10.6	11.61	7.13	8.81
"AGAP1"	5.56	6.68	7.33	6.52
"AGAP1-IT1"	0.43	0.33	0.5	0.44
"AGAP11"	20.52	20.22	8.53	9.83
"AGAP2"	0.07	0.1	0.19	0.16
"AGAP2-AS1"	38.34	34.8	31.78	29.94
"AGAP3"	69.03	74.57	60.68	65.2
"AGAP4"	4.6	5.17	4	5.01
"AGAP5"	3.59	3.55	4.5	3.77
"AGAP6"	7.61	9.03	11.5	12.03
"AGAP7P"	0.33	0.64	0.56	0.31
"AGAP9"	6.74	8.06	7.74	7.73
"AGBL1"	0	0	0	0
"AGBL1-AS1"	0	0	0.21	0.19
"AGBL2"	0.66	0.82	0.37	0.6
"AGBL3"	0.07	0.06	0.04	0.08
"AGBL4"	0	0	0	0
"AGBL4-IT1"	0	0	0	0
"AGBL5"	33.82	37.38	30.94	29.93
"AGBL5-AS1"	0.24	0.25	0	0.35
"AGER"	1.69	1.8	1.58	1.12
"AGFG1"	10.02	11.61	16.82	17.61
"AGFG2"	13.5	14.52	9.62	9.68
"AGGF1"	26.79	28.69	28.57	31.16
"AGK"	20.88	23.58	21.62	23.02
"AGL"	10.49	12.89	11.19	12.08
"AGMAT"	0.15	0.15	0.15	0.18
"AGMO"	0	0	0	0
"AGO1"	5.33	6.94	5.77	6.45
"AGO2"	9.73	11.63	18.71	18.16
"AGO3"	4.72	4.89	8.05	8.36
"AGO4"	3.17	3.43	2.29	2.95
"AGPAT1"	25	25.65	22.17	22.09
"AGPAT2"	211.97	218.7	233.5	261.97
"AGPAT3"	18.73	23.23	23.82	24.53
"AGPAT4"	1.28	1.27	0.68	0.75
"AGPAT4-IT1"	0.03	0.12	0.13	0.08
"AGPAT5"	18.7	21.97	24.07	23.46
"AGPAT6"	12.14	12.46	13.05	13.63
"AGPAT9"	3.45	5.07	21.62	22.95
"AGPS"	37.43	43.61	26.12	27.86
"AGR2"	92.38	59.71	4.33	7.29
"AGR3"	0.09	0	0	0
"AGRN"	196.16	225.44	142.47	147.02
"AGRP"	0	0	0.14	0
"AGT"	0	0	0	0.06
"AGTPBP1"	2.44	2.72	3.87	4.46
"AGTR1"	0	0	0	0
"AGTR2"	0	0	0	0
"AGTRAP"	73.99	68.46	74.4	70.76
"AGXT"	0	0	0	0
"AGXT2"	0	0	0	0
"AHCTF1"	28.85	36.12	45.88	46.32
"AHCTF1P1"	0.19	0.26	0.35	0.31
"AHCY"	317.9	345.55	303.22	299.18
"AHCYL1"	62.86	67.71	63.69	63.9
"AHCYL2"	8.15	8.47	8.22	8.57
"AHDC1"	7.76	7.3	6.8	7.65
"AHI1"	7.46	7.8	6.36	6.71
"AHNAK"	125.11	141.18	100.37	109.09
"AHNAK2"	17.39	17.56	9.36	11.29
"AHR"	9.11	12.54	18.7	21.75
"AHRR"	2	1.42	3.32	3.04
"AHSA1"	212.5	227.08	359.25	357.74
"AHSA2"	19.5	24.75	17.18	21.67
"AHSG"	0	0.04	0.05	0
"AHSP"	0	0	0	0
"AICDA"	0	0	0	0
"AIDA"	67.14	71.28	86.43	85.22
"AIF1"	0	0	0	0
"AIF1L"	22.99	25.55	26.23	28.17
"AIFM1"	69.41	72.58	78.75	80.29
"AIFM2"	37.64	39.73	76	71.02
"AIFM3"	1.49	1.44	1.2	0.97
"AIG1"	40.88	41.78	36.95	39.87
"AIM1"	40.35	47.66	40.46	40.46
"AIM1L"	3.49	3.31	4.41	4.94
"AIM2"	0	0.08	0.12	0.1
"AIMP1"	38.56	38.91	44.17	45.43
"AIMP2"	131.34	149.94	200.71	190.61
"AIP"	147.21	133.18	111.61	109.08
"AIPL1"	0	0	0.03	0.03
"AIRE"	0	0	0	0
"AIRN"	0	0.01	0	0
"AJAP1"	4.04	4.76	4.22	4.54
"AJUBA"	161.73	175.82	132.19	119.72
"AK1"	78.57	77.25	75.5	79.85
"AK2"	114.62	125.01	131.23	125.58
"AK3"	15.86	17.15	18.56	20.02
"AK4"	21.53	24.66	24.07	23.9
"AK5"	0.02	0	0.02	0
"AK6"	43.65	45.13	73.75	64.01
"AK7"	0.37	0.23	0.09	0.15
"AK8"	0.94	0.68	0.42	0.48
"AK9"	2.87	3.02	3.66	3.11
"AKAP1"	50.98	51.2	53.8	51.29
"AKAP10"	14.8	15.84	18.28	21.06
"AKAP11"	10.4	12.08	10.74	11.36
"AKAP12"	0.81	1.04	1.47	1.81
"AKAP13"	10.12	11.06	9.48	10.24
"AKAP14"	0	0	0.3	0
"AKAP17A"	15.43	17.63	18.18	19.21
"AKAP2"	8.2	13.31	24.12	25
"AKAP3"	0.21	0.22	0.16	0.32
"AKAP4"	0	0	0	0
"AKAP5"	0.14	0.25	0.08	0.15
"AKAP6"	0.37	0.51	0.29	0.28
"AKAP7"	0.35	0.27	0.16	0.24
"AKAP8"	19.38	21.76	21.11	21.01
"AKAP8L"	37.99	37.48	56.01	54.18
"AKAP9"	12.81	14.51	11.72	12.97
"AKIP1"	66.35	68.31	55.02	65.18
"AKIRIN1"	41.93	47.2	61.74	64.87
"AKIRIN2"	26.29	28.04	41.17	40.76
"AKNA"	7.22	7.36	6.1	6.14
"AKNAD1"	0	0	0.03	0.07
"AKR1A1"	129.36	111.56	76.68	82.85
"AKR1B1"	251.28	249.35	358.63	415.82
"AKR1B10"	32.31	32.81	319.15	304.4
"AKR1B15"	0.11	0.14	0.1	0.28
"AKR1C1"	20.62	18.47	648.69	539.86
"AKR1C2"	45.73	39.21	764.62	761.95
"AKR1C3"	15.97	18.01	687.8	564.95
"AKR1C4"	0	0	0	0
"AKR1C6P"	0	0	0	0
"AKR1C8P"	0	0	0	0
"AKR1D1"	0.02	0.08	0.24	0.41
"AKR1E2"	1.9	1.88	2.32	1.79
"AKR7A2"	65.41	57.88	36.92	38.85
"AKR7A2P1"	0.09	0.04	0.26	0.12
"AKR7A3"	0.33	0.96	0.29	0.3
"AKR7L"	0.26	0.21	0.24	0.17
"AKT1"	119.87	130.15	136.61	138.1
"AKT1S1"	71.71	71.95	85.71	83.03
"AKT2"	23.07	25.59	22.46	23.09
"AKT3"	15.7	19.12	13.7	17.94
"AKTIP"	23.92	25.06	26.33	30.74
"ALAD"	49.52	48.18	29.09	33.1
"ALAS1"	35.89	38.36	50.39	55.73
"ALAS2"	0	0.06	0.04	0.04
"ALB"	0	0	0	0
"ALCAM"	146.53	152.65	113.84	119.46
"ALDH16A1"	35.47	35.89	22.15	22.66
"ALDH18A1"	69.09	79.67	74.34	77.53
"ALDH1A1"	1.75	1.43	1.32	2.25
"ALDH1A2"	0.02	0	0.02	0
"ALDH1A3"	164.43	187.7	145.49	164.25
"ALDH1B1"	9.76	12.13	12.84	10.59
"ALDH1L1"	0.12	0.09	0.03	0.05
"ALDH1L1-AS1"	0	0	0	0
"ALDH1L1-AS2"	0	0	0	0.03
"ALDH1L2"	0.02	0.01	0.02	0.01
"ALDH2"	15.04	14.04	30.57	24.01
"ALDH3A1"	26.86	24.86	67.05	62.38
"ALDH3A2"	112.08	115.64	112.63	117.06
"ALDH3B1"	27.71	23.21	8.64	9.41
"ALDH3B2"	2.07	1.68	2.08	1.49
"ALDH4A1"	22.14	22.78	16.16	17.87
"ALDH5A1"	0.01	0.01	0	0.03
"ALDH6A1"	2.25	2.16	2.33	2.48
