	day0-WT_1	day0-WT_2	day1-WT_1	day1-WT_2	day0-KO_1	day0-KO_2	day1-KO_1	day1-KO_2
1700028B04Rik	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	0.11	0	0.12	0.18	0.13	0	0	0.06
1700028I16Rik	0.11	0.11	0.12	0	0.72	0.37	0.1	0.12
1700028J19Rik	0.19	0.29	0.11	0	1.05	0.88	0.45	0.32
1700028K03Rik	0.55	0.37	0.66	0.89	0.24	0.62	0.65	0.66
1700028M03Rik	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0
1700029H14Rik	0.34	0.34	0.19	0.28	0	0	0.08	0.28
1700029I15Rik	0.37	0	1.25	0.41	0.81	1.68	0.35	2.07
1700029J03Rik	0	0	0	0	0	0	0	0
1700029J07Rik	0.72	0.97	1.99	2.01	0.62	0.37	2	2.16
1700029M20Rik	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0.13	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0
1700030C10Rik	3.71	4.48	3.68	3.67	4.14	4.48	5.71	4.56
1700030F04Rik	0	0	0	0	0	0	0	0
1700030F18Rik	0	0.2	0.22	0	0.21	0	0	0.44
1700030J22Rik	0.3	0.37	0.46	0.58	0.69	0.8	0.35	0.29
1700030K09Rik	6.84	6.03	5.68	6.13	6.77	6.62	4.36	5.96
1700030L20Rik	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0.19	0
1700031A10Rik	0	0.19	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0.8	0	0	0	0.58	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0
1700034H15Rik	0.06	0.11	0.03	0.12	0	0.03	0.08	0.12
1700034I23Rik	0	0	0.27	0.1	0.1	0.16	0.19	0.26
1700034J05Rik	0	0	0.06	0.06	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0
1700034P13Rik	1.87	1.98	2.19	0.84	1.11	1.18	1	0.47
1700036G14Rik	0	0	0	0	0	0	0	0
1700037C18Rik	2.83	3.18	2	3.73	2.06	2.38	2.65	2.58
1700037H04Rik	50.77	48.73	27.13	22.48	40.75	44.04	24.38	24.24
1700039E15Rik	0	0	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0	0	0
1700040L02Rik	0	0	0	0	0.2	0	0	0
1700041A01Rik	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0
1700042O10Rik	0.11	0.11	0.12	0.24	0.23	0.12	0.1	0.24
1700044C05Rik	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0
1700045H11Rik	0.21	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0
1700047A11Rik	0.2	0	0	0.22	0	0	0	0.22
1700047E10Rik	0	0	0	0	0	0	0	0
1700047G03Rik	0.28	0	0.16	0	0	0	0	0
1700047I17Rik2	15.67	17.41	11.91	10.68	20.11	21.37	11.31	11.98
1700047L14Rik	0.24	0	0	0	0	0	0	0
1700047M11Rik	0	0	0.2	0	0	0	0	0
1700048M11Rik	0	0	0	0.29	0	0	0.74	0.59
1700048O20Rik	2.18	1.89	2.44	1.95	2.64	2.27	3.17	2.7
1700049E15Rik	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0
1700049G17Rik	2.84	2.37	2.79	2.8	2.71	2.37	2.73	3.22
1700049L16Rik	0	0	0	0	0	0	0	0
1700051A21Rik	0.08	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0
1700052K11Rik	6.07	5.16	6.55	6.06	5.84	5.24	5.78	7.51
1700054A03Rik	0	0	0	0	0	0	0.14	0
1700054K19Rik	0	0	0	0	0	0	0	0
1700054M17Rik	0.29	0.29	0	0	0.32	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0
1700056E22Rik	1.8	1.58	1.21	1.07	1.31	1.23	1.24	0.81
1700057G04Rik	0	0.11	0	0	0	0	0.1	0.12
1700057H15Rik	0	0	0	0	0	0	0	0
1700057H21Rik	0	0.5	0	0	0.27	0	0	0
1700060C16Rik	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0.23	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0
1700061G19Rik	0.32	0.32	0.05	0.05	0.44	0.31	0.04	0.15
1700061I17Rik	0	0	0.06	0	0	0.06	0	0
1700061J23Rik	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0
1700064M15Rik	0	0.19	0	0.21	0	0	0	0
1700065D16Rik	0	0	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0
1700066B19Rik	0.13	0.13	0	0.05	0	0.05	0	0
1700066J03Rik	0	0	0	0	0	0	0	0
1700066M21Rik	7.54	7.31	9.4	9.43	9.62	8.84	10.04	10.34
1700066N21Rik	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0	0	0
1700067K01Rik	0.32	0.43	0.6	0.35	0.12	0.48	0.3	0.59
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0	0
1700071M16Rik	0.05	0	0.1	0.15	0.15	0	0.04	0.2
1700072B07Rik	0	0	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0
1700074P13Rik	0	0.07	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0
1700081H04Rik	0.1	0	0	0	0	0	0	0
1700084C01Rik	0.08	0.08	0	0.09	0	0	0.07	0.09
1700084D21Rik	0	0	0	0	0	0	0	0
1700084E18Rik	0.89	0.3	1	1.33	1.63	0.68	0.84	2
1700084F23Rik	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0.18	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0	0
1700086L19Rik	1.15	0.75	0.48	0.64	0.94	0.49	0.4	0.32
1700086O06Rik	2.69	3.32	3.52	2.64	2.36	2.47	3.88	3.54
1700088E04Rik	1.09	1.85	3.4	3.41	1.4	1.2	2.99	1.41
1700091H14Rik	0	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0	0	0
1700092K14Rik	0.33	0	0	0	0	0	0	0
1700092M07Rik	0.7	1.06	0	0.78	1.91	0.8	0	0.78
1700093K21Rik	0	0	0	0.29	0.13	0	0.22	0.1
1700094D03Rik	1.14	1.18	1.39	1.58	1.51	1.17	1.5	1.67
1700094J05Rik	0	0	0	0	0	0	0.13	0.16
1700094M24Rik	0	0	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0	0.3	0
1700096J18Rik	0	0	0	0	0	0	0	0
1700096K18Rik	1.25	1.81	1.49	2.25	2.04	1.68	1.39	2.44
1700096P03Rik	0	0	0	0	0	0	0	0
1700097N02Rik	0	0	0	0	0	0.32	0	0
1700099I09Rik	0	0.18	0.43	0.22	0.42	0.21	0.36	1.05
1700100I10Rik	0.14	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0
1700101E01Rik	0.13	0.13	0	0.14	0.14	0.14	0	0
1700101I11Rik	0.44	0.3	0.33	0.65	0.8	0.67	0.27	0.49
1700101O22Rik	0	0	0	0	0	0	0	0
1700102H20Rik	0	0	0	0	0	0	0	0
1700102P08Rik	0.73	0.85	0.24	0.7	0.8	0.24	0.59	0.23
1700104L18Rik	0	0	0	0	0	0	0	0
1700105P06Rik	0.89	0.68	1.5	0	0	0	0.84	0
1700106J16Rik	0	0	0	0	0	0	0	0.1
1700108F19Rik	0	0.14	0	0	0.3	0	0.38	0
1700108J01Rik	0	0	0	0	0	0	0	0
1700109G14Rik	0	0	0	0	0	0	0	0
1700109G15Rik	0	0	0	0	0	0	0	0
1700109H08Rik	1.03	0.35	1.15	0.99	0.58	0.2	1.34	1.53
1700109I08Rik	0	0	0	0	0	0	0	0
1700109K24Rik	2.01	1.6	2.73	2.82	3.34	2.04	2.47	3.54
1700110C19Rik	0	0	0	0	0	0	0.16	0
1700110I01Rik	0	0	0	0	0.07	0	0	0
1700110I07Rik	0	0	0	0	0	0	0	0
1700110K17Rik	0	0	0	0	0.19	0.19	0	0
1700111N16Rik	0	0	0	0	0	0	0	0
1700112E06Rik	10.13	9.19	5.18	4.13	9.24	6.4	4.93	4.87
1700112H15Rik	0	0	0	0	0	0	0.14	0
1700112J05Rik	0.15	0	0	0.16	0	0	0	0.17
1700112J16Rik	0.37	0.38	0.11	0.17	0.52	0.11	0.19	0.06
1700113A16Rik	10.51	7.27	7.95	8.26	7.73	9.91	10.73	10.15
1700113B09Rik	0	0	0	0	0	0	0	0
1700113H08Rik	0	0	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0	0	0
1700119H24Rik	0	0.21	0	0	0	0	0	0
1700120C14Rik	1.44	1.5	0.41	0	0.79	2.48	0.35	0.8
1700120E14Rik	0	0	0	0	0	0	0	0
1700120G07Rik	0	0	0	0	0	0	0	0
1700120K04Rik	1.37	0.92	0	0	0.75	1.3	0.86	0.26
1700121L16Rik	0	0	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0.15	0	0.13	0.08
1700123J17Rik	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0
1700123L14Rik	0	0	0.07	0	0	0	0	0.07
1700123M08Rik	1.51	1.75	1.58	2.64	1.42	0.49	1.72	2.66
1700123O12Rik	0	0	0	0	0	0	0	0
1700123O20Rik	30.16	30.98	43.92	44.41	34.18	37.86	42.58	45.07
1700123O21Rik	0	0	0	0	0	0	0	0
1700124L16Rik	0.39	0	0	0	0.43	0	0	0.44
1700125G02Rik	0	0	0	0	0	0.27	0	0
1700125G22Rik	0	0	0	0	0	0	0	0
1700125H03Rik	1.57	2.01	2.98	1.61	2.01	1.93	1.4	3.3
1700125H20Rik	0.12	0.12	0	0.13	0.26	0	0	0
1700126H18Rik	0	0	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0	0	0.15
