	day0_1	day0_2	day1_1	day1_2	day5_1	day5_2
1700034G24Rik	0	0	0	0	0	0
1700034H15Rik	2.33	4.54	1.12	4.48	2.24	4.43
1700034I23Rik	0	0	5	2	8	6.56
1700034J05Rik	0	0	1	1	0	1
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0
1700034P13Rik	24.79	25.99	25.87	9.95	7.58	14.1
1700036G14Rik	0	0	0	0	0	0
1700037C18Rik	27	30	17	32	19	22
1700037H04Rik	552	525	263	220	2259	2645
1700039E15Rik	0	0	0	0	0	2
1700039E22Rik	0	0	0	0	0	0
1700040L02Rik	0	0	0	0	1	1
1700041A01Rik	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	1	1	1	2	1	0
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	1	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	1	0	0	1	1	0
1700047E10Rik	0	0	0	0	0	0
1700047G03Rik	2	0	1	0	1	4
1700047I17Rik2	550.18	605.49	372.54	337.4	703.92	917.6
1700047L14Rik	1	0	0	0	0	0
1700047M11Rik	0	0	1	0	7	3
1700048M11Rik	0	0	0	1	1	0
1700048O20Rik	36	31	36	29	22	16
1700049E15Rik	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	134.51	111.04	117.86	119.25	89.44	117.96
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	1	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	132.31	111.4	127.3	118.94	79.1	91.16
1700054A03Rik	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	1	1	0	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700056E22Rik	15	13	9	8	60	73
1700057G04Rik	0	1	0	0	0	0
1700057H15Rik	0	0	0	0	0	0
1700057H21Rik	0	2	0	0	1	0
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	0	0	1	0	2	2
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	7	7	1	1	4	3
1700061I17Rik	0	0	1	0	0	0
1700061J23Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	0	1	0	1	0	0
1700065D16Rik	0	0	0	0	0	1.1
1700065I16Rik	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
1700066B19Rik	3	3	0	1	4	4
1700066J03Rik	0	0	0	0	0	0
1700066M21Rik	206	198	229	232	159	185
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	3	4	5	3	2	2
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0
1700071M16Rik	1.04	0	2.04	1.11	3.09	2.06
1700072B07Rik	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	1
1700074H08Rik	0	0	0	0	0	0
1700074P13Rik	0	1	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	1	0	0	0	0	0
1700084C01Rik	1	1	0	1	2	1
1700084D21Rik	0	0	0	0	0	0
1700084E18Rik	3	1	3	4	8	5
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	1	1
1700084M14Rik	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	1	0
1700086L19Rik	8	6	3	4	0	0
1700086O06Rik	31.26	39.54	37.95	28.06	108.29	123.42
1700088E04Rik	11.99	20.18	33.33	33.75	33.88	37.21
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	1	0	0	0	0	0
1700092M07Rik	2	3	0	2	1	1
1700093K21Rik	0	0	0	3	4	3
1700094D03Rik	32	33	35	40	58	73
1700094J05Rik	0	0	0	0	0	0
1700094M24Rik	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0
1700096J18Rik	0	0	0	0	0	0
1700096K18Rik	16	23	17	26	59	76
1700096P03Rik	0	0	0	0	0	0
1700097N02Rik	0	0	0	0	0	0
1700099I09Rik	0	1.02	2.14	1.09	0	1.07
1700100I10Rik	1	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0
1700101E01Rik	1	1	0	1	0	0
1700101I11Rik	3	2	2	4	8	10
1700101O22Rik	0	0	0	0	0	0
1700102H20Rik	0	0	0	0	3	4
1700102P08Rik	7	8	2	6	3	2
1700104L18Rik	0	0	0	0	0	0
1700105P06Rik	4	3	6	0	1	2
1700106J16Rik	0	0	0	0	0	0
1700108F19Rik	0	1	0	0	2	1
1700108J01Rik	0	0	0	0	0	0
1700109G14Rik	0	0	0	0	0	0
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	6.16	2.06	6.12	5.32	13.72	7.18
1700109I08Rik	0	0	0	0	0	0
1700109K24Rik	19	15	23	24	12	20
1700110C19Rik	0	0	0	0	0	1
1700110I01Rik	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0
1700110K17Rik	0	0	0	0	1.01	1.02
1700111N16Rik	0	0	0	0	0	0
1700112E06Rik	79	71	36	29	140	142
1700112H15Rik	0	0	0	0	1	0
1700112J05Rik	1	0	0	1	0	0
1700112J16Rik	2	1	2	3	3	4
1700113A16Rik	89	61	60	63	99	129
1700113B09Rik	0	0	0	0	0	0
1700113H08Rik	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0
1700119H24Rik	0	1	0	0	0	0
1700120C14Rik	4.2	4.35	1.06	0	0	1.1
1700120E14Rik	0	0	0	0	0	0
1700120G07Rik	0	0	0	0	0	0
1700120K04Rik	6	4	0	0	1	1
1700121L16Rik	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0
1700123J17Rik	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0
1700123L14Rik	0	0	1	0	0	0
1700123M08Rik	14	16	13	22	6	13
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	510.02	519.25	662.18	676.14	514.19	724.02
1700123O21Rik	0	0	0	0	0	0
1700124L16Rik	1	0	0	0	0	1
1700125G02Rik	0	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	0
1700125H03Rik	6	8	11	6	0	0
1700125H20Rik	1	1	0	1	0	0
1700126H18Rik	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0
1810006J02Rik	0	0	0	0	0	1
1810007C17Rik	0	0	0	0	0	0
1810007D17Rik	1	0	0	0	0	0
1810008I18Rik	0	0	0	0	0	0
1810009A15Rik	362	442	529	561	157	241
1810009J06Rik	0	0	0	0	0	0
1810010D01Rik	4	6	5	11	9	8
1810010H24Rik	5	15	17	14	80	102
1810011H11Rik	8	12	24	32	6	10
1810011O10Rik	53	62	54	76	53	71
1810012K16Rik	0	2	0	1	0	2
1810013A23Rik	0	0	0	1	0	0
1810013L24Rik	1203	1085	1211	1108	1190	1379
1810014B01Rik	24	26	26	26	41	44
1810018F18Rik	0	0	0	0	0	0
1810019D21Rik	7.29	9	15.58	21	11	7
1810020O05Rik	0	0	0	1	1	0
1810021B22Rik	6	11	16	16	40	34
1810022K09Rik	258	317	415	434	371	561
1810024B03Rik	3	2	3	2	2	3
1810026B05Rik	223.52	195.54	180.08	211.98	221.13	327.2
1810026J23Rik	944.82	854.84	1178.55	1185.48	1366.57	1449.32
1810030O07Rik	740	692	684	685	443	580
1810032O08Rik	275	301	251	244	120	149
1810034E14Rik	37	40	5	14	99	98
1810037I17Rik	1076	980	524	574	849	973
1810041H14Rik	1	1	1	0	0	0
1810041L15Rik	5	5	5	4	19	24
1810043G02Rik	177	200	146	183	326	338
1810043H04Rik	212	218	116	147	152	186
1810044D09Rik	9	11	11	19	21	21
1810046K07Rik	0	0	0	0	1	0
1810053B23Rik	0	0	0	0	0	0
1810055G02Rik	508	542	876	786	252	327
1810058I24Rik	935	1082	705	776	1261	1506
1810062G17Rik	12	8	12	19	31	33
1810062O18Rik	7.72	2.2	15	9	12	8.44
1810063I02Rik	0	0	0	0	0	0
1810064F22Rik	0	0	0	0	0	0
1810065E05Rik	0	1	0	0	0	0
2010001A14Rik	22	22	59	40	34	38
2010001E11Rik	1	0	4	5.07	4.16	1.14
2010003K11Rik	1	1	1	3	80	118
2010005H15Rik	1	1	2	1	0	0
2010009K17Rik	0	0	1	0	0	1
2010010A06Rik	0	0	0	1.3	0	0
2010012O05Rik	173	200	98	96	140	161
2010016I18Rik	0	1.77	0	0	4.64	7.22
2010106C02Rik	0	0	0	0	1	1
2010106E10Rik	0	0	1	2	0	6
2010107E04Rik	1027	957	557	600	1883	2437
2010107G12Rik	1	3	3	2	1	3
2010107G23Rik	2	4	0	1	13	20
2010109A12Rik	0	0	1	0	3	9
2010109I03Rik	3	1	0	1	0	2
2010111I01Rik	429.96	446.99	134.65	127.72	149.83	180.87
2010204K13Rik	21	25	7	6	9	7
2010300C02Rik	5	2	2	1	4	3
2010308F09Rik	2	0	0	0	0	1
2010310C07Rik	0	1	0	0	1	0
2010315B03Rik	200	204	296	294	234	260
2010320M18Rik	90	84	99	83	123	185
2200002D01Rik	48	53	2	8	14	27
2200002J24Rik	0	0	0	0	0	0
2210010C04Rik	0	0	0	0	0	0
2210011C24Rik	1	1	2	2	0	1
2210013O21Rik	445	420	615	542	289	339
2210015D19Rik	114.14	124.5	99.76	99.98	112.38	137.5
2210016F16Rik	1078	1018	679	706	879	1084
2210016L21Rik	534	552	458	477	268	330
2210018M11Rik	427	450	497	488	293	329
2210019I11Rik	0	0	0	0	0	0
2210039B01Rik	6	4	6	3	3	1
2210404E10Rik	0	0	0	0	0	0
2210404O09Rik	70.07	95.31	65.43	57.01	62.22	73.48
2210406O10Rik	1	4	3	5	9	16
2210407C18Rik	0	0	0	1	0	0
2210408F21Rik	54	57	66	67	92	103
2210408I21Rik	87	91	143	145	88	125
2210409D07Rik	0	0	0	0	0	0
2210409E12Rik	0	0	0	0	0	1
2210414B05Rik	0	0	0	0	0	0
2210416O15Rik	4.1	3.07	1.04	0	1	3
2210417A02Rik	0	0	0	0	0	0
2210420H20Rik	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0
2300005B03Rik	0	1	0	0	1	0
2300009A05Rik	38	34	60	60	144	202
2310001H17Rik	20	28	16	23	12	19
2310001K24Rik	4.13	3.14	11.83	10.34	12.25	26.43
2310002D06Rik	0	0	0	0	0	0
2310002F09Rik	1	0	0	0	0	0
2310002L09Rik	0	0	0	0	0	3
2310003N18Rik	0	0	0	0	0	0
2310005A03Rik	0	0	0	0	0	0
2310005E17Rik	0	0	0	0	0	0
2310007B03Rik	5	3	0	0	0	0
2310008N11Rik	2	0	0	0	0	0
2310009A05Rik	100	107	126	115	122	151
2310009B15Rik	106	87	81	85	108	123
2310010G23Rik	8	9	16	12	14	13
2310010J17Rik	6	10	17	8	7	24
2310011J03Rik	673	689	496	475	585	746
2310015A10Rik	74	86	92	99	74	85
2310015D24Rik	0	0	0	0	0	0
2310016D03Rik	0	0	0	0	0	0
2310020H05Rik	0	0	0	0	0	0
2310022A10Rik	273	297	241	258	223	239
2310022B05Rik	5688	4985	1437	1476	2353	2544
2310030A07Rik	0	0	0	0	0	0
2310030G06Rik	12	13	3	6	14	11
2310033P09Rik	236	314	268	277	135	172
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik	12	11	14	13	4	16
2310034O05Rik	0	0	0	0	0	0
2310035C23Rik	835	678	766	706	530	633
2310036O22Rik	1971	2116	1244	1341	917	1022
2310039H08Rik	122	132	149	112	288	323
2310039L15Rik	0	0	0	1	0	1
2310040G24Rik	5	5	2	1	5	6
2310043L19Rik	2	0	0	0	0	0
2310043O21Rik	0	0	0	0	0	0
2310045N01Rik	319	357	616	634	460	521
2310045n01rik-mef2b	0	0	0	0	0	0
2310047M10Rik	374	406	369	365	383	392
2310050C09Rik	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	0
2310057M21Rik	192	210	216	168	242	241
2310057N15Rik	0	0	0	0	0	0
2310061I04Rik	209	197	189	167	630	751
2310061N02Rik	0	0	0	0	0	0
2310065F04Rik	0	0	0	0	0	0
2310067B10Rik	601	582	433	388	545	586
2310068J16Rik	9.75	12.93	15.45	10.84	12.17	29.85
2310069B03Rik	0	1	1	0	2	4
2310069G16Rik	0	1	0	1	1	2
2310075C17Rik	0	0	0	0	0	0
2310079G19Rik	0	0	0	0	0	0
2310081J21Rik	3	11	1	3	0	1
2400006E01Rik	0	0	0	0	0	0
2410002F23Rik	630	593	726	798	222	282
2410003L11Rik	0	1	0	0	0	0
2410004B18Rik	345	311	236	214	143	180
2410004I01Rik	0	0	0	0	0	0
2410004P03Rik	2	6	6	2	1	3
2410006H16Rik	993	1137	2088	2152	1248	1373
2410012E07Rik	0	0	0	0	0	0
2410015M20Rik	818	801	801	909	1673	2054
2410016O06Rik	348	314	354	336	165	136
2410017I17Rik	1	0	0	0	0	1
2410018L13Rik	51.64	36.48	36.51	19	7.07	8.07
2410021H03Rik	3	4	1	2	2	2
2410089E03Rik	1333	1108	974	858	423	415
2410124H12Rik	0	0	0	0	0	0
2410127L17Rik	756	644	631	638	567	701
2410131K14Rik	354	322	230	225	300	387
2410137M14Rik	1	0	0	0	0	0
2410141K09Rik	0	0	0	0	0	0
2500002B13Rik	6	10	5	8	26	26
2500004C02Rik	25	24	37	29	17	20
2510002D24Rik	156	143	83	88	144	136
2510003B16Rik	4.17	1.12	1.3	0	2.28	2
2510009E07Rik	905	845	889	848	772	966
2510039O18Rik	1679	1396	1238	1322	1382	1582
2610001J05Rik	528	572	517	563	390	455
2610002M06Rik	406	410	311	304	228	297
2610005L07Rik	938.82	792.63	1015.1	957.73	623.77	610.45
2610008E11Rik	657	647	508	581	346	435
2610015P09Rik	135	156	215	219	196	207
2610016A17Rik	4	7	12	11	30	36
2610020C07Rik	32.09	23.8	37.3	32.97	12.29	13.97
2610020H08Rik	109	91	113	90	88	103
2610027K06Rik	1.07	1.06	0	3.13	2.14	1.08
2610028E06Rik	2	0	0	0	0	0
2610028H24Rik	0	0	0	0	0	0
2610035D17Rik	62	57	62	55	25	48
2610035F20Rik	0	0	0	0	0	0
2610037D02Rik	0	1	0	0	0	0
2610042L04Rik	1.83	5	0	2.24	0	2.26
